420 47 239 56 523 136 174 137 631 218 94 204 410 262 327 273 429 380 359 381 434 427 385 435 
414 45 236 55 518 131 168 140 626 212 87 205 409 261 326 272 428 380 357 379 433 431 385 436 
412 44 234 55 514 130 164 143 624 210 80 210 409 261 326 272 427 379 355 376 432 431 385 436 
411 43 231 56 513 130 163 147 621 208 78 213 409 261 325 272 427 379 354 375 432 432 384 436 
410 43 231 56 508 134 163 151 605 214 81 225 409 261 325 272 426 379 354 375 431 433 384 437 
409 43 230 56 503 138 164 152 599 220 89 230 408 260 325 272 426 378 354 374 431 433 384 436 
408 43 229 58 503 142 164 154 599 222 89 231 408 260 325 272 419 372 354 375 431 433 384 436 
408 43 229 58 504 142 165 155 601 222 89 230 408 261 325 273 420 375 354 376 431 433 384 437 
408 43 229 59 505 142 165 154 604 222 89 228 408 261 324 274 420 376 354 376 431 433 384 437 
408 43 229 59 505 141 163 156 605 220 85 227 408 261 324 274 421 376 354 376 431 433 384 438 
408 43 229 59 506 134 162 156 605 214 84 227 408 261 324 274 422 377 354 377 431 433 384 438 
408 43 229 60 507 134 162 155 605 212 83 226 408 261 324 274 423 378 354 377 431 433 384 438 
408 43 230 60 507 133 163 154 605 210 83 226 408 261 324 274 424 379 354 377 431 433 384 438 
409 43 230 59 508 134 163 153 607 210 84 225 409 261 324 274 424 380 354 377 431 433 384 438 
409 43 230 59 509 134 164 153 607 210 84 224 409 261 324 274 424 381 354 378 431 433 384 438 
409 44 230 59 512 136 164 153 610 211 83 223 409 261 325 274 424 381 354 378 431 433 384 438 
410 45 230 59 512 136 164 153 610 211 82 223 409 261 325 274 424 382 354 379 431 433 384 439 
411 45 230 59 513 136 164 153 611 211 81 222 409 261 325 274 425 382 355 379 431 433 384 439 
411 45 231 59 513 136 164 153 612 211 81 222 409 262 325 274 425 382 355 380 431 433 384 439 
412 45 231 59 514 136 165 153 613 211 81 221 409 262 325 275 425 382 355 380 430 433 384 439 
413 45 231 60 516 137 165 153 617 211 80 221 409 264 325 275 425 383 355 380 430 433 383 440 
413 45 232 60 517 137 165 153 617 211 80 221 409 264 326 275 426 383 355 380 430 434 383 440 
414 45 232 60 518 138 166 153 620 213 80 220 409 265 326 276 426 383 355 380 430 433 383 439 
415 45 233 60 519 138 167 153 620 213 79 219 410 265 326 276 426 384 355 380 430 433 383 439 
416 45 235 59 519 138 167 154 621 214 75 218 410 265 327 276 426 382 356 380 430 433 383 439 
417 45 236 58 520 138 168 153 621 214 74 216 411 265 327 275 426 379 356 378 430 431 384 439 
417 45 236 58 520 137 164 153 621 215 67 216 411 265 327 275 426 379 356 378 430 431 384 439 
418 45 236 58 521 137 160 153 621 215 56 216 411 265 327 275 426 379 356 378 430 431 384 439 
420 45 236 58 523 137 152 151 623 215 41 216 411 265 327 275 426 379 357 378 430 432 384 439 
420 45 236 59 524 136 150 148 627 214 38 214 411 265 327 274 426 379 357 377 431 432 384 438 
420 45 236 59 525 132 149 146 628 211 35 212 412 265 327 274 427 379 357 377 431 432 384 438 
420 45 235 59 525 130 147 146 629 208 36 210 412 265 327 274 427 378 357 375 431 433 384 438 
422 45 235 59 526 130 147 144 630 206 36 209 412 265 328 274 427 378 357 375 431 433 385 438 
422 45 235 59 526 129 147 142 632 205 35 207 412 265 328 274 427 378 357 375 431 433 385 438 
422 45 235 59 526 129 147 142 632 205 33 206 412 265 328 274 427 376 357 375 431 433 384 438 
423 45 236 59 526 128 146 141 632 204 30 206 412 265 328 273 427 376 357 375 430 433 385 438 
423 45 236 59 526 128 146 140 632 203 31 204 413 264 328 273 427 376 357 375 430 434 385 438 
423 45 236 58 526 128 146 140 632 204 32 204 413 264 328 272 427 373 356 374 431 434 385 438 
423 46 236 58 526 128 146 139 632 204 32 203 412 264 328 272 427 373 356 374 431 434 385 438 
423 45 236 58 526 128 146 139 632 204 33 203 412 264 328 273 427 375 356 374 431 433 385 438 
422 45 236 58 525 128 147 138 632 204 33 202 412 264 328 272 427 377 356 374 431 433 385 438 
420 44 235 58 524 128 146 138 631 204 34 203 412 264 327 273 427 380 356 376 431 433 384 438 
419 44 234 58 522 128 145 138 629 204 34 203 412 264 327 273 427 380 355 375 431 434 384 437 
418 45 234 59 522 129 145 139 629 204 34 204 412 264 327 273 427 377 353 377 433 436 383 437 
419 45 234 59 523 130 146 139 629 205 38 203 412 264 327 273 429 372 353 374 444 436 383 438 
422 44 239 59 529 134 154 139 632 210 47 201 416 264 329 273 439 370 354 370 462 436 383 439 
434 45 253 57 541 140 170 138 644 218 64 198 424 264 334 273 452 370 355 370 469 432 383 439 
447 44 266 56 552 139 181 138 653 220 77 197 431 265 341 273 459 371 359 370 472 432 383 439 
463 49 278 56 565 141 191 138 665 224 89 197 438 265 349 273 461 371 359 374 473 431 382 439 
468 47 284 54 567 140 202 138 670 223 101 202 443 265 352 273 463 371 359 374 473 431 375 437 
469 47 283 54 568 140 201 141 672 222 103 211 444 267 352 273 462 371 358 373 474 431 372 436 
462 47 278 56 563 140 197 145 670 222 103 216 443 268 352 274 460 371 359 372 473 431 370 433 
459 48 275 56 561 144 193 147 667 226 99 220 441 269 351 276 459 371 359 368 472 431 370 433 
448 48 268 57 552 145 190 151 655 227 97 224 439 270 350 278 459 370 359 368 472 431 370 431 
438 48 258 58 543 146 183 152 641 227 94 225 434 270 347 279 455 368 358 366 471 431 370 429 
431 48 252 58 535 145 177 152 632 227 90 226 430 270 344 280 451 369 356 366 471 430 370 428 
426 48 248 58 530 145 175 154 628 227 86 227 427 270 340 280 449 367 354 366 470 429 369 427 
427 48 246 58 530 145 172 154 628 227 82 226 426 272 339 282 447 367 354 366 470 429 369 427 
427 48 243 59 531 144 169 154 631 224 78 223 425 272 338 282 448 368 354 366 470 429 369 427 
428 48 241 59 532 131 162 145 640 206 57 208 425 270 338 281 447 366 354 367 470 426 369 427 
429 47 241 60 543 112 150 125 667 163 34 173 425 270 338 280 447 365 354 366 469 425 368 426 
433 45 242 58 559 91 141 107 690 121 19 127 426 267 338 275 448 364 354 365 469 425 368 426 
435 42 242 57 567 74 132 95 700 93 7 107 427 266 339 274 449 364 354 365 469 425 368 426 
437 39 242 53 577 68 128 89 715 81 7 91 428 263 340 271 449 363 356 363 469 425 369 426 
440 39 245 53 581 67 130 85 714 77 10 83 429 263 341 270 449 359 357 360 469 425 369 426 
441 39 245 52 583 70 131 84 715 80 7 80 431 263 343 271 450 359 359 360 469 424 369 426 
444 39 249 51 583 67 133 81 714 81 12 77 433 263 345 271 450 358 361 359 470 424 370 426 
446 39 251 51 585 69 134 81 717 81 13 80 434 263 346 271 451 359 361 359 470 424 370 426 
447 39 254 51 583 68 135 82 716 80 11 83 435 264 347 271 451 358 362 359 470 424 371 426 
449 39 254 51 585 69 136 84 717 84 14 90 436 264 348 271 451 358 362 359 470 424 371 426 
449 38 255 51 583 70 136 86 717 87 11 96 437 264 348 271 451 358 362 359 470 424 371 425 
449 38 255 51 584 71 137 87 717 88 11 98 438 264 348 271 452 359 362 359 470 424 371 425 
450 38 256 51 583 71 139 89 716 89 12 102 439 264 348 272 453 359 362 360 471 425 371 425 
450 39 256 51 583 84 140 99 715 118 15 121 438 264 348 272 453 358 362 360 471 426 371 425 
450 40 256 51 575 105 152 117 702 160 24 169 438 264 348 272 453 358 362 360 471 426 371 425 
449 40 259 51 557 125 175 137 674 201 65 201 438 264 348 272 454 359 362 361 471 427 371 425 
448 40 262 52 541 146 197 158 634 241 111 245 438 265 347 272 453 359 362 361 471 427 372 426 
446 41 264 53 522 158 221 172 578 263 166 269 435 265 346 272 452 360 362 361 470 427 372 426 
445 42 265 54 506 172 241 179 539 280 219 284 435 265 345 272 452 362 362 362 470 427 372 425 
445 42 266 54 490 173 258 175 493 286 258 285 436 265 347 273 454 365 361 365 470 425 372 425 
444 40 266 55 479 168 264 183 467 280 286 292 438 265 347 275 454 363 361 365 470 424 372 425 
444 40 265 57 473 167 272 184 450 274 305 284 437 265 347 275 454 354 361 360 469 424 372 425 
444 39 265 57 470 165 273 184 445 270 311 284 433 264 346 274 452 350 361 359 469 422 372 425 
443 38 265 57 471 164 270 186 446 270 312 285 433 264 346 274 452 350 361 358 469 420 372 425 
442 38 264 57 473 164 268 185 447 271 310 284 433 264 346 275 452 351 361 358 469 420 372 425 
