sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,dt12,dt23,dt34,dt45,dt56,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit,has_bounce_before_hit,hit_obs_index,hit_obs_in_workspace,hit_obs_selected_from_workspace_pool,hit_center_dist_mm
1,2026-04-05T00:28:48.832,-90.49171549930134,2367.8002663703305,-916.9908444222835,-55.894580556032,2273.0667414819777,-948.5430167138344,-62.98770140644365,2188.507166037063,-994.9813567759663,-60.35007724436355,2104.013716066951,-1036.0962139419407,-50.29187613092154,2019.0496471411325,-1078.2253169911191,-39.574117818811374,1940.2394069224179,-1095.5737304700783,0.01598970001214184,0.014135100005660206,0.013816799997584894,0.015169899997999892,0.01619520000531338,0.4240855312377789,-44.67807412517095,-919.7785829355364,77.75719555291377,-2023.3824436857647,1366.1770861563691,0.5947944999788888,1.0,1.0,0.0,0.0,44.0,1.0,1.0,48.86207628631808
2,2026-04-05T00:28:52.236,461.6348823876963,2140.277962780029,-1073.7959953824334,454.06390238386325,2086.468000046303,-1071.620663925949,449.72502992190493,2040.0024375902317,-1028.5791911732026,456.27708495299294,1992.1110610844596,-980.6168304923154,447.01199436745173,1947.4162723774907,-944.8925860079773,449.060142902189,1902.7196216988477,-908.1980475219268,0.01897030000691302,0.012854200002038851,0.015423799981363118,0.01597790000960231,0.015355800016550347,343.1905217374349,5.096789784084876,-908.526012483054,-38.5981082282289,-1365.390515488262,-1373.8329491349239,0.8939152999955695,1.0,1.0,0.0,0.0,62.0,1.0,1.0,343.33424583833335
3,2026-04-05T00:28:55.898,-57.139840816111246,2122.391205454841,-894.9238049850421,-58.21733319474788,2074.3602028156142,-874.7547015312535,-61.574699925608456,2025.9592457540039,-851.1501545086094,-64.46411219833772,1978.4856885134357,-834.402653826385,-144.77332640151963,1938.5158581635628,-831.7876823864542,-57.71451491149355,1882.534714415546,-797.8340284056917,0.016674000013154,0.014691199990920722,0.01399080001283437,0.013544399989768863,0.012628600001335144,-120.59721485792306,-149.44690073736933,-972.5371013314924,596.7658744650025,-1281.245857994101,985.5412746418567,0.9081521999905817,1.0,1.0,1.0,1.0,66.0,1.0,1.0,205.27955436688862
4,2026-04-05T00:29:00.452,421.51522065589984,2176.435600553648,-1041.1773754919411,412.18751329817815,2116.1078687701956,-998.9444436943489,391.5770148335805,2062.3329348537363,-969.2147155363174,387.55682919669425,2006.443972991761,-934.8838872466825,362.7629529635417,1953.3817086679799,-909.579767988679,352.62432221365543,1896.5875327737922,-881.219110050332,0.015408500010380521,0.013524500012863427,0.015233099984470755,0.0170059000083711,0.01676559998304583,-57.06163734321035,59.65526235893981,-904.2494973533326,-585.4998567856331,-1860.0754673817141,-1078.9902582159696,0.7289705000002868,1.0,1.0,0.0,0.0,50.0,1.0,1.0,82.66098844774346
5,2026-04-05T00:29:03.398,171.27978009007938,2243.3604893235215,-688.2332705668314,190.0500590233387,2173.424326955607,-694.700858332365,184.3447656484177,2106.0687533263635,-703.2211029289615,179.14370784464745,2040.1323611317844,-715.6298936291419,376.3299574659695,1920.3030114471153,-700.3608522285379,350.7814039019879,1866.7897594581718,-722.6477264978395,0.016148899972904474,0.016867000027559698,0.01682049999362789,0.015949199994793162,0.015320400008931756,-470.3740207340488,118.09371553273786,-934.8431390845026,-539.6183178681439,-1793.3346149291413,1265.3348317376788,0.7390103999932762,1.0,1.0,0.0,0.0,51.0,1.0,1.0,486.22205767643305
6,2026-04-05T00:29:05.318,228.686962805853,2181.511376467758,-518.696313507973,236.11483785693054,2104.9083373157737,-513.9705044615872,242.7312021226594,2030.7357943393195,-511.632269615332,260.1551551316179,1955.0425334599186,-510.94633070769237,275.52159480366663,1880.85836978791,-512.802645204114,289.1205531845558,1804.9541194020746,-517.0619400672892,0.014527299994369969,0.018351600010646507,0.013439299975289032,0.017839100008131936,0.016100200009532273,510.28662534291516,95.67232699634451,-884.016006000824,-1105.3814618326876,-4439.251362569573,1659.7739977327124,0.4230113999801688,1.0,1.0,0.0,0.0,32.0,1.0,1.0,519.4238367854539
7,2026-04-05T00:29:08.679,245.8484724784571,2210.6065250453853,-646.797924264019,290.5886530547209,2131.705282143298,-639.2526353299875,288.5477552610291,2059.2096886283216,-641.6717713430396,284.70791706848377,1988.7339012997763,-646.3690515932738,290.700465239755,1916.498459276585,-652.3912423506565,283.14886560975447,1848.8757993606025,-663.2661677142123,0.013870299997506663,0.015054999996209517,0.016144699999131262,0.016736799996579066,0.015872699994361028,221.75236983734203,-30.00906128412248,-860.0587778808147,-11.873004293510897,-2160.7650720498586,-1119.4269039904589,0.6049886000109836,1.0,1.0,0.0,0.0,44.0,1.0,1.0,227.31026926209393
8,2026-04-05T00:29:12.543,292.8779394290209,2168.064692220869,-576.6922253528393,278.10054459617004,2104.6664946682577,-580.7858712782318,268.6643996705898,2042.7000094376483,-587.6525128134292,254.63741616889956,1980.0794321039868,-596.9029303128041,246.28684951106834,1919.223451519867,-607.5562442371083,243.91501001232518,1857.053453165417,-622.8671041913383,0.014601900009438396,0.014227599982405081,0.014432600000873208,0.014905999996699393,0.014230600005248562,3.658611733842463,87.49009974712385,-984.4915687645596,-155.79791934143785,-1586.2627744666324,-2119.605351652726,0.7219500000064727,1.0,1.0,0.0,0.0,52.0,1.0,1.0,121.68290013751724
9,2026-04-05T00:29:15.969,-244.8762243787014,2410.505180102725,-973.9307092344792,-225.72679378809835,2316.3935275090867,-1009.919206367813,-222.61942411884957,2228.8864437823227,-1055.786385115985,-217.4609415859436,2142.174447913986,-1101.095402037644,-199.57371297797954,2068.4447459394396,-1086.7143009826186,-216.0281845069394,2003.293158284393,-1050.7472858453893,0.016248200001427904,0.018445099995005876,0.01586929999757558,0.015259300009347498,0.01482939999550581,-94.43429138411557,-40.519740058923844,-858.9324565071443,295.24985112968545,-1989.955558085235,633.67645754107,0.6321903000061866,1.0,1.0,0.0,0.0,45.0,1.0,1.0,110.66267596710463
10,2026-04-05T00:29:18.267,-300.5383428805667,2430.375810733825,-986.8385051100885,-317.02620706543485,2336.673492177221,-1016.9650413721997,-323.53794558420714,2246.7517989283842,-1050.5314625386065,-331.48272932021155,2156.4679890623815,-1088.2913047496827,-316.25642672267077,2062.968650465079,-1114.370090794277,-309.9264385583556,1987.1215211602994,-1082.8288264241883,0.01641170002403669,0.01746789997559972,0.014887700002873316,0.015374300011899322,0.016750100010540336,-401.93837873018356,56.01693846018725,-945.2224587760052,-186.76568141432512,-2348.8234018843355,440.3504340774753,0.5082932999939658,1.0,1.0,1.0,1.0,35.0,1.0,1.0,408.3349464207642
