time_s,kf_x,kf_y,kf_z
0.000000,230.52,2352.89,-765.87
0.023758,225.06,2287.46,-798.95
0.051007,237.11,2209.12,-871.52
0.078301,248.14,2129.61,-956.63
0.104953,236.26,2062.04,-1052.26
0.131617,231.98,1992.57,-1143.01
0.155378,234.73,1913.40,-1134.72
0.181781,236.73,1845.04,-1109.31
0.207842,238.92,1807.53,-890.66
0.229954,249.43,1765.85,-869.37
0.252530,250.93,1723.65,-826.96
0.275325,245.05,1677.47,-778.55
0.297803,243.99,1633.68,-736.71
0.319475,250.90,1589.37,-700.88
0.342447,256.71,1544.33,-671.18
0.366513,262.96,1498.48,-647.34
0.398196,260.77,1445.40,-629.25
0.419551,259.90,1391.08,-620.98
0.449680,264.48,1330.80,-618.43
0.475245,271.24,1284.29,-622.94
0.499458,272.34,1240.24,-633.67
0.523912,278.18,1198.91,-649.36
0.547959,281.21,1158.08,-671.02
0.571958,284.92,1118.38,-697.14
0.629387,290.10,1012.28,-790.36
0.652540,291.52,971.70,-837.16
0.675271,293.39,933.14,-887.56
0.699596,294.32,893.66,-945.37
0.721648,297.26,858.53,-1002.51
0.744957,299.79,822.64,-1067.14
0.769058,302.18,787.40,-1137.66
0.794692,305.57,752.57,-1201.68
0.819773,309.64,720.88,-1242.39
0.844127,313.29,691.01,-1262.08
0.868459,312.70,642.88,-932.88
0.892042,326.85,621.41,-916.81
0.915377,327.78,591.47,-889.72
0.938586,329.22,559.05,-858.59
