time_s,kf_x,kf_y,kf_z
0.000000,-412.71,2790.07,-1026.91
0.023177,-393.25,2727.47,-1070.85
0.091356,-248.38,2539.76,-932.02
0.114403,-165.18,2449.74,-821.71
0.142427,-106.83,2378.58,-735.30
0.167323,-77.32,2331.22,-668.96
0.190775,-56.74,2291.24,-613.11
0.212469,-35.02,2253.09,-565.47
0.233507,-17.52,2217.66,-522.92
0.254850,0.32,2181.26,-485.35
0.276052,12.18,2147.92,-453.18
0.301627,35.85,2104.58,-422.98
0.323159,25.83,2076.08,-399.37
0.353402,-45.39,2072.68,-359.46
0.374385,-32.54,2042.04,-357.49
0.402257,-15.87,2003.44,-356.19
0.424172,1.13,1966.80,-357.77
0.444731,79.88,1902.41,-367.53
0.477427,136.59,1842.96,-387.46
0.500267,165.52,1806.65,-406.06
0.521400,192.87,1772.34,-427.67
0.543637,207.18,1739.20,-456.88
0.566370,222.52,1706.53,-490.51
0.591443,241.39,1671.74,-531.49
0.614422,254.07,1642.27,-573.93
0.639113,264.26,1612.67,-623.78
0.661016,251.89,1584.06,-684.30
0.691544,253.61,1548.58,-764.29
0.838910,285.81,1379.08,-967.61
0.865634,294.21,1356.64,-942.58
0.887678,301.33,1329.67,-892.34
0.914240,362.05,1291.35,-810.58
0.941871,392.69,1261.49,-748.88
0.963874,403.08,1234.70,-707.28
0.992184,423.98,1206.82,-666.60
1.016122,437.15,1183.51,-639.91
1.040303,444.75,1158.38,-619.90
1.063956,430.01,1124.46,-607.29
1.091404,421.99,1089.56,-600.10
1.114864,420.47,1061.30,-598.91
1.137660,442.02,1036.42,-600.86
1.170777,464.10,1003.79,-612.77
1.196593,480.13,980.23,-628.41
1.221803,476.57,946.93,-655.10
1.244822,474.63,917.99,-685.01
1.267826,473.96,890.43,-718.85
1.291654,473.32,862.85,-759.14
1.313827,496.69,843.29,-801.71
1.342678,517.66,818.48,-860.75
1.412397,551.73,758.17,-1035.45
1.456159,570.82,725.05,-1151.65
1.486072,590.59,709.26,-1204.47
1.510271,577.89,669.50,-1244.73
1.531303,579.01,642.88,-1269.36
1.553862,581.02,616.76,-1296.04
1.575630,586.91,593.64,-1315.28
1.602140,590.53,564.82,-1344.45
1.623499,596.05,542.28,-1354.02
1.645583,594.94,516.03,-1366.70
