time_s,corr_x,corr_y,corr_z
0.000000,411.89,2392.39,-1152.83
0.028735,421.00,2373.83,-1146.67
0.050133,427.76,2355.88,-1142.94
0.073064,410.15,2351.66,-1151.61
0.097053,444.38,2306.30,-1135.51
0.130754,436.01,2298.63,-1139.73
0.153777,434.82,2286.55,-1140.76
0.176347,396.95,2290.23,-1158.61
0.204592,397.02,2278.38,-1158.18
0.226381,401.28,2260.38,-1154.38
0.251729,394.07,2251.41,-1158.67
0.273268,423.86,2213.81,-1143.69
0.301130,424.76,2200.90,-1141.79
0.323522,421.32,2189.21,-1143.47
0.349224,423.30,2175.28,-1141.23
0.378990,422.90,2163.08,-1142.18
0.400510,387.02,2163.61,-1159.07
0.425895,388.37,2150.73,-1159.46
0.446582,384.08,2138.66,-1160.74
0.467290,387.98,2124.90,-1158.53
0.491210,386.68,2112.49,-1160.73
0.511556,387.42,2100.37,-1159.28
0.540807,388.64,2087.22,-1159.24
0.564661,418.52,2053.62,-1144.43
0.592691,412.95,2044.06,-1145.90
0.614194,412.95,2032.02,-1144.87
0.639145,414.13,2019.19,-1144.86
0.661877,414.50,2006.87,-1143.22
0.683607,415.19,1994.53,-1144.04
0.707496,413.60,1983.66,-1143.44
0.730886,410.04,1973.48,-1146.03
0.752818,385.50,1966.85,-1158.01
0.782190,383.55,1954.98,-1158.82
0.804465,386.47,1942.54,-1159.64
0.829077,387.05,1930.19,-1160.99
0.851336,388.65,1916.54,-1158.07
0.874471,381.66,1908.01,-1162.03
0.896173,410.40,1880.44,-1145.38
0.930982,413.14,1867.16,-1144.54
0.957818,413.43,1855.85,-1145.28
0.982059,384.69,1847.77,-1159.66
1.009126,382.52,1835.74,-1159.54
1.031484,382.19,1825.85,-1159.66
1.055724,380.67,1814.53,-1159.22
1.078941,407.87,1789.53,-1145.10
1.102580,410.46,1777.91,-1144.09
1.127747,407.62,1768.86,-1144.14
1.151279,380.33,1759.26,-1157.04
1.181108,383.16,1746.89,-1158.87
1.201824,385.32,1736.35,-1160.04
1.229332,379.45,1725.72,-1163.29
1.251870,381.84,1714.65,-1161.83
1.275705,381.79,1705.10,-1162.83
1.297763,411.91,1683.42,-1145.62
1.328614,405.34,1673.14,-1145.33
1.351417,406.34,1659.78,-1143.35
1.372273,380.46,1647.97,-1157.74
1.402834,379.98,1637.19,-1158.01
1.427772,380.76,1626.38,-1159.30
1.451614,384.01,1616.17,-1155.27
1.473207,405.35,1598.37,-1144.63
1.503199,405.40,1588.19,-1142.56
1.525310,407.85,1576.93,-1141.30
1.550418,402.33,1568.03,-1146.11
1.574383,403.43,1556.45,-1142.29
1.626764,375.47,1534.32,-1159.27
1.648737,376.11,1524.00,-1158.64
1.670912,375.58,1513.62,-1159.84
1.693246,377.05,1503.72,-1159.48
1.715095,379.05,1493.09,-1160.01
1.742374,380.33,1482.66,-1160.02
1.764053,401.22,1466.97,-1148.13
1.789927,400.40,1457.34,-1148.85
1.811583,402.59,1447.13,-1147.33
1.840116,400.44,1436.58,-1148.17
1.861781,400.73,1426.72,-1149.23
1.883315,397.67,1416.50,-1151.63
1.904683,399.61,1405.94,-1148.92
1.926978,401.22,1397.01,-1150.24
1.954379,374.07,1382.91,-1162.41
1.982411,375.17,1373.24,-1160.41
2.004660,381.60,1362.36,-1153.95
2.032223,379.63,1351.76,-1155.67
2.054304,372.88,1340.17,-1160.74
2.076834,372.32,1330.99,-1162.56
2.098926,393.50,1317.41,-1152.36
2.129982,396.29,1308.04,-1150.55
2.152585,397.20,1298.81,-1150.20
2.174695,379.10,1283.17,-1157.27
2.205333,374.01,1272.28,-1160.48
2.227265,372.32,1263.31,-1160.55
2.252929,371.03,1253.24,-1159.27
2.274470,392.41,1240.92,-1147.32
2.303290,397.17,1232.08,-1145.67
2.325374,394.69,1220.54,-1147.43
2.350821,395.36,1211.05,-1148.02
2.373220,393.04,1201.10,-1148.47
2.394934,390.35,1190.83,-1150.18
2.416709,394.39,1182.67,-1146.75
2.438805,391.49,1171.75,-1149.11
2.461307,372.95,1153.85,-1159.72
2.495202,370.63,1143.48,-1161.40
2.517358,369.31,1132.84,-1162.26
2.540390,366.53,1122.34,-1162.65
