time_s,kf_x,kf_y,kf_z
0.000000,144.45,2434.81,-684.25
0.162017,352.57,1719.81,-1085.81
0.184115,229.86,1669.41,-1067.31
0.214999,203.39,1609.10,-1012.81
0.237382,204.03,1553.25,-954.63
0.267652,203.12,1488.11,-892.29
0.291611,275.62,1418.16,-823.88
0.321102,321.52,1349.03,-763.97
0.344590,276.67,1278.30,-730.93
0.376372,254.42,1203.12,-699.67
0.399196,238.07,1148.82,-682.89
0.421623,275.26,1096.21,-664.80
0.448603,305.35,1037.76,-653.46
0.472353,320.41,987.50,-651.07
0.496678,333.23,938.20,-654.69
0.520246,342.97,891.44,-664.09
0.550598,349.51,835.43,-683.69
0.572315,314.74,773.49,-710.15
0.597752,284.69,706.77,-745.05
0.620870,262.59,649.28,-782.69
0.643196,278.17,607.04,-821.89
0.672380,290.38,553.81,-878.01
0.695537,302.44,516.30,-926.16
0.721121,312.19,475.58,-984.16
0.743401,290.93,414.79,-1052.69
0.777713,275.24,342.18,-1153.62
