time_s,corr_x,corr_y,corr_z
0.000000,468.62,2134.15,-406.48
0.023283,451.84,2058.88,-441.16
0.050278,448.84,1971.86,-485.31
0.074047,223.18,1919.12,-569.25
0.096421,218.27,1825.79,-626.12
0.123617,225.11,1724.12,-691.80
0.254998,222.43,1196.60,-1138.20
0.276665,244.70,1125.16,-1183.21
0.320149,240.91,1001.47,-1032.74
0.344968,220.78,935.30,-978.78
0.367856,229.29,881.06,-919.29
0.391251,219.60,822.79,-873.26
0.414167,213.33,764.41,-830.00
0.439008,363.49,752.02,-744.90
0.465898,350.42,696.97,-718.57
0.488066,359.46,651.66,-695.14
0.522477,348.11,601.02,-681.80
0.545715,338.02,502.88,-665.93
0.945083,-309.32,103.65,-98.56
0.993810,-286.58,110.06,-104.11
1.019821,-288.48,107.79,-104.65
1.146386,270.43,383.28,-959.44
1.168986,264.57,395.21,-1003.96
1.194776,264.26,414.70,-1056.04
1.218423,207.35,402.39,-1153.56
1.240726,201.44,420.70,-1104.73
1.266937,191.99,435.58,-1050.65
1.289733,218.85,479.15,-981.10
1.322920,205.67,489.39,-945.63
1.345796,152.42,485.42,-916.77
1.379079,128.08,492.26,-897.60
1.403357,167.41,541.55,-860.06
1.433228,166.59,557.33,-848.28
1.456092,170.26,575.59,-840.50
1.480209,155.71,585.84,-841.70
1.503731,149.33,598.26,-844.78
1.528204,80.66,591.87,-871.70
1.553869,71.03,604.55,-888.22
1.576320,54.21,614.86,-912.53
1.601283,60.21,631.39,-933.31
1.624574,49.25,643.93,-963.18
1.647532,42.10,656.15,-996.93
1.671471,43.42,671.01,-1034.18
1.693425,81.63,709.59,-1082.72
1.720831,68.16,717.42,-1133.21
1.743949,47.40,724.45,-1117.88
1.769086,45.50,738.31,-1077.41
1.791810,31.26,747.31,-1041.92
1.813997,-10.02,753.40,-1005.40
1.843632,-16.68,765.28,-982.49
1.865775,20.39,798.52,-939.35
1.899346,0.61,806.08,-932.03
1.923194,-38.01,813.08,-929.87
1.954667,-58.99,820.42,-931.67
1.981514,-20.69,852.02,-927.23
2.006897,-24.16,864.38,-938.50
2.039961,-78.37,868.62,-976.03
2.063721,-89.55,878.89,-1001.67
2.086378,-86.24,892.19,-1026.84
2.114517,-99.56,899.91,-1058.06
2.139102,-55.41,930.79,-1098.02
2.172339,-61.08,940.07,-1143.94
2.197193,-106.26,945.69,-1111.73
2.220109,-108.08,957.59,-1074.53
2.242180,-127.61,967.10,-1050.37
2.263296,-84.97,993.94,-1004.17
2.295719,-95.80,1003.93,-987.34
2.318977,-85.76,1018.19,-969.50
2.345120,-99.24,1023.33,-965.98
2.368655,-103.27,1034.10,-961.92
2.390943,-119.30,1039.44,-966.44
2.414688,-125.93,1051.09,-975.85
2.437143,-163.80,1060.79,-1004.83
2.466803,-163.99,1071.80,-1024.84
2.488273,-131.47,1092.45,-1047.06
2.524231,-133.04,1101.54,-1076.56
2.546455,-183.26,1112.13,-1149.80
2.576437,-177.02,1121.21,-1144.56
2.598596,-176.53,1129.59,-1106.79
2.620206,-187.05,1134.91,-1077.75
2.643609,-183.31,1145.27,-1051.71
2.666639,-165.74,1158.55,-1021.55
2.699336,-165.41,1167.55,-1008.64
2.723577,-200.64,1175.35,-1007.74
2.756212,-183.23,1189.29,-1000.28
2.782846,-181.37,1196.55,-1010.38
2.809122,-188.19,1203.99,-1026.38
2.831955,-189.66,1211.38,-1040.31
2.859564,-183.72,1220.16,-1057.61
2.884319,-243.18,1227.26,-1115.88
2.916703,-225.38,1238.11,-1150.42
2.938306,-198.89,1252.76,-1122.90
2.970034,-203.26,1254.75,-1091.22
2.994000,-211.79,1256.75,-1069.50
3.015493,-239.51,1261.38,-1054.00
3.041526,-232.58,1268.21,-1040.94
3.063921,-242.65,1272.14,-1036.19
3.090630,-245.44,1276.58,-1034.14
3.114113,-232.42,1285.63,-1037.46
3.145940,-226.78,1290.05,-1046.83
3.168719,-237.08,1295.25,-1062.62
3.191881,-243.64,1300.55,-1081.83
3.213638,-235.55,1303.87,-1100.92
3.236266,-260.82,1311.97,-1155.14
3.264857,-257.60,1316.39,-1133.65
3.287501,-262.16,1321.46,-1106.92
3.314730,-269.89,1326.05,-1088.13
3.338057,-243.68,1336.54,-1060.05
3.370481,-248.14,1343.25,-1055.52
3.392651,-262.00,1345.96,-1054.84
3.414265,-270.98,1352.43,-1061.24
3.441614,-264.75,1357.27,-1066.93
3.463904,-267.47,1362.13,-1078.98
3.489062,-276.91,1367.27,-1098.37
3.511589,-283.03,1372.71,-1122.72
3.533770,-278.28,1377.71,-1149.10
3.555968,-261.58,1382.74,-1123.27
3.578108,-278.56,1386.77,-1095.82
3.608413,-289.66,1392.61,-1088.10
3.631453,-281.97,1396.88,-1078.11
3.656236,-293.97,1398.47,-1078.91
3.683115,-311.08,1405.04,-1085.20
3.708714,-300.86,1409.68,-1086.01
3.734442,-320.05,1414.97,-1108.29
3.833631,-322.59,1431.50,-1114.70
3.856147,-331.13,1436.19,-1109.16
3.878820,-329.16,1437.36,-1105.74
3.901731,-328.97,1441.23,-1108.73
3.924562,-343.17,1445.56,-1127.61
3.954420,-365.43,1449.08,-1157.85
3.976308,-347.29,1453.73,-1154.41
4.009576,-358.71,1456.84,-1157.77
4.032576,-356.21,1461.53,-1154.56
4.060367,-354.99,1464.27,-1153.57
4.083328,-357.40,1468.26,-1151.92
4.114903,-360.91,1470.16,-1150.98
4.138586,-342.29,1471.36,-1144.30
4.169533,-364.34,1476.83,-1151.35
4.193335,-366.75,1478.88,-1152.40
4.216762,-378.53,1481.39,-1155.68
4.241813,-384.73,1484.84,-1157.82
4.263704,-375.66,1486.19,-1154.65
4.289020,-370.79,1487.81,-1152.65
4.313962,-366.88,1490.35,-1151.24
4.336662,-369.84,1491.68,-1152.62
4.362229,-372.72,1493.41,-1153.13
