time_s,kf_x,kf_y,kf_z
0.000000,411.89,2392.39,-1152.83
0.028735,420.14,2375.59,-1151.95
0.050133,426.79,2358.86,-1150.04
0.073064,416.45,2349.83,-1154.75
0.097053,433.83,2317.31,-1151.35
0.130754,438.03,2295.16,-1155.65
0.153777,438.38,2282.29,-1158.73
0.176347,421.16,2277.19,-1170.50
0.204592,409.87,2267.98,-1184.59
0.226381,404.80,2257.78,-1191.86
0.251729,398.47,2246.95,-1204.26
0.273268,404.90,2228.29,-1208.56
0.301130,410.08,2208.46,-1220.28
0.323522,413.21,2193.17,-1226.69
0.349224,416.34,2176.77,-1237.66
0.378990,418.83,2160.04,-1254.16
0.400510,409.03,2152.36,-1262.90
0.425895,401.61,2142.08,-1278.04
0.446582,394.94,2133.33,-1285.77
0.467290,391.07,2123.25,-1293.83
0.491210,387.53,2111.39,-1307.98
0.511556,385.55,2100.79,-1314.91
0.540807,383.92,2086.23,-1337.34
0.564661,392.88,2067.65,-1343.84
0.592691,398.81,2049.47,-1357.56
0.614194,403.49,2035.52,-1357.19
0.639145,407.65,2020.37,-1364.06
0.661877,410.85,2006.94,-1365.73
0.683607,413.39,1994.25,-1366.09
0.707496,414.88,1981.24,-1370.79
0.730886,414.74,1969.42,-1374.40
0.752818,407.00,1959.92,-1377.28
0.782190,399.55,1947.40,-1393.73
0.804465,394.69,1937.87,-1393.50
0.829077,390.99,1926.89,-1398.21
0.851336,388.88,1916.05,-1397.11
0.874471,385.21,1905.63,-1398.85
0.896173,391.21,1890.67,-1394.55
0.930982,397.58,1870.78,-1414.03
0.957818,403.14,1856.28,-1412.97
0.982059,397.87,1844.81,-1409.79
1.009126,392.82,1832.34,-1412.12
1.031484,388.91,1822.50,-1405.37
1.055724,385.37,1811.70,-1403.57
1.078941,391.29,1796.94,-1397.55
1.102580,396.97,1782.64,-1393.27
1.127747,400.77,1769.17,-1392.33
1.151279,395.18,1757.49,-1391.12
1.181108,391.23,1743.49,-1401.29
1.201824,388.99,1733.95,-1393.41
1.229332,385.18,1721.88,-1400.02
1.251870,383.22,1712.00,-1396.20
1.275705,381.73,1701.92,-1396.00
1.297763,390.00,1689.01,-1389.62
1.328614,395.16,1673.63,-1399.29
1.351417,399.36,1661.56,-1391.79
1.372273,394.49,1650.18,-1385.72
1.402834,390.14,1635.54,-1397.81
1.427772,386.83,1624.15,-1397.31
1.451614,385.34,1613.62,-1394.32
1.473207,390.93,1601.69,-1386.26
1.503199,395.80,1587.30,-1393.66
1.525310,400.20,1576.60,-1385.16
1.550418,401.98,1565.48,-1384.70
1.574383,403.51,1554.73,-1381.60
1.626764,394.11,1531.64,-1429.12
1.648737,387.14,1522.40,-1410.64
1.670912,382.10,1512.75,-1398.28
1.693246,378.96,1503.00,-1389.75
1.715095,377.41,1493.14,-1383.09
1.742374,376.54,1481.45,-1387.15
1.764053,383.10,1470.26,-1378.60
1.789927,388.23,1458.08,-1379.13
1.811583,392.95,1447.82,-1372.35
1.840116,396.30,1435.28,-1378.58
1.861781,398.61,1425.80,-1372.23
1.883315,399.35,1416.16,-1368.15
1.904683,400.38,1406.32,-1364.77
1.926978,401.58,1396.44,-1364.45
1.954379,394.14,1383.68,-1375.45
1.982411,387.91,1371.68,-1384.84
2.004660,385.20,1361.89,-1381.14
2.032223,382.29,1350.26,-1387.93
2.054304,378.30,1340.38,-1384.90
2.076834,375.12,1330.57,-1384.30
2.098926,379.22,1319.77,-1381.63
2.129982,383.74,1306.54,-1394.59
2.152585,387.89,1297.23,-1389.47
2.174695,385.53,1286.17,-1386.38
2.205333,381.78,1272.37,-1399.45
2.227265,378.40,1262.77,-1394.21
2.252929,375.26,1251.92,-1396.69
2.274470,379.70,1241.92,-1389.20
2.303290,385.02,1230.05,-1395.46
2.325374,388.42,1220.41,-1388.63
2.350821,391.38,1209.82,-1389.30
2.373220,392.78,1200.40,-1384.65
2.394934,392.91,1190.96,-1380.51
2.416709,394.12,1181.87,-1377.11
2.438805,394.12,1172.18,-1375.74
2.461307,388.52,1159.91,-1377.69
2.495202,382.51,1144.27,-1399.31
2.517358,377.61,1133.80,-1395.29
2.540390,372.98,1123.00,-1394.18
2.561767,378.31,1113.19,-1388.04
2.590856,380.79,1100.78,-1396.91
2.612170,384.99,1091.82,-1389.13
2.639254,387.87,1080.74,-1392.77
2.660800,389.81,1072.02,-1386.11
2.683412,390.75,1062.98,-1383.32
2.706813,391.02,1053.38,-1382.65
2.729258,390.69,1044.11,-1380.21
2.751718,383.57,1031.26,-1380.78
2.780328,375.84,1016.88,-1392.23
2.804748,370.08,1005.04,-1393.46
2.831585,365.67,992.45,-1399.05
2.856841,362.11,980.47,-1401.08
2.880119,366.84,970.91,-1396.96
2.907249,371.92,960.49,-1400.13
2.930304,375.55,951.58,-1395.55
2.953784,378.20,942.27,-1393.22
2.976386,372.60,928.95,-1392.41
3.005345,367.99,914.23,-1403.04
3.027839,364.35,903.08,-1399.95
3.054268,360.90,890.68,-1404.86
3.076630,365.37,881.43,-1399.19
3.103418,369.46,870.92,-1402.42
3.125806,374.27,862.83,-1396.08
3.151264,382.02,854.51,-1395.26
3.174794,385.27,845.59,-1392.00
3.196947,378.61,831.16,-1389.83
3.231962,369.96,812.62,-1410.95
3.254138,365.25,801.64,-1403.45
3.276651,359.58,790.31,-1399.26
3.299389,363.52,781.47,-1393.98
3.326962,365.43,770.17,-1398.23
3.349982,368.97,761.92,-1393.25
3.371147,371.13,753.47,-1386.41
3.393500,373.97,745.06,-1383.25
3.415882,375.64,736.18,-1381.05
3.438641,376.24,726.60,-1380.28
3.460548,377.62,717.89,-1378.27
3.483111,378.84,709.23,-1377.21
3.505265,379.86,700.21,-1375.70
3.527167,381.01,691.62,-1374.11
3.550569,373.21,676.31,-1378.06
3.583019,366.14,659.18,-1396.64
3.604019,360.55,647.38,-1391.06
3.627825,356.17,635.26,-1391.97
3.649952,352.66,624.18,-1390.37
3.678461,350.90,612.16,-1399.54
3.700145,356.24,605.46,-1392.92
3.729949,360.32,595.89,-1401.17
3.754836,366.29,589.50,-1397.43
3.778816,361.54,576.33,-1395.60
3.808806,359.69,562.96,-1403.87
3.830526,359.13,553.75,-1395.25
3.853045,354.40,541.79,-1391.76
3.875040,359.97,534.03,-1385.32
3.902142,364.47,524.87,-1389.15
3.924659,366.01,516.11,-1384.70
3.952843,368.93,506.96,-1390.23
3.976046,372.66,500.09,-1385.13
3.998159,369.88,487.86,-1381.34
4.027953,364.79,472.25,-1392.40
4.050225,361.38,461.27,-1387.71
4.071547,357.94,450.54,-1382.75
4.093322,358.65,442.18,-1379.08
4.114686,357.29,432.47,-1376.35
4.140605,357.10,422.39,-1381.95
4.161326,364.02,417.56,-1375.52
4.190354,369.70,409.31,-1384.85
4.211190,375.42,404.16,-1377.36
4.238578,379.86,397.19,-1382.63
4.260932,379.61,389.30,-1378.56
