time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.022186,-398.63,-1110.83,193.35
0.049801,2754.13,-3662.61,907.14
0.077272,1937.85,-3323.99,1050.40
0.099146,1033.86,-3107.82,994.99
0.126346,547.28,-2841.74,770.91
0.149689,209.63,-2701.08,561.45
0.172996,-30.47,-2615.73,342.53
0.194654,-804.97,-2656.19,149.33
0.224118,-1178.07,-2617.05,-134.97
0.245585,-1345.50,-2601.07,-350.44
0.267685,-1386.64,-2585.72,-573.41
0.289398,-1382.60,-2577.41,-794.51
0.309941,-1351.23,-2575.45,-1007.21
0.336214,-1292.10,-2543.36,-1269.70
0.358574,-1207.83,-2510.39,-1496.50
0.389482,-1058.22,-2417.22,-1789.17
0.411946,-960.16,-2355.86,-2002.32
0.433980,-589.41,-2269.34,-2220.38
0.454502,-344.28,-2203.38,-2425.11
0.476855,-204.64,-2152.43,-2645.91
0.524421,-133.83,-2053.36,-3101.00
0.546845,-141.13,-1989.74,-3308.60
0.568644,-140.79,-1924.65,-3506.00
0.637028,-167.14,-1769.96,-3855.59
0.660442,-586.81,-1923.89,-3709.79
0.692385,0.00,0.00,0.00
0.713331,-538.61,-826.60,163.72
0.736971,-39.78,-1061.23,659.73
0.761040,-468.64,-1463.96,885.77
0.783464,808.38,-1003.57,1123.77
0.814112,979.18,-821.62,966.39
0.836538,718.57,-939.15,782.26
0.860497,619.63,-978.27,562.01
0.883011,13.21,-1384.92,314.24
0.912987,-321.87,-1565.17,-0.13
