time_s,raw_x,raw_y,raw_z
0.000000,32.49,2492.29,-657.62
0.025052,12.97,2407.28,-726.97
0.101664,29.02,2035.34,-1032.76
0.129377,44.81,1945.75,-1112.40
0.222599,236.05,1647.12,-810.86
0.251853,226.33,1599.61,-763.90
0.274814,241.74,1549.01,-714.65
0.299697,220.74,1501.33,-680.68
0.322516,81.48,1426.80,-654.11
0.356186,84.60,1377.46,-624.38
0.379340,238.41,1311.84,-575.20
0.411179,224.83,1261.89,-562.89
0.433524,90.71,1173.71,-564.43
0.464747,94.19,1125.10,-561.95
0.491763,82.64,1074.54,-567.62
0.517077,113.79,1031.44,-573.27
0.545103,227.32,987.44,-583.78
0.569566,215.83,943.79,-603.75
0.593613,103.97,839.04,-659.05
0.616610,100.49,791.95,-692.39
0.641334,122.24,758.83,-724.81
0.664607,103.35,704.83,-776.94
0.687879,112.08,665.33,-821.13
0.735917,220.41,618.84,-922.55
0.767658,212.30,578.53,-983.51
0.816228,231.61,517.39,-1047.25
0.840038,117.53,400.09,-1000.24
0.866131,117.43,369.52,-950.40
1.183747,393.01,444.41,-950.62
1.237959,476.60,518.39,-1062.62
1.267400,487.54,528.86,-1085.61
1.293887,501.34,537.69,-1041.72
1.318501,522.32,551.16,-999.67
1.344083,545.99,564.25,-949.26
1.370383,555.63,572.33,-923.95
1.665390,783.56,707.33,-1006.60
1.688581,822.36,726.65,-1034.50
1.712741,865.24,745.96,-1065.62
1.737600,892.56,759.05,-1101.92
