time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.031135,-289.68,-16.18,-319.55
0.054024,-52.71,-240.54,-432.90
0.077847,-67.84,-234.29,-544.89
0.100801,-168.85,-180.01,-667.03
0.122980,-98.25,-238.26,-746.48
0.144447,99.60,-398.16,-793.62
0.173328,157.27,-435.16,-917.38
0.194895,191.76,-451.05,-991.56
0.242761,146.67,-419.65,-1252.79
0.264358,103.46,-392.07,-1313.25
0.287359,75.31,-370.29,-1404.34
0.337829,4.99,-328.72,-1686.46
0.359949,-86.86,-273.73,-1743.81
0.392105,-94.61,-258.76,-1872.32
0.419048,-47.59,-283.41,-1946.81
0.452454,-5.75,-294.22,-2061.94
0.478338,-38.03,-274.09,-2122.10
0.520070,-42.36,-277.27,-2277.34
0.572916,30.95,-324.56,-2425.40
0.595384,59.25,-348.40,-2348.56
0.621965,64.00,-349.35,-2335.80
0.643405,67.57,-349.24,-2303.58
0.665482,73.77,-351.30,-2294.15
0.687360,57.67,-343.31,-2294.59
0.708816,8.62,-322.59,-2302.13
0.739654,-21.56,-303.38,-2368.36
0.787175,-70.92,-267.85,-2501.42
0.809267,-89.54,-255.56,-2425.92
0.833340,-50.69,-277.19,-2381.29
0.863545,-11.63,-293.32,-2385.73
0.885681,7.15,-303.71,-2337.69
0.910170,21.12,-304.44,-2321.43
0.932459,-14.29,-288.15,-2304.35
0.963767,-45.31,-268.96,-2351.15
0.985975,-32.69,-270.71,-2320.41
1.007942,-18.33,-278.34,-2300.29
1.030268,-24.13,-277.90,-2294.06
1.052403,-32.86,-272.45,-2292.69
1.078629,-16.89,-280.74,-2318.59
1.100060,-10.63,-284.67,-2307.23
1.122895,-16.40,-280.46,-2312.34
1.146088,-7.88,-284.77,-2320.10
1.167626,22.35,-306.10,-2312.96
1.198350,59.52,-319.23,-2365.89
1.221779,82.46,-325.61,-2352.58
1.244340,106.34,-330.91,-2336.29
1.265944,101.99,-324.56,-2321.58
1.292637,92.11,-317.37,-2344.22
1.317726,73.96,-306.58,-2348.95
1.340326,14.30,-286.67,-2342.30
1.367778,-23.22,-271.05,-2368.61
1.390177,-52.15,-260.00,-2354.09
1.412081,-54.31,-258.15,-2339.93
1.434464,-47.29,-264.05,-2334.02
1.455750,-5.41,-290.82,-2318.71
1.484699,10.61,-300.14,-2359.51
1.506347,14.24,-301.67,-2339.84
1.534297,12.40,-295.50,-2366.38
1.556382,19.55,-295.62,-2343.64
1.578166,19.17,-291.92,-2326.36
1.600790,34.76,-295.04,-2319.12
1.622768,7.28,-285.85,-2316.77
1.651939,-32.60,-265.90,-2365.24
1.676774,-40.55,-254.35,-2366.26
1.700212,-65.81,-240.46,-2359.07
1.723227,-73.50,-233.41,-2350.01
1.745488,-14.40,-259.28,-2330.90
1.773448,46.11,-283.75,-2352.67
1.795199,62.83,-290.95,-2328.15
1.821491,71.53,-292.86,-2340.75
1.843610,61.04,-288.57,-2323.55
1.865772,52.62,-284.89,-2312.36
1.887479,53.91,-284.97,-2301.11
1.909498,-10.29,-270.00,-2305.73
1.939868,-34.48,-260.38,-2361.51
1.961471,-60.90,-250.80,-2342.64
1.987363,-83.27,-239.47,-2358.75
2.008796,-85.43,-235.53,-2339.89
2.028538,-37.34,-255.05,-2310.36
2.063927,-19.08,-253.75,-2390.90
2.090708,3.89,-251.89,-2382.62
2.115149,52.82,-260.61,-2353.27
2.141746,19.55,-248.90,-2354.90
2.167936,-7.86,-238.02,-2351.47
2.193595,-29.51,-227.80,-2345.29
2.217186,-36.90,-223.22,-2327.55
2.238906,-8.67,-240.32,-2300.75
2.260486,8.16,-252.25,-2283.75
2.286210,7.36,-255.97,-2302.00
2.308811,15.83,-261.58,-2293.49
2.334429,33.58,-266.54,-2307.47
2.355998,-17.88,-256.19,-2299.28
2.387767,-43.90,-242.50,-2359.31
2.410322,-61.21,-232.39,-2340.21
2.430887,-25.06,-244.10,-2309.41
2.460629,1.27,-247.89,-2347.92
2.482494,11.72,-247.73,-2323.48
2.508889,-2.81,-238.91,-2338.22
2.530631,15.97,-236.63,-2314.26
2.552340,30.20,-236.29,-2297.52
2.573461,49.37,-236.47,-2281.41
2.594285,49.19,-236.71,-2272.51
2.621211,50.91,-235.88,-2308.13
2.644848,44.91,-232.63,-2312.32
2.666744,28.16,-227.19,-2306.72
2.690437,14.98,-221.31,-2315.78
2.711415,-14.10,-218.70,-2308.26
2.739302,-50.24,-213.61,-2352.79
2.761059,-58.39,-215.08,-2340.85
2.787745,-56.42,-214.63,-2364.04
2.809764,-53.71,-214.79,-2349.06
2.830841,-22.93,-227.37,-2328.90
2.862768,8.48,-231.05,-2382.98
2.886088,27.01,-231.90,-2360.77
2.910586,43.59,-230.25,-2350.57
2.936272,6.14,-222.07,-2356.69
2.964392,-15.99,-215.11,-2372.89
2.985630,-38.71,-207.58,-2340.40
3.011931,-40.61,-200.08,-2349.55
3.033617,-35.02,-196.63,-2324.80
3.058054,-1.02,-202.62,-2323.18
3.086521,15.13,-202.95,-2347.97
3.108764,1.73,-203.83,-2327.03
3.139856,0.12,-201.45,-2367.47
3.162350,-2.03,-196.60,-2337.56
3.187869,-4.24,-191.54,-2336.76
3.209729,-14.03,-190.06,-2314.39
3.231193,4.42,-199.54,-2294.90
3.260875,22.50,-203.03,-2334.30
3.282436,45.96,-207.96,-2305.47
3.309103,45.55,-206.90,-2321.19
3.330260,39.06,-205.05,-2297.14
3.352418,43.98,-204.70,-2287.15
3.374182,42.48,-203.26,-2280.69
3.396517,45.07,-205.14,-2281.20
3.423964,33.52,-201.09,-2317.80
