time_s,vx,vy,vz
3.726539,-72.82,-458.51,-2331.51
3.748518,-45.79,-462.49,-2312.15
3.778897,-11.72,-449.34,-2349.61
3.800396,24.57,-437.14,-2313.72
3.827053,41.45,-427.22,-2323.89
3.852125,54.78,-418.75,-2318.90
3.873630,-0.43,-451.78,-2301.74
3.898966,-36.40,-469.33,-2317.07
3.921547,-64.89,-481.25,-2312.64
3.948445,-81.96,-483.44,-2339.55
3.971080,-25.89,-462.98,-2320.99
4.000733,-5.02,-446.26,-2355.00
4.024087,23.82,-428.96,-2333.47
4.045764,57.89,-411.73,-2307.23
4.068175,89.39,-390.48,-2294.04
4.090570,81.79,-396.32,-2290.79
4.114885,79.68,-393.60,-2302.76
4.160098,78.59,-394.41,-2432.03
4.182196,76.68,-395.81,-2363.21
4.203185,-1.18,-450.64,-2320.84
4.236955,-61.16,-481.47,-2371.90
4.289195,-24.11,-449.77,-2474.64
4.354353,40.45,-410.98,-2509.47
4.400115,49.78,-406.19,-2375.97
4.421939,14.59,-424.67,-2178.54
4.443618,12.91,-422.10,-2063.92
4.466030,20.45,-414.17,-2002.20
4.514725,41.06,-397.30,-2112.98
4.536704,29.85,-398.92,-2034.31
4.713847,0.00,0.00,0.00
4.841130,0.00,0.00,0.00
4.864612,-23.90,-158.37,-206.54
4.885908,157.73,-150.04,-311.80
4.913243,-41.46,-347.17,-474.40
4.934901,-47.91,-395.00,-570.65
4.955743,-21.11,-381.70,-666.56
4.980508,25.52,-354.57,-776.61
5.002104,-36.08,-409.65,-888.24
5.026611,-20.57,-406.96,-1006.49
5.098421,-109.85,-507.72,-1419.71
