time_s,corr_x,corr_y,corr_z
0.000000,448.13,537.31,-844.52
0.025676,234.62,532.53,-1003.17
0.102121,278.47,847.06,-1181.37
0.153968,436.34,1067.31,-960.50
0.182037,295.00,1135.19,-936.73
0.216297,286.88,1201.85,-892.95
0.237237,290.22,1269.75,-850.04
0.259185,292.00,1336.46,-817.21
0.281017,452.47,1431.21,-745.60
0.309950,450.87,1492.90,-724.04
0.331545,457.59,1551.23,-707.82
0.356592,454.07,1606.52,-699.81
0.378279,451.08,1667.23,-696.48
0.399593,456.80,1719.33,-696.51
0.421591,315.04,1848.86,-733.19
0.452391,315.12,1910.24,-745.74
0.482300,310.76,1976.09,-766.30
0.503239,455.16,2002.54,-770.63
0.532262,458.34,2055.92,-796.56
