time_s,corr_x,corr_y,corr_z
0.000000,341.20,2253.45,-333.95
0.033866,68.28,2264.45,-360.42
0.056673,56.13,2171.40,-397.57
0.079933,322.82,1926.69,-464.34
0.109799,314.06,1850.85,-506.67
0.132586,307.90,1773.01,-552.19
0.177065,301.08,1624.03,-653.52
0.198646,63.22,1522.81,-788.17
0.228194,78.46,1436.12,-858.08
0.301718,72.02,1194.90,-1090.02
0.328591,275.95,1117.73,-1103.65
0.380956,82.44,935.39,-1002.80
0.405701,91.92,882.46,-942.97
0.428479,95.78,826.84,-886.77
0.453121,108.60,778.68,-839.80
0.476643,97.97,718.45,-795.66
0.499535,90.68,661.10,-760.37
0.522283,104.17,615.28,-731.97
0.544289,253.83,612.77,-674.81
0.573352,256.59,569.43,-659.61
0.595908,242.38,515.61,-651.02
0.619115,241.25,469.46,-646.63
0.640904,233.58,418.53,-647.64
