time_s,kf_x,kf_y,kf_z
0.000000,287.80,2301.41,-618.89
0.055658,280.35,2168.13,-707.35
0.081193,132.69,2138.29,-833.56
0.106576,65.12,2080.12,-941.53
0.176174,193.62,1803.20,-1121.09
0.197981,236.64,1727.52,-1109.50
0.223981,261.83,1658.33,-1094.55
0.247021,274.60,1630.11,-884.55
0.268556,287.49,1588.59,-862.50
0.295374,286.58,1544.28,-816.98
0.317336,195.83,1488.30,-772.84
0.343764,141.60,1429.83,-731.45
0.365363,129.11,1382.17,-699.08
0.393732,122.37,1328.61,-668.87
0.417134,184.63,1277.52,-640.05
0.448550,223.86,1220.18,-619.15
0.479854,252.07,1170.40,-608.82
0.502258,266.66,1134.48,-606.92
0.529766,239.13,1073.32,-615.94
0.554894,262.14,1023.58,-628.27
0.582580,272.85,972.28,-648.88
0.608819,246.38,908.30,-681.32
0.633832,226.39,852.12,-716.93
0.658289,243.48,807.18,-756.56
0.689048,261.19,756.57,-811.38
0.745579,241.55,645.35,-942.80
0.770601,260.63,610.72,-1008.60
0.857526,234.40,463.91,-1218.65
0.881230,225.81,436.90,-1216.93
0.906775,221.52,409.77,-1211.89
0.931741,291.86,444.41,-893.83
0.953791,285.17,419.37,-878.75
0.977134,245.13,374.04,-859.02
1.261752,440.59,498.57,-1057.74
1.285516,405.42,491.16,-1098.59
1.312198,457.53,526.52,-1102.74
1.338793,473.77,539.04,-1081.98
1.361732,479.11,544.97,-1054.58
1.385359,467.71,545.17,-1020.75
1.409164,465.64,549.12,-990.24
1.432918,472.41,555.98,-962.96
1.456005,476.56,561.09,-942.10
1.481459,481.81,567.40,-926.41
1.504280,484.07,571.05,-916.52
1.536015,487.52,576.41,-914.94
1.558962,492.93,581.13,-915.31
1.582043,501.48,587.89,-920.64
1.605015,509.91,594.21,-930.96
1.632046,519.80,602.51,-952.38
1.660017,529.76,611.13,-980.44
1.684936,535.84,616.92,-1015.45
1.712165,542.85,623.54,-1057.90
1.735547,547.30,628.15,-1099.03
1.780490,563.50,639.42,-1192.91
1.801881,571.70,644.70,-1224.49
1.832516,581.23,651.54,-1262.21
1.855414,577.52,646.28,-1100.10
1.880555,581.27,648.50,-1099.46
1.903401,583.67,649.72,-1100.59
1.927151,593.38,654.18,-1103.04
1.950839,599.76,657.00,-1115.76
1.973306,601.12,653.31,-1140.28
2.000245,603.72,651.99,-1164.25
2.025253,607.86,652.71,-1180.61
2.049277,613.61,654.02,-1192.80
2.072017,619.24,655.55,-1203.05
2.104449,624.77,656.69,-1222.78
2.128626,631.28,659.20,-1230.32
2.151803,638.88,661.55,-1237.63
2.176992,646.17,663.51,-1248.83
2.198967,654.00,665.32,-1255.92
2.225878,663.42,667.59,-1270.68
2.247417,669.27,668.06,-1278.14
2.280033,677.64,668.91,-1302.97
2.303841,684.03,669.64,-1310.55
2.326290,689.76,670.13,-1316.59
2.352295,696.37,670.65,-1329.27
2.374325,704.53,671.93,-1333.18
2.400965,713.20,673.29,-1345.63
2.422826,723.42,677.16,-1346.78
2.455780,733.51,679.26,-1368.71
2.477623,739.50,679.77,-1366.31
2.503476,746.90,680.06,-1372.52
2.527361,753.35,679.74,-1374.24
2.552308,763.30,680.97,-1376.94
2.578792,774.09,683.09,-1381.10
2.601840,782.20,684.18,-1378.16
2.629508,789.94,684.90,-1384.51
2.651891,795.22,683.89,-1381.38
2.679613,802.58,683.06,-1389.94
2.701889,810.84,682.98,-1388.66
2.724622,821.74,684.43,-1390.61
2.750686,835.54,685.92,-1401.57
