time_s,raw_x,raw_y,raw_z
0.000000,378.03,2392.39,-1099.71
0.028735,387.60,2373.83,-1093.56
0.050133,394.80,2355.88,-1089.82
0.073064,377.28,2351.66,-1098.49
0.097053,412.62,2306.30,-1082.39
0.130754,404.44,2298.63,-1086.61
0.153777,403.54,2286.55,-1087.65
0.176347,365.58,2290.23,-1105.49
0.204592,365.94,2278.38,-1105.06
0.226381,370.63,2260.38,-1101.26
0.251729,363.64,2251.41,-1105.56
0.273268,394.35,2213.81,-1090.57
0.301130,395.56,2200.90,-1088.67
0.323522,392.41,2189.21,-1090.35
0.349224,394.72,2175.28,-1088.12
0.378990,394.62,2163.08,-1089.07
0.400510,358.73,2163.61,-1105.96
0.425895,360.39,2150.73,-1106.34
0.446582,356.40,2138.66,-1107.62
0.467290,360.62,2124.90,-1105.41
0.491210,359.63,2112.49,-1107.62
0.511556,360.66,2100.37,-1106.16
0.540807,362.21,2087.22,-1106.13
0.564661,392.90,2053.62,-1091.32
0.592691,387.56,2044.06,-1092.79
0.614194,387.86,2032.02,-1091.75
0.639145,389.34,2019.19,-1091.74
0.661877,390.02,2006.87,-1090.10
0.683607,391.01,1994.53,-1090.92
0.707496,389.69,1983.66,-1090.32
0.730886,386.37,1973.48,-1092.92
0.752818,361.99,1966.85,-1104.89
0.782190,360.32,1954.98,-1105.70
0.804465,363.55,1942.54,-1106.53
0.829077,364.43,1930.19,-1107.87
0.851336,366.36,1916.54,-1104.96
0.874471,359.58,1908.01,-1108.92
0.896173,388.99,1880.44,-1092.26
0.930982,392.06,1867.16,-1091.42
0.957818,392.62,1855.85,-1092.16
0.982059,364.08,1847.77,-1106.54
1.009126,362.20,1835.74,-1106.42
1.031484,362.11,1825.85,-1106.54
1.055724,360.86,1814.53,-1106.11
1.078941,388.67,1789.53,-1091.98
1.102580,391.54,1777.91,-1090.98
1.127747,388.92,1768.86,-1091.03
1.151279,361.87,1759.26,-1103.92
1.181108,365.00,1746.89,-1105.75
1.201824,367.41,1736.35,-1106.92
1.229332,361.80,1725.72,-1110.18
1.251870,364.47,1714.65,-1108.71
1.275705,364.64,1705.10,-1109.71
1.297763,395.29,1683.42,-1092.51
1.328614,388.97,1673.14,-1092.21
