time_s,kf_x,kf_y,kf_z
0.000000,91.34,2421.49,-666.84
0.033186,100.47,2334.71,-702.11
0.056459,100.37,2257.31,-764.59
0.081100,110.10,2166.05,-841.49
0.104177,113.33,2083.69,-919.20
0.208612,161.23,1725.28,-1105.84
0.256474,174.42,1602.53,-1069.14
0.278311,172.01,1552.71,-1017.70
0.305747,151.70,1524.88,-821.24
0.328398,149.46,1482.51,-804.93
0.350350,242.58,1415.80,-752.23
0.377529,284.27,1359.50,-700.36
0.399356,293.43,1316.04,-666.66
0.429885,300.30,1266.75,-639.11
0.455442,231.72,1205.44,-629.57
0.480069,194.95,1151.99,-626.15
0.514866,168.02,1090.95,-628.92
0.542098,200.51,1047.38,-634.64
0.567710,185.33,987.83,-653.63
0.595234,171.75,931.07,-679.41
0.620366,198.94,887.49,-707.11
0.645204,220.78,846.95,-739.54
0.668660,235.77,808.58,-775.96
0.692501,212.35,750.02,-829.25
0.721248,195.43,690.52,-894.10
0.744420,185.51,645.54,-951.70
0.769117,179.98,601.69,-1016.49
0.792141,176.24,563.84,-1080.39
0.815255,172.54,525.58,-1150.95
0.863925,198.01,465.30,-1244.61
0.892147,221.51,445.92,-1253.66
0.915844,176.36,402.46,-927.22
