time_s,corr_x,corr_y,corr_z
0.000000,106.31,2464.06,-559.67
0.022998,125.44,2375.41,-610.64
0.070061,110.24,2222.21,-732.91
0.094245,98.89,2151.48,-797.70
0.148334,-182.18,2058.55,-1059.40
0.173915,-180.10,1973.91,-1147.55
0.196925,-123.56,1886.52,-1160.23
0.220526,-120.72,1829.29,-1082.48
0.241063,39.25,1718.16,-930.79
0.269711,28.65,1672.18,-877.73
0.292151,28.83,1629.75,-825.77
0.313950,30.99,1578.71,-780.80
0.340015,6.84,1531.41,-742.46
0.362673,15.96,1487.62,-706.06
0.383640,-148.80,1415.61,-680.10
0.414789,-150.87,1371.64,-657.74
0.437395,-152.75,1320.78,-638.44
0.460364,-164.66,1271.83,-625.38
0.481620,-162.45,1223.90,-616.28
0.504253,-158.45,1178.15,-612.34
0.524928,-19.98,1129.37,-608.61
0.557389,-25.68,1085.48,-617.83
0.579567,-22.49,1044.56,-630.63
0.605837,-17.70,1004.79,-649.71
0.629116,-37.85,958.01,-675.48
0.651179,-41.06,918.53,-702.62
0.673761,-167.40,818.47,-774.06
0.702408,-148.76,783.76,-807.26
0.728328,-173.29,734.50,-867.98
0.751240,-64.08,718.53,-913.54
0.781802,-53.32,686.85,-962.58
0.805213,-58.07,649.87,-1020.29
0.857416,-52.76,583.82,-1122.17
0.881856,-180.48,479.23,-1072.34
0.904681,-169.41,454.80,-1021.82
0.928041,-52.78,466.62,-915.25
0.959680,-69.24,430.53,-883.63
0.982160,-83.43,394.89,-855.34
1.006005,-77.48,367.64,-827.28
1.028363,-74.87,341.25,-803.09
1.051272,-72.25,315.55,-783.99
1.073292,-168.24,215.56,-784.07
1.156367,-352.57,176.91,-824.53
1.182221,-423.87,210.05,-854.23
1.207065,-427.02,283.46,-875.27
1.265101,-560.16,424.46,-993.60
1.297196,-622.85,459.52,-1043.30
1.321092,-665.44,507.51,-1096.63
1.342618,-484.90,650.61,-1108.41
1.366699,-569.89,666.42,-1091.82
1.390714,-602.35,692.98,-1048.63
1.415142,-639.69,716.37,-1011.27
1.469578,-864.28,747.15,-957.35
1.491504,-904.70,768.89,-936.54
1.603190,-1076.83,899.31,-897.35
1.625227,-1076.79,932.94,-899.65
1.647987,-1109.50,956.85,-913.12
1.670569,-1158.89,976.45,-931.38
1.693846,-1199.68,998.78,-952.80
1.808591,-1211.27,1136.57,-1128.35
1.838718,-1245.27,1160.11,-1176.30
1.860718,-1273.41,1177.83,-1228.25
1.882515,-1288.40,1196.39,-1282.08
