time_s,corr_x,corr_y,corr_z
0.000000,22.69,2591.16,-1140.88
0.023117,19.38,2578.31,-1141.69
0.046102,18.36,2563.45,-1142.45
0.068303,13.25,2551.17,-1144.29
0.091115,14.66,2536.23,-1143.33
0.116472,18.61,2520.73,-1141.87
0.139597,15.62,2506.45,-1141.99
0.162181,-29.28,2513.80,-1160.02
0.187800,-27.46,2497.06,-1159.49
0.208272,-31.44,2485.43,-1160.39
0.234238,-31.44,2470.99,-1163.10
0.255805,-31.74,2456.03,-1162.64
0.277265,-29.48,2439.67,-1162.66
0.297870,-30.02,2424.97,-1162.22
0.318743,-26.31,2408.24,-1161.69
0.348624,-33.62,2397.47,-1165.14
0.372405,15.53,2349.82,-1145.86
0.401410,8.49,2339.06,-1148.51
0.422854,10.85,2323.91,-1147.26
0.444373,9.44,2311.30,-1148.89
0.465466,9.51,2297.20,-1147.43
0.486642,24.58,2275.87,-1142.17
0.513479,15.14,2265.24,-1144.59
0.534623,15.80,2253.24,-1143.88
0.557975,-28.87,2251.82,-1162.33
0.591063,-22.94,2236.27,-1160.37
0.616552,-26.45,2222.37,-1161.18
0.641447,-24.69,2208.65,-1161.60
0.665229,11.86,2170.74,-1146.35
0.692798,24.77,2152.55,-1141.30
0.714965,-28.77,2153.29,-1161.07
0.751344,-25.53,2139.02,-1160.70
0.774387,14.91,2102.26,-1145.63
0.802720,28.78,2084.84,-1139.71
0.826068,17.09,2076.46,-1144.72
0.849198,18.31,2062.90,-1144.66
0.872435,21.92,2048.06,-1140.31
0.893793,-17.93,2042.87,-1157.01
0.924225,-30.16,2032.80,-1160.73
0.947830,-24.54,2017.23,-1159.73
0.971213,-27.44,2003.95,-1160.29
0.993932,-23.50,1990.68,-1158.86
1.016437,-19.95,1977.70,-1158.29
1.039471,-20.71,1964.37,-1158.07
1.063748,13.76,1934.11,-1144.63
1.091172,18.36,1920.56,-1141.32
1.116875,7.29,1910.13,-1145.49
1.140018,10.84,1896.93,-1145.05
1.167343,6.46,1885.02,-1146.50
1.188634,-27.01,1875.30,-1160.78
1.210638,-20.26,1861.68,-1157.70
1.233682,-21.70,1849.73,-1157.54
1.260563,-25.39,1839.12,-1159.47
1.283313,14.48,1811.05,-1143.02
1.314841,19.60,1797.86,-1140.92
1.337247,17.74,1785.43,-1141.88
1.359084,-15.59,1775.51,-1153.38
1.387205,-16.37,1763.93,-1152.93
1.408045,-19.16,1753.33,-1154.60
1.433858,-22.77,1741.66,-1156.57
1.455158,-13.36,1728.34,-1152.32
1.475578,-18.89,1718.41,-1154.41
1.498871,-21.65,1705.59,-1154.98
1.519452,-21.54,1695.19,-1155.31
1.557421,-23.79,1683.65,-1155.93
1.578456,-20.01,1660.23,-1154.29
1.611445,-18.12,1649.09,-1153.47
1.632878,-21.79,1637.92,-1154.94
1.659470,-20.65,1627.02,-1153.84
1.680779,-21.54,1616.53,-1154.86
1.702105,-19.01,1605.27,-1153.70
1.723302,-17.35,1594.59,-1153.04
1.747401,-19.42,1583.28,-1153.60
1.771459,-27.27,1571.64,-1156.55
1.796671,-23.53,1561.04,-1154.17
1.818590,-20.55,1549.88,-1153.96
1.843676,-19.15,1539.75,-1153.55
1.865112,16.07,1520.82,-1138.98
1.890520,14.93,1511.59,-1139.64
1.911676,14.66,1501.53,-1139.62
1.933654,9.35,1490.10,-1141.74
1.959688,9.89,1480.82,-1140.79
1.980629,-16.68,1466.45,-1151.06
2.011147,-16.92,1456.44,-1151.19
2.033499,-15.11,1445.18,-1150.93
2.059625,-19.62,1435.60,-1151.59
2.082330,14.67,1419.85,-1138.42
2.115071,12.97,1409.77,-1139.70
2.137292,13.57,1400.15,-1138.70
2.160074,8.72,1391.56,-1140.98
2.181524,15.32,1381.99,-1139.84
2.203053,-17.52,1366.29,-1152.47
2.234990,-9.95,1355.93,-1151.01
2.259597,-18.89,1344.98,-1155.38
2.282959,-18.86,1335.62,-1156.08
2.307441,-13.33,1325.24,-1152.08
2.330994,6.63,1311.19,-1144.42
2.355379,14.65,1302.04,-1140.69
2.377290,11.90,1292.31,-1141.50
2.401362,18.91,1283.41,-1138.87
2.423618,5.94,1272.42,-1143.62
2.444661,10.45,1263.34,-1141.79
2.466118,15.48,1255.07,-1141.63
2.488264,9.93,1243.56,-1142.38
2.513908,4.81,1234.29,-1144.30
2.535867,10.36,1223.43,-1143.96
2.557679,12.89,1214.72,-1141.24
2.579512,6.94,1203.41,-1144.48
2.602039,7.94,1195.19,-1144.94
2.626455,2.18,1184.10,-1146.58
2.649050,7.91,1175.01,-1145.47
2.675165,-27.78,1156.35,-1159.46
2.703180,-17.45,1147.57,-1157.19
2.724969,13.04,1136.88,-1146.72
2.753730,12.59,1129.24,-1146.98
2.777550,16.88,1117.92,-1145.04
2.801996,11.53,1107.38,-1146.42
2.823186,21.14,1100.17,-1143.48
2.844395,13.64,1088.11,-1144.87
2.866181,15.60,1077.92,-1140.90
2.887830,2.20,1064.64,-1145.13
2.913976,3.26,1055.98,-1144.39
2.936753,4.41,1047.27,-1142.46
2.958338,16.09,1040.31,-1140.80
2.981380,12.82,1030.67,-1143.45
3.002842,-21.53,1006.99,-1155.55
3.034265,-20.02,998.69,-1156.73
3.056022,-19.03,989.03,-1155.78
3.077507,-17.95,978.07,-1156.78
3.102123,-14.14,968.99,-1154.05
3.123503,17.16,962.03,-1142.68
3.153302,10.45,951.00,-1145.60
3.174577,8.84,941.22,-1146.36
3.201038,15.82,933.30,-1144.11
3.222749,12.02,921.64,-1145.94
3.244582,10.53,910.95,-1147.87
3.266892,11.32,901.11,-1146.40
