time_s,kf_x,kf_y,kf_z
0.000000,-54.77,2600.84,-1104.60
0.023776,-44.90,2583.08,-1104.31
0.046401,-50.46,2574.47,-1107.11
0.071489,-45.09,2558.65,-1107.53
0.093489,-44.58,2547.47,-1109.39
0.116418,-44.68,2535.36,-1113.11
0.139779,-43.93,2522.61,-1117.46
0.162382,-43.76,2511.27,-1122.58
0.183717,-27.88,2487.91,-1122.30
0.216979,-14.82,2463.13,-1131.51
0.238649,-22.50,2454.84,-1138.45
0.265644,-28.01,2443.61,-1151.23
0.318337,-28.76,2418.52,-1186.89
0.341476,-33.48,2410.33,-1188.79
0.367445,-24.50,2391.54,-1194.20
0.416982,-29.15,2367.75,-1233.81
0.451631,-35.09,2354.93,-1248.11
0.474165,-25.52,2337.87,-1242.24
0.503463,-31.19,2325.07,-1254.87
0.527975,-35.59,2314.98,-1260.23
0.552415,-36.65,2303.69,-1266.51
0.576100,-36.43,2292.40,-1272.08
0.597138,-37.30,2282.44,-1274.28
0.621068,-37.51,2271.16,-1282.74
0.643389,-36.97,2260.38,-1287.98
0.665622,-33.45,2248.45,-1292.59
0.688086,-34.55,2238.57,-1298.69
0.712111,-32.44,2226.41,-1306.37
0.735462,-29.20,2214.20,-1311.45
0.759738,-30.13,2203.75,-1318.17
0.784741,-29.58,2192.87,-1324.87
0.807903,-29.92,2182.78,-1327.24
0.829921,-29.10,2172.71,-1327.39
0.853954,-27.50,2161.47,-1331.09
0.876065,-17.70,2145.51,-1328.21
0.907742,-18.24,2129.54,-1345.15
0.932854,-22.04,2118.74,-1346.43
0.955864,-25.22,2108.79,-1343.40
0.977853,-24.99,2098.68,-1338.95
0.999801,-23.83,2088.22,-1335.70
1.023213,-24.47,2078.51,-1336.02
1.046857,-23.94,2067.93,-1336.39
1.070550,-23.13,2057.56,-1336.34
1.098665,-22.73,2045.79,-1344.20
1.124906,-35.18,2038.22,-1349.41
1.155278,-34.20,2023.15,-1357.60
1.179097,-32.10,2011.53,-1351.54
1.203020,-28.30,1999.79,-1346.55
1.228291,-28.08,1989.21,-1345.64
1.253942,-26.72,1978.48,-1345.02
1.278245,-16.30,1964.20,-1339.76
1.307773,-16.32,1950.35,-1346.24
1.331928,-18.96,1940.37,-1342.00
1.356289,-18.88,1929.98,-1338.48
1.380966,-21.71,1920.64,-1337.06
1.406686,-24.28,1910.69,-1337.89
1.432146,-25.29,1901.03,-1337.90
1.456270,-26.89,1892.22,-1336.07
1.480612,-26.77,1883.16,-1335.13
1.504807,-18.30,1870.60,-1332.14
1.530515,-18.39,1859.12,-1333.98
