time_s,raw_x,raw_y,raw_z
0.000000,379.40,2172.75,-342.05
0.024486,369.28,2105.72,-383.23
0.050973,171.46,2079.68,-461.36
0.074760,142.20,2014.50,-521.77
0.097406,338.34,1840.58,-591.00
0.150297,159.91,1705.28,-794.99
0.283709,314.24,1352.68,-966.11
0.306122,298.95,1313.17,-910.96
0.328402,188.71,1238.52,-846.99
0.360170,183.56,1195.74,-794.19
0.382247,176.45,1151.33,-749.22
0.407779,198.09,1110.10,-693.32
0.429951,172.63,1063.10,-661.21
0.452860,184.53,1026.42,-628.43
0.475903,178.31,979.28,-598.69
0.501063,274.98,951.42,-558.90
0.542527,287.83,913.13,-542.90
0.571461,286.38,840.38,-530.76
0.596213,268.47,796.64,-533.66
0.621152,274.13,761.49,-538.41
0.645009,271.28,723.79,-549.15
0.668293,172.92,621.36,-583.67
0.696086,170.96,580.34,-609.32
0.721162,192.62,555.52,-633.14
0.746913,194.43,521.57,-663.70
0.779896,259.11,506.96,-709.67
0.809833,258.00,472.47,-751.83
0.866504,251.14,374.07,-905.61
0.890613,203.21,286.38,-1009.52
0.924637,195.64,246.41,-1089.67
1.414191,198.82,406.59,-1122.27
1.443185,224.64,417.15,-1117.85
1.466177,169.38,377.30,-1142.73
1.496301,162.99,356.30,-1146.51
1.519049,146.19,314.62,-1157.48
