time_s,corr_x,corr_y,corr_z
0.000000,57.74,2524.82,-681.75
0.033781,119.54,2389.31,-738.00
0.057535,133.04,2277.77,-808.44
0.084541,167.47,2157.41,-877.36
0.204115,412.01,1631.57,-1013.61
0.225897,282.65,1567.42,-975.86
0.257454,302.63,1508.01,-915.33
0.279822,307.70,1447.80,-865.54
0.305158,307.29,1389.70,-824.65
0.327587,316.13,1333.04,-786.15
0.350130,475.03,1260.82,-708.83
0.379865,476.45,1211.24,-690.28
0.403057,359.26,1109.26,-688.57
0.435294,364.67,1053.63,-680.13
0.457995,358.39,997.30,-678.13
0.484934,383.35,948.21,-676.88
0.517727,515.02,914.63,-667.01
0.546055,519.43,865.51,-681.16
0.571064,406.13,735.07,-735.90
0.595212,430.47,694.11,-759.31
0.619686,448.43,652.02,-786.19
0.642881,543.84,633.46,-819.35
