time_s,corr_x,corr_y,corr_z
0.000000,179.57,2389.06,-574.55
0.029808,175.27,2313.62,-628.06
0.053201,-107.21,2345.47,-761.28
0.084485,-74.00,2246.49,-827.50
0.107874,-67.62,2159.93,-906.15
0.130477,-80.06,2087.90,-986.81
0.152340,-69.65,2003.91,-1068.73
0.177711,155.64,1833.06,-1096.05
0.203923,128.68,1787.33,-1061.54
0.225662,133.90,1742.86,-992.66
0.251639,139.39,1695.82,-930.08
0.275178,135.66,1650.87,-873.27
0.296914,148.91,1605.88,-820.44
0.319559,150.50,1562.71,-775.70
0.342509,10.82,1506.31,-740.40
0.372360,-2.11,1457.12,-707.63
0.395768,-2.83,1409.77,-678.29
0.421144,13.21,1364.85,-651.80
0.443928,14.59,1321.14,-634.02
0.466706,144.57,1262.39,-603.82
0.495920,145.18,1221.55,-598.63
0.525092,13.57,1141.01,-612.96
0.555309,16.60,1095.74,-619.62
0.579878,153.86,1057.71,-626.56
0.610777,147.02,1020.63,-645.68
0.635282,31.13,926.83,-698.43
0.662346,49.49,892.41,-729.04
0.685969,153.72,865.72,-763.18
0.716403,133.15,819.41,-819.35
0.739466,140.17,787.81,-855.93
0.784955,145.52,719.88,-956.06
0.808053,154.70,688.09,-1015.59
0.829815,141.87,649.04,-1079.22
0.889729,62.67,537.77,-1071.40
0.915896,138.52,539.00,-970.37
0.943331,154.70,520.29,-914.64
