time_s,raw_x,raw_y,raw_z
0.000000,459.38,537.31,-791.40
0.025676,245.98,532.53,-950.06
0.102121,282.18,847.06,-1128.25
0.153968,434.70,1067.31,-907.38
0.182037,291.70,1135.19,-883.61
0.216297,281.97,1201.85,-839.83
0.237237,283.66,1269.75,-796.92
0.259185,283.82,1336.46,-764.09
0.281017,441.99,1431.21,-692.49
0.309950,438.88,1492.90,-670.92
0.331545,444.19,1551.23,-654.71
0.356592,439.32,1606.52,-646.69
0.378279,434.85,1667.23,-643.36
0.399593,439.31,1719.33,-643.39
0.421591,294.40,1848.86,-680.07
0.452391,292.99,1910.24,-692.62
0.482300,287.03,1976.09,-713.18
0.503239,430.79,2002.54,-717.52
0.532262,432.66,2055.92,-743.44
