time_s,raw_x,raw_y,raw_z
0.000000,410.06,2209.03,-545.84
0.028204,458.79,2094.34,-493.46
0.050592,213.78,2054.21,-434.96
0.083657,213.30,1944.20,-390.89
0.106387,451.78,1722.15,-348.96
0.137303,449.03,1632.93,-324.89
0.158958,454.51,1539.94,-307.65
0.181146,454.43,1451.30,-295.17
0.202990,455.37,1365.22,-288.86
0.228767,217.59,1206.66,-264.82
0.264135,228.39,1107.91,-269.45
0.295641,443.29,1028.19,-303.14
0.321916,443.36,941.56,-321.76
0.346470,240.61,731.68,-346.13
0.375624,241.86,643.74,-379.30
0.400153,452.41,635.30,-431.53
0.686399,-266.05,111.53,-51.41
0.718453,-266.50,107.13,-58.24
0.936432,-300.46,76.71,-60.95
0.958970,-295.96,83.45,-55.14
0.981428,-280.81,100.03,-53.07
1.004444,-294.88,95.00,-44.45
1.059317,-341.57,86.41,-15.71
