time_s,kf_x,kf_y,kf_z
0.000000,-29.86,2518.38,-101.68
0.034769,-67.52,2441.66,-114.96
0.056715,-67.52,2441.66,-114.96
0.083364,-67.52,2441.66,-114.96
0.106264,-67.52,2441.66,-114.96
0.137555,-67.52,2441.66,-114.96
0.161434,-49.22,1854.40,-352.64
0.184090,183.13,1693.10,-390.34
0.209851,230.22,1598.09,-456.88
0.231522,236.70,1518.46,-524.50
0.258725,236.88,1435.46,-599.17
0.281227,228.53,1362.23,-666.84
0.305822,236.56,1288.59,-736.09
0.352382,124.26,1099.26,-930.27
0.450113,62.84,781.51,-1196.84
0.473659,61.93,723.29,-1172.94
0.498202,57.37,661.86,-1154.09
0.522962,249.29,687.91,-818.17
0.545660,237.82,641.89,-803.35
0.568078,244.00,597.92,-768.32
0.590529,249.91,552.98,-727.65
0.613531,247.23,500.40,-692.00
0.637350,152.49,377.74,-667.09
