time_s,corr_x,corr_y,corr_z
0.000000,68.77,2492.29,-710.73
0.025052,47.19,2407.28,-780.09
0.101664,54.19,2035.34,-1085.88
0.129377,67.81,1945.75,-1165.52
0.222599,251.79,1647.12,-863.97
0.251853,240.91,1599.61,-817.01
0.274814,255.09,1549.01,-767.76
0.299697,232.93,1501.33,-733.79
0.322516,91.86,1426.80,-707.23
0.356186,93.78,1377.46,-677.49
0.379340,245.99,1311.84,-628.31
0.411179,231.20,1261.89,-616.01
0.433524,94.94,1173.71,-617.54
0.464747,97.24,1125.10,-615.06
0.491763,84.46,1074.54,-620.73
0.517077,114.56,1031.44,-626.38
0.545103,227.02,987.44,-636.89
0.569566,214.47,943.79,-656.87
0.593613,100.06,839.04,-712.17
0.616610,95.44,791.95,-745.50
0.641334,116.38,758.83,-777.93
0.664607,96.18,704.83,-830.06
0.687879,103.95,665.33,-874.25
0.735917,211.15,618.84,-975.66
0.767658,202.06,578.53,-1036.62
0.816228,219.88,517.39,-1100.37
0.840038,102.95,400.09,-1053.35
0.866131,102.11,369.52,-1003.52
1.183747,379.51,444.41,-1003.74
1.237959,464.89,518.39,-1115.74
1.267400,476.09,528.86,-1138.73
1.293887,490.11,537.69,-1094.84
1.318501,511.42,551.16,-1052.78
1.344083,535.40,564.25,-1002.37
1.370383,545.24,572.33,-977.06
1.665390,776.45,707.33,-1059.71
1.688581,815.73,726.65,-1087.62
1.712741,859.07,745.96,-1118.73
1.737600,886.70,759.05,-1155.04
