time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.034769,-714.44,-1455.65,-480.45
0.056715,-714.44,-1455.65,-480.45
0.083364,-714.44,-1455.65,-480.45
0.106264,-714.44,-1455.65,-480.45
0.137555,-714.44,-1455.65,-480.45
0.161434,0.00,0.00,0.00
0.184090,4626.01,-3211.36,-922.69
0.209851,2671.51,-3544.53,-1893.60
0.231522,1575.69,-3604.58,-2465.60
0.258725,900.02,-3366.17,-2778.80
0.281227,527.09,-3333.33,-3025.98
0.305822,472.84,-3241.56,-3197.58
0.352382,-673.20,-3569.24,-3887.06
0.450113,-643.40,-3357.62,-4095.65
0.473659,-542.60,-3210.05,-3774.83
0.498202,-477.17,-3080.35,-3514.47
0.522962,0.00,0.00,0.00
0.545660,-228.34,-916.34,122.92
0.568078,100.25,-1597.42,560.12
0.590529,181.85,-1799.87,807.66
0.613531,64.19,-1991.26,827.32
0.637350,-1255.21,-3022.30,676.84
