time_s,kf_x,kf_y,kf_z
0.000000,198.65,2406.01,-710.81
0.113524,198.65,2406.01,-710.81
0.135351,105.96,1953.51,-1006.96
0.164550,120.66,1896.66,-974.96
0.186138,123.35,1842.24,-919.96
0.211184,142.77,1773.89,-852.56
0.232220,154.51,1716.04,-798.46
0.252179,163.03,1658.93,-750.28
0.276420,174.06,1594.69,-704.91
0.297949,185.04,1539.07,-670.38
0.324695,254.23,1459.73,-627.99
0.352455,311.03,1390.57,-598.03
0.373792,337.25,1337.70,-582.78
0.402168,365.94,1276.39,-571.54
0.423797,379.25,1230.40,-570.20
0.445550,393.14,1184.76,-573.32
0.467990,405.05,1137.85,-582.03
0.489308,413.92,1093.02,-595.67
0.514419,422.69,1041.81,-616.40
0.535025,393.61,983.26,-646.45
0.566125,366.96,906.29,-694.70
0.588495,350.19,854.54,-735.28
0.613808,341.32,800.64,-784.76
0.636276,337.44,755.09,-834.01
0.658329,362.89,717.36,-885.97
0.733928,413.06,592.55,-1085.40
0.755289,444.14,573.97,-1121.69
0.778526,464.06,545.89,-1145.94
0.802229,489.75,532.50,-923.97
