time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.162017,0.00,0.00,0.00
0.184115,-2436.21,-1000.71,198.03
0.214999,-1241.45,-1720.96,805.21
0.237382,-689.40,-2057.52,1176.95
0.267652,-401.84,-2098.67,1217.41
0.291611,582.33,-2334.35,1369.49
0.321102,869.70,-2337.27,1265.65
0.344590,284.40,-2479.18,1077.26
0.376372,33.60,-2450.22,777.63
0.399196,-96.45,-2437.92,562.72
0.421623,192.65,-2422.74,385.06
0.448603,370.84,-2373.25,142.97
0.472353,415.06,-2330.08,-81.63
0.496678,434.21,-2278.13,-314.52
0.520246,430.79,-2229.40,-542.44
0.550598,384.77,-2147.45,-834.32
0.572315,80.52,-2255.39,-1072.51
0.597752,-146.60,-2321.56,-1340.25
0.620870,-279.29,-2348.65,-1583.36
0.643196,-124.33,-2276.19,-1808.02
0.672380,-11.82,-2182.46,-2091.05
0.695537,75.80,-2089.85,-2306.67
0.721121,131.30,-1999.37,-2540.91
0.743401,-40.53,-2114.77,-2797.04
0.777713,-142.07,-2115.09,-3130.39
