time_s,raw_x,raw_y,raw_z
0.000000,73.99,2448.59,-485.89
0.024950,82.10,2369.99,-537.21
0.051638,-178.20,2396.26,-656.32
0.080260,-169.31,2311.63,-725.81
0.102654,-159.96,2228.16,-796.67
0.126842,-149.67,2144.26,-877.99
0.149516,-155.11,2067.28,-961.59
0.199185,81.78,1822.22,-1046.23
0.221404,80.86,1775.68,-985.78
0.247528,76.68,1733.42,-924.46
0.270055,91.91,1683.59,-857.36
0.296169,89.08,1640.96,-806.23
0.322283,-41.57,1588.95,-761.28
0.347063,-48.07,1540.07,-718.90
0.369327,-31.34,1498.47,-680.16
0.395003,85.53,1422.04,-618.15
0.432212,92.84,1377.95,-592.78
0.458143,-36.10,1308.90,-580.59
0.481847,-39.22,1261.97,-570.69
0.503173,102.77,1210.91,-548.87
0.536414,96.70,1168.84,-551.60
0.562739,-25.47,1083.26,-574.04
0.597886,-17.64,1040.98,-587.88
0.621005,116.72,1009.97,-602.71
0.649158,115.69,967.69,-627.62
0.673520,13.57,877.48,-690.32
0.703609,1.77,833.34,-729.21
0.728238,5.97,789.24,-779.57
0.750528,14.32,756.12,-819.99
0.773981,14.89,717.29,-871.25
0.799291,124.13,707.01,-924.96
0.825835,119.62,668.62,-989.61
0.851352,39.48,576.83,-1109.26
0.881770,43.00,553.36,-1057.39
0.904976,124.67,554.60,-945.93
0.937719,119.64,526.68,-899.44
1.014507,35.85,389.66,-794.13
1.249289,214.05,666.70,-757.24
1.278903,223.55,708.85,-781.15
1.301838,216.69,744.86,-815.64
1.327831,228.00,788.77,-849.96
1.352183,232.03,829.45,-883.22
1.374837,119.27,850.32,-994.70
1.399767,127.61,894.57,-1041.72
1.447747,179.77,986.16,-1099.87
1.470389,173.11,1010.16,-1042.94
1.493008,185.07,1040.14,-997.78
1.515870,193.05,1065.58,-959.62
1.537598,265.90,1119.76,-889.03
1.570530,273.54,1144.69,-862.50
1.592277,212.79,1171.93,-857.25
1.623877,212.40,1197.36,-844.56
1.647340,222.93,1224.84,-833.90
1.670650,228.91,1249.06,-831.29
1.693455,240.45,1275.43,-830.11
1.716151,242.96,1302.37,-838.39
1.738896,250.69,1329.02,-848.92
1.761471,314.91,1368.64,-853.31
1.790662,325.05,1393.38,-876.01
1.814092,336.56,1417.43,-901.40
1.836622,344.13,1440.67,-929.28
1.859345,343.90,1464.76,-967.09
1.884888,295.70,1504.36,-1054.85
1.911751,307.55,1529.40,-1106.28
1.938074,328.13,1542.91,-1074.68
1.964971,322.57,1556.89,-1035.45
1.990875,366.05,1572.97,-969.10
2.018819,371.04,1584.94,-939.28
2.040907,347.50,1608.06,-921.65
2.063920,352.58,1620.24,-905.24
2.088392,354.95,1633.17,-895.48
2.111378,361.08,1645.56,-887.58
2.135709,365.51,1657.28,-886.52
2.157531,366.29,1671.96,-892.46
2.181335,369.63,1684.92,-900.18
2.205170,374.10,1695.96,-912.13
2.227601,410.87,1707.52,-926.78
2.254396,413.63,1718.85,-954.18
2.278928,412.89,1734.37,-985.70
2.302954,422.34,1742.45,-1014.79
2.326568,424.65,1754.01,-1052.33
2.349161,433.91,1767.40,-1087.69
2.371693,429.10,1779.82,-1089.32
2.393334,400.58,1804.60,-1106.33
2.424217,406.22,1812.30,-1104.29
2.447406,430.26,1819.41,-1100.13
2.480080,438.85,1828.42,-1102.70
2.502993,441.18,1836.67,-1103.46
2.527433,438.07,1849.35,-1106.65
2.551612,449.22,1857.02,-1100.64
2.575530,434.29,1878.16,-1109.10
2.599814,436.60,1887.36,-1109.79
2.621841,439.91,1897.63,-1108.78
2.650975,433.14,1913.49,-1114.58
2.673458,466.69,1921.60,-1099.23
2.703309,472.79,1929.23,-1098.03
2.726227,475.02,1939.93,-1097.72
2.756097,480.32,1948.13,-1095.75
2.780084,445.05,1980.33,-1116.23
2.804437,450.56,1993.60,-1113.14
2.828699,459.04,2001.22,-1110.70
2.854160,490.70,2004.24,-1096.65
2.884055,495.61,2011.42,-1095.32
2.912761,470.68,2040.86,-1110.75
2.939165,473.71,2052.12,-1109.74
2.961612,497.72,2057.12,-1098.13
2.991574,503.90,2066.56,-1096.34
3.014092,501.80,2079.19,-1097.79
3.037110,504.87,2088.24,-1095.89
3.060077,510.39,2097.11,-1093.35
3.084345,485.96,2129.16,-1108.19
3.111336,492.43,2138.46,-1105.18
3.133721,500.88,2146.77,-1103.39
3.159802,499.79,2158.44,-1104.88
3.182888,497.57,2171.41,-1107.41
3.207207,504.58,2179.44,-1105.08
3.231141,501.82,2192.66,-1108.13
3.255065,540.12,2187.32,-1088.98
3.279465,545.49,2195.62,-1087.98
3.304339,554.89,2202.17,-1083.63
3.328257,556.84,2212.29,-1084.43
3.351349,562.39,2219.90,-1082.25
3.374283,547.80,2247.69,-1091.73
3.399583,546.51,2259.51,-1092.03
3.423163,541.36,2273.32,-1099.00
3.448534,540.01,2283.69,-1100.74
