time_s,raw_x,raw_y,raw_z
0.000000,-33.94,2594.15,-1098.24
0.031135,-50.15,2593.24,-1104.42
0.054024,-43.29,2581.77,-1101.64
0.077847,-48.21,2579.02,-1103.66
0.100801,-59.25,2578.78,-1108.18
0.122980,-49.71,2565.13,-1103.35
0.144447,-20.88,2535.66,-1092.70
0.173328,-23.04,2530.36,-1093.94
0.194895,-16.54,2520.77,-1091.74
0.242761,-24.41,2510.01,-1094.87
0.264358,-29.29,2505.79,-1095.84
0.287359,-28.80,2499.50,-1096.29
0.337829,-40.56,2488.96,-1100.83
0.359949,-61.41,2494.26,-1109.88
0.392105,-46.09,2478.54,-1103.28
0.419048,-28.83,2459.03,-1097.08
0.452454,-26.03,2451.43,-1095.69
0.478338,-48.14,2454.01,-1105.23
0.520070,-42.88,2436.53,-1104.94
0.572916,-21.51,2408.33,-1096.72
0.595384,-22.45,2400.26,-1096.06
0.621965,-24.94,2395.64,-1097.77
0.643405,-23.06,2388.41,-1096.87
0.665482,-19.73,2379.82,-1097.33
0.687360,-26.60,2376.11,-1099.57
0.708816,-42.26,2375.54,-1105.07
0.739654,-39.39,2367.24,-1103.08
0.787175,-48.84,2359.72,-1106.91
0.809267,-47.21,2351.23,-1106.39
0.833340,-29.08,2333.56,-1099.03
0.863545,-25.31,2324.53,-1099.12
0.885681,-27.38,2317.77,-1099.28
0.910170,-26.34,2312.86,-1099.08
0.932459,-45.24,2313.38,-1106.05
0.963767,-47.80,2307.42,-1106.59
0.985975,-34.67,2295.49,-1101.17
1.007942,-32.44,2286.65,-1100.79
1.030268,-39.78,2282.97,-1103.58
1.052403,-42.43,2279.19,-1104.82
1.078629,-33.00,2266.57,-1101.93
1.100060,-35.28,2261.30,-1102.61
1.122895,-40.13,2258.02,-1103.97
1.146088,-34.44,2248.14,-1103.52
1.167626,-22.71,2233.32,-1098.76
1.198350,-15.60,2225.25,-1096.16
1.221779,-14.87,2218.83,-1095.88
1.244340,-8.96,2211.02,-1093.64
1.265944,-16.11,2208.48,-1095.99
1.292637,-16.22,2200.99,-1094.60
1.317726,-18.84,2195.62,-1095.30
1.340326,-38.74,2194.46,-1103.13
1.367778,-35.96,2187.21,-1101.83
1.390177,-38.18,2181.46,-1102.69
1.412081,-31.13,2173.19,-1100.03
1.434464,-28.15,2164.06,-1099.46
1.455750,-11.16,2147.65,-1092.63
1.484699,-18.08,2144.02,-1094.81
1.506347,-20.97,2139.67,-1096.47
1.534297,-22.41,2134.44,-1096.21
1.556382,-18.14,2126.01,-1094.35
1.578166,-20.01,2121.32,-1094.22
1.600790,-11.97,2112.07,-1092.17
1.622768,-29.18,2110.93,-1100.12
1.651939,-37.50,2108.39,-1103.56
1.676774,-29.59,2100.88,-1100.63
1.700212,-39.41,2097.67,-1102.91
1.723227,-36.48,2091.06,-1100.93
1.745488,-7.88,2071.68,-1090.21
1.773448,-0.26,2061.91,-1089.28
1.795199,-9.85,2059.84,-1092.37
1.821491,-9.44,2053.62,-1092.55
1.843610,-15.21,2049.68,-1094.79
1.865772,-14.30,2043.64,-1093.84
1.887479,-9.65,2036.22,-1091.36
1.909498,-39.39,2037.09,-1102.90
1.939868,-28.68,2028.12,-1099.19
1.961471,-34.09,2023.96,-1100.84
1.987363,-37.24,2019.52,-1101.98
2.008796,-33.03,2012.73,-1101.04
2.028538,-10.75,1997.53,-1092.26
2.063927,-20.53,1995.61,-1094.93
2.090708,-16.40,1989.23,-1093.66
2.115149,-1.60,1978.84,-1086.89
2.141746,-28.24,1979.36,-1099.70
2.167936,-29.81,1974.14,-1099.47
2.193595,-31.38,1969.31,-1100.30
2.217186,-28.97,1963.02,-1099.93
2.238906,-14.47,1949.08,-1094.95
2.260486,-15.52,1943.69,-1095.39
2.286210,-21.00,1939.37,-1096.84
2.308811,-16.52,1932.17,-1094.60
2.334429,-10.63,1925.02,-1093.24
2.355998,-39.23,1925.59,-1103.00
2.387767,-34.21,1919.97,-1101.54
2.410322,-35.27,1915.04,-1102.62
2.430887,-14.42,1901.85,-1094.65
2.460629,-15.19,1896.69,-1095.25
2.482494,-18.06,1892.44,-1097.07
2.508889,-27.25,1889.72,-1099.40
2.530631,-14.33,1882.93,-1094.30
2.552340,-13.12,1877.24,-1092.52
2.573461,-7.88,1872.05,-1089.46
2.594285,-13.18,1867.07,-1092.43
2.621211,-10.87,1861.16,-1092.15
2.644848,-12.85,1856.81,-1093.64
2.666744,-17.70,1853.23,-1096.01
2.690437,-17.58,1848.80,-1095.33
2.711415,-26.70,1843.49,-1098.95
2.739302,-33.57,1838.82,-1102.70
