time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.113524,0.00,0.00,0.00
0.135351,0.00,0.00,0.00
0.164550,290.52,-1124.07,428.97
0.186138,192.71,-1946.94,1059.85
0.211184,496.86,-2354.99,1428.88
0.232220,518.43,-2494.05,1531.80
0.252179,492.58,-2597.27,1537.27
0.276420,481.96,-2612.42,1397.12
0.297949,488.17,-2605.90,1239.21
0.324695,995.31,-2693.04,1066.17
0.352455,1232.22,-2647.55,819.79
0.373792,1231.70,-2619.77,610.42
0.402168,1186.03,-2524.84,320.66
0.423797,1098.02,-2463.34,91.88
0.445550,1027.54,-2407.35,-134.99
0.467990,949.28,-2357.40,-369.91
0.489308,869.43,-2319.31,-594.78
0.514419,777.61,-2269.86,-852.81
0.535025,459.62,-2352.87,-1098.94
0.566125,170.07,-2379.76,-1442.50
0.588495,24.12,-2369.20,-1685.77
0.613808,-43.24,-2326.09,-1948.83
0.636276,-63.86,-2278.39,-2181.17
0.658329,127.16,-2189.34,-2403.39
0.733928,435.20,-1880.18,-3102.87
0.755289,602.84,-1714.12,-3178.88
0.778526,648.62,-1623.01,-3187.64
0.802229,0.00,0.00,0.00
