time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.025483,1766.19,-2993.21,-587.91
0.049738,559.44,-4065.23,-1315.50
0.075707,247.70,-4357.25,-1830.98
0.099072,247.70,-4357.25,-1830.98
0.122441,247.70,-4357.25,-1830.98
0.145293,247.70,-4357.25,-1830.98
0.177551,247.70,-4357.25,-1830.98
0.200004,0.00,0.00,0.00
0.224144,-2.07,-1764.00,-904.30
0.273394,3465.13,-3699.59,-2192.04
0.324326,236.05,-3938.78,-1567.34
0.353326,-277.51,-3729.00,-1196.76
0.376861,0.00,0.00,0.00
0.401417,23.96,-1117.56,211.17
0.423986,34.90,-2128.75,608.47
0.448497,69.79,-2435.13,844.41
0.471968,-189.46,-2681.36,820.81
0.495405,1200.66,-2171.74,891.71
0.522219,1313.49,-2052.14,714.23
0.545148,458.10,-2637.70,444.76
0.576009,-47.74,-2849.36,92.85
