time_s,raw_x,raw_y,raw_z
0.000000,-7.77,2515.04,-689.31
0.022008,-394.75,2589.81,-868.45
0.054291,-384.81,2478.38,-945.64
0.076133,-378.12,2372.08,-1028.29
0.100508,-366.90,2265.43,-1106.23
0.145863,-103.33,1984.48,-949.48
0.175863,-89.95,1916.78,-882.34
0.197487,-77.62,1853.86,-829.11
0.216524,-77.57,1791.71,-782.23
0.239940,-78.64,1737.24,-742.14
0.260895,-84.48,1680.40,-706.76
0.287162,-101.01,1624.93,-679.53
0.308679,-94.83,1563.94,-655.64
0.329405,-81.95,1507.47,-632.70
0.352011,-78.71,1453.74,-619.15
0.372624,-96.02,1396.07,-611.11
0.400892,-82.12,1344.95,-605.25
0.421034,-268.86,1248.31,-629.85
0.451272,-277.67,1189.86,-638.67
0.471806,-278.71,1130.74,-653.60
0.500499,-259.95,1077.31,-667.30
0.521542,-269.83,1021.87,-694.20
0.542298,-263.25,965.53,-722.87
0.566084,-259.80,914.99,-753.90
0.588708,-253.64,865.42,-790.17
0.612332,-112.05,827.78,-833.00
0.640843,-100.35,789.34,-872.57
0.662588,-102.48,744.01,-922.13
0.689726,-105.50,699.82,-978.92
0.712261,-99.11,659.35,-1039.84
0.735627,-98.63,618.29,-1070.50
0.757779,-240.93,489.77,-1027.54
0.789895,-227.93,455.77,-979.51
0.834383,-58.07,438.00,-839.62
0.864551,-65.53,396.30,-815.13
0.885521,-77.00,347.14,-795.88
0.913002,-51.52,325.23,-773.52
0.933320,-180.27,184.27,-782.51
0.964052,-184.47,142.33,-779.00
0.986416,-168.41,111.58,-775.28
1.012646,-70.72,118.92,-765.14
