time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.055658,-111.62,-1995.32,-1642.93
0.081193,-2849.25,-1596.29,-2886.78
0.106576,-2769.38,-1892.89,-3463.31
0.176174,273.74,-3268.11,-3559.27
0.197981,595.82,-3306.43,-3197.73
0.223981,675.27,-3169.05,-2865.87
0.247021,0.00,0.00,0.00
0.268556,255.12,-821.40,270.12
0.295374,47.00,-1419.03,767.63
0.317336,-1876.76,-1939.15,989.10
0.343764,-1949.93,-2053.25,948.82
0.365363,-1560.25,-2096.74,879.15
0.393732,-1155.30,-2032.92,678.58
0.417134,-307.19,-2066.28,565.77
0.448550,99.47,-2003.30,309.35
0.479854,289.95,-1905.13,33.74
0.502258,349.08,-1855.75,-166.64
0.529766,85.31,-1927.58,-440.14
0.554894,231.79,-1936.74,-678.00
0.582580,261.80,-1920.55,-940.93
0.608819,28.63,-2015.56,-1217.30
0.633832,-116.64,-2055.95,-1471.51
0.658289,23.81,-2018.33,-1714.35
0.689048,143.64,-1937.38,-2005.79
0.745579,-55.84,-1949.59,-2569.71
0.770601,92.98,-1846.69,-2808.92
0.857526,-160.97,-1745.16,-3370.42
0.881230,-196.96,-1636.97,-3253.46
0.906775,-191.22,-1524.25,-3119.92
0.931741,0.00,0.00,0.00
0.953791,-132.81,-496.90,130.24
0.977134,-1194.07,-1465.99,266.66
1.261752,0.00,0.00,0.00
1.285516,-702.84,-148.07,-993.94
1.312198,1160.85,885.60,-797.68
1.338793,878.23,672.64,-435.48
1.361732,650.15,526.23,-206.44
1.385359,308.58,370.16,-37.72
1.409164,205.80,317.06,16.52
1.432918,223.87,310.64,5.08
1.456005,215.00,292.68,-63.40
1.481459,213.20,283.46,-187.29
1.504280,193.43,262.09,-315.89
1.536015,173.98,240.67,-541.18
1.558962,184.06,234.96,-694.30
1.582043,214.26,244.40,-858.29
1.605015,238.91,249.36,-1029.50
1.632046,262.98,260.32,-1251.27
1.660017,281.32,269.68,-1480.28
1.684936,274.75,263.18,-1704.43
1.712165,271.41,259.29,-1940.80
1.735547,258.00,249.02,-2142.44
1.780490,290.84,249.57,-2534.59
1.801881,305.03,249.17,-2645.93
1.832516,306.43,243.44,-2756.46
1.855414,0.00,0.00,0.00
1.880555,74.97,44.29,-171.87
1.903401,94.34,50.08,-298.27
1.927151,253.77,120.01,-423.18
1.950839,259.82,119.57,-654.93
1.973306,199.36,33.57,-949.65
2.000245,168.62,8.91,-1169.52
2.025253,167.88,13.68,-1294.71
2.049277,182.71,22.10,-1383.43
2.072017,194.58,30.41,-1459.56
2.104449,188.73,31.56,-1595.88
2.128626,202.77,44.11,-1657.46
2.151803,223.32,53.51,-1719.47
2.176992,234.97,57.77,-1802.52
2.198967,253.67,61.60,-1861.39
2.225878,271.86,65.87,-1957.04
2.247417,271.82,59.20,-2011.98
2.280033,268.35,51.55,-2142.65
2.303841,268.33,48.02,-2188.84
2.326290,266.26,43.85,-2226.10
2.352295,263.98,39.44,-2287.81
2.374325,280.72,42.36,-2309.88
2.400965,289.21,44.03,-2363.04
2.422826,316.92,64.71,-2368.31
2.455780,314.41,64.44,-2448.39
2.477623,308.14,58.06,-2431.98
2.503476,304.09,49.48,-2447.66
2.527361,298.33,38.73,-2445.27
2.552308,316.19,40.63,-2445.73
2.578792,333.28,48.08,-2450.33
2.601840,336.32,47.94,-2429.07
2.629508,325.27,43.59,-2442.66
2.651891,311.06,29.57,-2421.64
2.679613,302.09,17.86,-2444.60
2.701889,312.98,14.45,-2430.72
2.724622,339.84,22.43,-2430.50
2.750686,374.95,28.88,-2463.33
