time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.023283,-296.41,-1329.29,-502.59
0.050278,-229.67,-2629.21,-1222.67
0.074047,-3440.32,-2637.04,-2019.92
0.096421,-3319.58,-2985.79,-2483.69
0.123617,-2559.07,-3234.93,-2819.91
0.254998,0.00,0.00,0.00
0.276665,387.36,-1242.38,-562.15
0.320149,71.12,-2624.63,617.12
0.344968,-184.42,-2710.28,996.61
0.367856,-140.75,-2667.93,1160.09
0.391251,-165.50,-2629.10,1167.01
0.414167,-187.09,-2605.09,1108.37
0.439008,435.10,-2380.90,1107.00
0.465898,648.67,-2240.69,973.58
0.488066,738.14,-2158.12,835.41
0.522477,683.37,-2038.81,530.24
0.545715,585.67,-2108.74,330.37
0.945083,0.00,0.00,0.00
0.993810,352.10,99.33,-412.73
1.019821,201.26,30.38,-545.79
1.146386,0.00,0.00,0.00
1.168986,-102.98,209.62,-574.90
1.194776,-66.02,554.07,-1414.13
1.218423,-895.59,213.13,-2346.54
1.240726,-903.76,290.45,-2172.50
1.266937,-797.39,366.69,-1732.16
1.289733,0.00,0.00,0.00
1.322920,-233.10,181.01,88.34
1.345796,-1184.85,39.59,308.72
1.379079,-1135.73,91.76,244.55
1.403357,-529.17,521.02,262.82
1.433228,-266.41,638.24,100.36
1.456092,-136.70,692.71,-46.30
1.480209,-128.60,689.17,-238.76
1.503731,-136.16,674.68,-435.14
1.528204,-335.55,598.62,-680.62
1.553869,-450.86,548.33,-928.74
1.576320,-533.99,514.38,-1148.20
1.601283,-539.77,501.94,-1378.17
1.624574,-539.74,495.98,-1590.92
1.647532,-528.03,493.95,-1799.46
1.671471,-489.31,499.27,-2013.58
1.693425,-357.90,562.35,-2216.09
1.720831,-271.42,590.84,-2462.05
1.743949,-245.15,595.40,-2604.07
1.769086,-217.41,596.11,-2690.00
1.791810,0.00,0.00,0.00
1.813997,-721.98,106.52,105.91
1.843632,-512.88,308.05,291.61
1.865775,189.82,700.08,526.80
1.899346,75.94,623.34,326.91
1.923194,-218.20,554.86,121.52
1.954667,-389.95,479.22,-178.15
1.981514,-252.90,528.36,-402.62
2.006897,-183.13,546.20,-628.08
2.039961,-296.90,512.40,-961.72
2.063721,-365.81,490.06,-1199.87
2.086378,-375.70,482.96,-1418.66
2.114517,-388.84,463.90,-1676.04
2.139102,-269.28,498.32,-1900.07
2.172339,-177.38,504.08,-2188.11
2.197193,-219.33,490.89,-2311.46
2.220109,-238.31,484.11,-2361.44
2.242180,0.00,0.00,0.00
2.263296,736.78,463.66,182.36
2.295719,124.93,428.05,325.41
2.318977,168.52,482.69,330.68
