time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.030897,1720.23,-2757.53,-722.52
0.053832,1198.34,-3891.85,-1674.37
0.123918,1198.34,-3891.85,-1674.37
0.145714,1198.34,-3891.85,-1674.37
0.169928,1198.34,-3891.85,-1674.37
0.192381,0.00,0.00,0.00
0.213438,220.67,-1099.81,246.29
0.234661,323.52,-2089.83,823.06
0.256075,387.61,-2495.39,1166.21
0.281570,460.70,-2486.19,1202.68
0.303972,-1192.75,-2714.10,999.38
0.333287,-1192.39,-2689.67,744.43
0.355561,-1025.27,-2685.51,551.02
0.381771,-859.36,-2658.33,310.39
0.403916,-710.49,-2656.54,109.08
0.429368,-531.39,-2628.06,-127.29
0.455530,-389.77,-2589.05,-372.66
0.480255,95.73,-2518.17,-580.11
0.504601,420.46,-2451.75,-792.34
0.530615,318.80,-2560.37,-1068.47
0.563114,222.56,-2580.35,-1400.16
0.587663,191.46,-2555.24,-1638.10
0.610108,461.20,-2431.73,-1840.23
0.636746,626.13,-2308.11,-2080.13
0.682109,695.53,-2175.42,-2500.61
0.702299,512.02,-2314.95,-2754.20
0.732970,335.97,-2365.69,-3074.97
