time_s,raw_x,raw_y,raw_z
0.000000,-484.11,2836.95,-547.32
0.021373,-497.44,2719.89,-611.35
0.049139,-54.65,2315.97,-651.02
0.076729,-66.89,2224.53,-714.99
0.098026,-74.23,2135.36,-775.99
0.125642,-69.77,2041.51,-843.21
0.169270,-95.23,1866.45,-995.04
0.190186,-125.53,1792.32,-1036.02
0.210948,-132.66,1728.16,-972.91
0.256833,-372.47,1583.87,-875.38
0.287015,-377.90,1510.23,-820.59
0.306708,-366.85,1441.81,-770.97
0.336571,-352.65,1372.85,-726.28
0.357489,-383.33,1301.70,-696.36
0.379052,-359.85,1237.13,-663.02
0.400998,-377.32,1166.92,-640.32
0.422728,-376.06,1099.45,-622.50
0.447562,-154.66,1042.15,-583.84
0.476406,-139.70,988.57,-579.34
0.496528,-143.09,926.55,-580.58
0.524677,-172.79,865.95,-588.94
0.545617,-141.23,813.81,-598.22
0.567037,-150.77,759.49,-615.12
0.589037,-142.54,706.84,-633.31
0.611883,-163.69,646.40,-659.12
0.637860,-141.96,600.21,-685.91
0.659714,-339.89,432.04,-771.95
0.689855,-317.10,386.72,-811.18
0.711191,-307.90,337.05,-856.63
0.801735,-300.63,141.61,-1092.51
0.825075,-317.70,86.99,-1085.60
0.849052,-166.59,125.88,-948.78
0.877569,-165.24,96.10,-900.41
0.898966,-184.38,45.31,-859.56
0.925661,-193.94,3.39,-823.88
