source,time_ms,meas_x,meas_y,meas_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,pred_x,pred_y,pred_z,intercept_x,intercept_y,intercept_z,bounces
measured,0.0,239.9,2331.9,-1022.3,239.9,2331.9,-1022.3,,,,,,,,,,0
measured,14.5,240.3,2275.4,-977.5,240.3,2275.4,-977.5,,,,,,,,,,0
measured,30.8,237.8,2219.3,-938.0,237.8,2219.3,-938.0,,,,,,,,,,0
measured,46.9,235.6,2163.6,-901.3,235.6,2163.5,-901.1,,,,,,,,,,0
measured,63.2,232.6,2109.6,-867.3,232.8,2109.1,-867.2,-118.6,-3421.5,2069.6,,,,,,,0
measured,80.8,230.7,2054.2,-835.6,230.5,2053.0,-835.0,-121.9,-3329.3,1840.4,,,,,,,0
measured,94.9,227.5,2001.4,-804.1,227.9,2003.2,-806.3,-132.2,-3318.4,1718.9,,,,,,,0
measured,110.2,227.2,1947.7,-777.5,226.6,1948.9,-778.4,-127.1,-3308.8,1576.6,,,,,,,0
measured,127.0,228.1,1897.6,-751.1,227.0,1895.3,-751.1,-111.7,-3264.6,1417.1,,,,,,,0
measured,138.3,219.3,1843.2,-731.4,222.2,1849.1,-732.6,-127.8,-3290.5,1321.0,,,,,,,0
measured,157.6,217.3,1790.1,-712.6,217.7,1786.9,-710.6,-135.0,-3254.0,1125.2,,,,,,,0
measured,171.5,218.1,1742.8,-694.4,216.9,1741.9,-694.8,-132.7,-3233.2,994.3,,,,,,,0
measured,181.4,207.5,1688.0,-682.5,210.9,1697.1,-683.6,-149.0,-3258.5,904.2,,,,,,,0
measured,191.8,211.9,1639.4,-669.6,210.0,1648.2,-671.6,-149.2,-3289.7,814.2,,,,,,,0
measured,206.7,208.4,1590.3,-660.3,207.7,1589.1,-659.5,-150.4,-3295.4,674.9,,,,,,,0
measured,224.5,205.4,1540.6,-652.5,205.1,1533.1,-650.8,-157.7,-3293.3,503.9,,,,,,,0
measured,239.9,204.6,1494.6,-646.1,203.9,1489.7,-645.6,-158.1,-3295.8,366.8,,,,,,,0
measured,258.6,198.0,1438.6,-645.1,199.1,1436.3,-644.2,-164.0,-3276.9,188.2,,,,,,,0
measured,270.4,195.6,1391.9,-644.6,196.0,1395.5,-644.5,-169.8,-3281.5,71.5,,,,,,,0
