source,time_ms,meas_x,meas_y,meas_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,pred_x,pred_y,pred_z,intercept_x,intercept_y,intercept_z,bounces
measured,0.0,-4.0,164.1,-982.1,-4.0,164.1,-982.1,,,,,,,,,,0
measured,18.5,-1.3,139.8,-985.6,-1.3,139.8,-985.6,,,,,,,,,,0
measured,38.6,,,,-1.3,139.8,-985.6,,,,,,,,,,0
measured,54.9,-5.2,86.5,-994.6,-5.2,86.5,-994.6,,,,,,,,,,0
measured,70.9,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,83.1,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,98.3,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,114.6,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,126.8,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,141.3,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,149.2,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,166.2,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,183.8,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,197.9,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,213.6,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,222.5,,,,-5.2,86.5,-994.6,,,,,,,,,,0
measured,237.9,-18.7,146.2,-956.8,-18.7,146.2,-956.8,,,,,,,,,,0
measured,256.1,,,,-18.7,146.2,-956.8,,,,,,,,,,0
