source,time_ms,meas_x,meas_y,meas_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,pred_x,pred_y,pred_z,intercept_x,intercept_y,intercept_z,bounces
measured,0.0,82.1,2443.9,-896.2,82.1,2443.9,-896.2,,,,,,,,,,0
measured,18.9,83.3,2375.4,-957.9,83.3,2375.4,-957.9,,,,,,,,,,0
measured,41.5,77.0,2306.6,-1021.5,77.0,2306.6,-1021.5,,,,,,,,,,0
measured,60.9,-90.1,2154.3,-1188.1,-88.2,2155.2,-1187.0,,,,,,,,,,0
measured,79.5,74.9,2124.8,-1070.4,22.1,2106.0,-1116.2,-923.4,-4108.5,-3170.9,,,,,,,0
measured,98.9,75.4,2077.2,-1017.4,67.3,2063.8,-1043.9,-335.5,-3782.1,-2035.2,,,,,,,0
measured,120.5,72.2,2028.3,-966.1,72.2,2028.3,-966.1,,,,,,,,,,1
measured,141.9,,,,72.2,2028.3,-966.1,,,,,,,,,,1
measured,162.3,72.9,1891.1,-822.6,72.9,1891.1,-822.6,1098.8,-2520.2,2793.9,,,,,,,1
measured,181.1,,,,72.9,1891.1,-822.6,1098.8,-2520.2,2793.9,,,,,,,1
measured,199.6,66.4,1755.7,-710.1,66.4,1755.8,-710.2,626.4,-2764.8,2470.8,,,,,,,1
measured,216.2,60.0,1708.2,-677.2,60.9,1705.1,-674.1,449.3,-2819.1,2289.6,,,,,,,1
measured,232.6,59.5,1663.6,-648.3,58.7,1659.9,-645.0,353.6,-2822.1,2095.5,,,,,,,1
measured,246.2,56.7,1619.8,-620.3,56.5,1619.5,-620.2,288.8,-2826.2,1943.4,,,,,,,1
measured,264.7,58.1,1576.9,-595.8,56.6,1573.2,-593.8,242.2,-2797.2,1730.9,,,,,,,1
measured,283.8,56.5,1533.8,-573.4,56.2,1530.6,-572.0,202.9,-2754.0,1510.8,,,,,,,1
measured,302.8,58.8,1492.0,-552.9,58.0,1490.2,-552.8,175.2,-2704.9,1296.9,,,,,,,1
measured,339.5,128.5,1492.3,-525.3,121.3,1483.5,-525.4,238.5,-2520.1,909.5,,,,,,,1
measured,360.5,52.3,1317.4,-500.3,75.0,1351.9,-503.5,184.6,-2539.2,693.7,,,,,,,1
measured,380.1,-25.6,1176.3,-492.4,-5.6,1198.4,-491.9,69.4,-2626.3,494.4,,,,,,,1
measured,401.5,-23.3,1137.5,-489.7,-34.1,1118.8,-488.1,-169.5,-2702.9,235.1,,,,,,,1
measured,420.2,50.1,1151.5,-488.1,19.1,1120.6,-487.9,-159.2,-2694.5,53.9,,,,,,,1
measured,450.3,49.8,1110.6,-489.3,50.1,1104.8,-490.0,-142.0,-2617.6,-244.0,,,,,,,1
measured,475.9,56.4,1034.2,-503.4,59.8,1043.6,-502.7,-116.5,-2535.1,-534.5,,,,,,,1
measured,493.0,52.9,953.2,-525.3,57.0,967.9,-522.4,-89.2,-2514.9,-725.5,,,,,,,1
measured,512.4,48.6,908.2,-539.0,51.3,906.5,-540.3,-70.7,-2509.0,-898.4,,,,,,,1
measured,530.7,42.3,861.1,-557.9,44.0,857.1,-559.0,-64.5,-2503.8,-1060.9,,,,,,,1
measured,553.7,53.4,834.8,-574.0,49.8,825.0,-577.2,-45.7,-2459.3,-1250.8,,,,,,,1
measured,571.8,55.5,758.0,-620.3,54.6,767.3,-614.2,-28.2,-2462.3,-1413.7,,,,,,,1
measured,591.0,54.1,718.2,-644.6,55.3,717.8,-646.0,-9.8,-2447.9,-1581.7,,,,,,,1
measured,612.3,113.1,744.6,-679.1,99.8,725.1,-681.0,68.4,-2344.0,-1769.2,,,,,,,1
