throw_id,frame_idx,timestamp_s,dt_ms,cam_x,cam_y,cam_z,rob_x,rob_y,rob_z,accepted,reject_reason,disparity,reproj_err,kf_pos_x,kf_pos_y,kf_pos_z,vel_x,vel_y,vel_z,kf_ready,kf_updates,buf_size,pred_x,pred_y,pred_z,pred_t_ms,pred_vx,pred_vy,pred_vz,confidence,spread_mm,hit_ratio,clamped,clamp_dist,bounces
93,0,1219942.976521,,98.69,-55.42,183.92,-577.8,2424.9,-212.3,True,,226.6,0.7,-577.8,2424.9,-212.3,,,,False,1,1,,,,,,,,,,,,,0
93,1,1219943.007917,31.4,87.59,-54.03,182.06,-502.7,2341.1,-226.3,True,,227.9,0.9,-502.7,2341.1,-226.3,,,,False,2,2,,,,,,,,,,,,,0
93,2,1219943.029084,21.17,78.33,-54.43,187.69,-502.7,2232.9,-234.0,True,,219.9,1.0,-493.2,2242.6,-234.8,,,,False,3,3,,,,,,,,,,,,,0
93,3,1219943.045125,16.04,70.05,-55.59,196.74,-537.8,2114.9,-239.5,True,,208.7,0.2,-496.9,2156.7,-243.0,,,,False,4,4,,,,,,,,,,,,,0
93,4,1219943.07276,27.64,60.72,-54.54,199.73,-513.3,2021.1,-257.3,True,,204.7,0.7,-478.9,2045.3,-262.6,,,,False,5,5,,,,,,,,,,,,,0
93,5,1219943.088917,16.16,52.06,-53.93,205.05,-512.6,1920.8,-274.4,True,,198.6,0.3,-481.9,1957.7,-277.1,,,,False,6,6,,,,,,,,,,,,,0
93,6,1219943.107172,18.25,43.68,-53.01,210.37,-512.9,1823.1,-294.4,True,,192.8,0.4,-485.0,1857.9,-296.7,749.1,-4319.3,-1242.9,True,7,7,,,,,,,,,,,,,0
93,7,1219943.136258,29.09,35.07,-51.78,216.27,-516.6,1720.9,-318.4,True,,186.8,0.6,-489.4,1726.7,-327.9,445.9,-4384.0,-1422.5,True,8,8,,,,,,,,,,,,,0
93,8,1219943.15222,15.96,26.92,-50.69,223.47,-533.9,1615.7,-343.0,True,,180.2,0.0,-503.9,1639.6,-348.2,217.1,-4565.8,-1540.0,True,9,9,,,,,,,,,,,,,0
93,9,1219943.181901,29.68,18.92,-49.02,229.84,-544.1,1516.8,-372.1,True,,174.7,0.3,-517.8,1509.6,-386.8,29.4,-4514.4,-1726.2,True,10,10,,,,,,,,,,,,,0
93,10,1219943.199925,18.02,10.8,-46.08,232.5,-520.9,1437.1,-407.6,True,,172.2,0.5,-518.7,1431.6,-414.9,17.6,-4485.4,-1864.0,True,10,10,,,,,,,,,,,,,0
93,11,1219943.219902,19.98,2.72,-43.92,240.86,-547.1,1327.8,-444.7,True,,165.7,0.4,-528.5,1337.0,-450.8,-65.1,-4526.2,-2032.8,True,10,10,-544.8,219.9,-1015.0,275.0,-51.8,-3603.0,3003.7,1.0,0.0,1.0,False,,0
93,12,1219943.250319,30.42,-4.82,-40.73,245.86,-546.3,1241.5,-486.3,True,,162.0,0.2,-536.4,1215.0,-505.7,-109.2,-4407.9,-2244.7,True,10,10,-561.4,220.7,-1014.1,250.0,-88.4,-3566.6,3002.7,1.0,0.0,1.0,False,,0
93,13,1219943.266664,16.35,-12.72,-37.7,252.27,-555.8,1144.6,-528.8,True,,157.5,0.2,-543.9,1143.5,-538.8,-152.0,-4403.8,-2369.0,True,10,10,-576.8,207.3,-1016.0,235.0,-124.1,-3594.9,3006.3,1.0,0.0,1.0,False,,0
93,14,1219943.293792,27.13,-20.32,-34.12,257.46,-555.9,1057.2,-574.7,True,,153.9,0.6,-550.7,1035.1,-596.0,-170.8,-4323.9,-2557.9,True,10,10,-584.6,192.1,-1006.5,215.0,-141.0,-3568.2,2990.5,1.0,0.0,1.0,False,,0
93,15,1219943.312286,18.49,-28.19,-30.8,266.37,-586.3,948.2,-623.9,True,,148.5,0.2,-563.9,953.0,-638.5,-242.7,-4339.2,-2692.7,True,10,10,-607.8,182.5,-1019.0,195.0,-203.1,-3631.2,3010.3,1.0,0.0,1.0,False,,0
93,16,1219943.331699,19.41,-34.78,-25.98,267.72,-557.6,890.2,-675.5,True,,147.5,0.8,-565.3,875.1,-687.5,-219.5,-4293.9,-2847.2,True,10,10,-602.1,171.0,-1008.9,180.0,-185.1,-3620.1,3000.9,1.0,0.0,1.0,False,,0
93,17,1219943.360511,28.81,-43.01,-21.61,276.44,-583.3,780.3,-735.0,True,,142.5,0.3,-575.3,760.5,-761.5,-245.6,-4229.3,-3043.5,True,10,10,-611.0,162.1,-1009.3,155.0,-210.4,-3623.5,3000.5,1.0,0.0,1.0,False,,0
93,18,1219943.376664,,,,,,,,,,,,-575.3,760.5,-761.5,-245.6,-4229.3,-3043.5,True,10,10,-611.0,162.1,-1009.3,155.0,-210.4,-3623.5,3000.5,1.0,0.0,1.0,False,,0
93,19,1219943.40576,,,,,,,,,,,,-575.3,760.5,-761.5,-245.6,-4229.3,-3043.5,True,10,10,-611.0,162.1,-1009.3,155.0,-210.4,-3623.5,3000.5,1.0,0.0,1.0,False,,0
