source,time_ms,meas_x,meas_y,meas_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,pred_x,pred_y,pred_z,intercept_x,intercept_y,intercept_z,bounces
measured,0.0,-308.6,2336.5,-1040.6,-308.6,2336.5,-1040.6,,,,,,,,,,0
measured,11.4,-292.7,2270.6,-1086.4,-292.7,2270.6,-1086.4,,,,,,,,,,0
measured,29.1,-270.6,2209.6,-1106.0,-270.6,2209.6,-1106.0,,,,,,,,,,0
measured,44.0,-262.7,2158.0,-1068.1,-262.4,2157.4,-1069.9,,,,,,,,,,0
measured,60.3,-253.9,2108.5,-1032.3,-253.8,2107.2,-1032.7,885.6,-3612.6,-25.8,,,,,,,0
measured,75.1,-237.7,2059.2,-997.0,-239.9,2059.2,-998.4,866.3,-3482.3,421.1,,,,,,,0
measured,91.4,-221.1,2011.4,-960.7,-223.2,2009.8,-962.0,870.4,-3352.6,681.1,,,,,,,0
measured,109.4,-211.5,1962.6,-930.3,-210.2,1959.9,-929.1,834.7,-3217.1,780.3,,,,,,,0
measured,123.2,-196.4,1916.0,-903.3,-197.4,1917.3,-904.0,830.8,-3156.5,834.8,,,,,,,0
measured,138.2,-168.3,1875.2,-870.8,-174.0,1874.2,-873.8,876.5,-3089.0,852.5,,,,,,,0
measured,155.3,-170.4,1819.7,-860.9,-164.9,1821.1,-855.9,850.3,-3044.7,767.6,,,,,,,0
measured,171.9,-150.7,1777.8,-840.3,-150.9,1775.6,-839.2,845.3,-2988.8,675.1,,,,,,,0
measured,190.8,-145.2,1729.1,-825.9,-142.4,1727.0,-824.9,817.6,-2926.7,541.9,,,,,,,0
measured,205.5,-130.4,1682.0,-809.0,-131.5,1683.8,-811.1,804.3,-2890.9,447.4,,,,,,,0
measured,220.7,-112.9,1641.2,-798.7,-115.8,1641.2,-799.6,801.0,-2854.7,339.7,,,,,,,0
measured,240.1,-108.4,1594.3,-793.7,-105.8,1592.2,-792.5,772.0,-2761.2,337.4,,,,,,,0
measured,256.3,-85.3,1554.6,-784.7,-88.5,1553.1,-785.9,769.2,-2706.8,273.9,,,,,,,0
measured,272.8,-75.3,1509.2,-781.7,-74.9,1509.9,-782.1,771.5,-2662.1,110.1,,,,,,,0
measured,288.1,-67.7,1463.8,-782.0,-65.8,1466.1,-781.7,760.9,-2634.9,-41.4,,,,,,,0
measured,310.2,,,,-65.8,1466.1,-781.7,760.9,-2634.9,-41.4,,,,,,,0
measured,325.7,-145.8,1263.0,-822.6,-134.6,1273.6,-819.2,566.4,-2725.1,-446.3,,,,,,,0
measured,343.2,-130.8,1219.6,-830.4,-141.6,1208.9,-833.7,430.1,-2812.0,-648.3,,,,,,,0
measured,365.6,-123.3,1172.3,-841.0,-133.0,1158.6,-845.5,317.8,-2846.8,-868.9,,,,,,,0
measured,381.5,,,,-133.0,1158.6,-845.5,317.8,-2846.8,-868.9,,,,,,,0
measured,394.0,106.4,1229.5,-828.6,69.0,1206.0,-835.5,520.8,-2673.8,-1082.6,,,,,,,0
measured,412.1,109.1,1181.5,-847.5,128.4,1193.3,-844.5,668.0,-2556.1,-1209.4,,,,,,,0
measured,427.7,120.4,1146.4,-868.2,144.5,1161.1,-863.2,803.3,-2453.2,-1308.7,,,,,,,0
measured,446.6,122.6,1099.1,-895.6,142.7,1110.8,-892.0,884.6,-2364.5,-1450.3,,,,,,,0
measured,460.2,132.6,1061.5,-918.4,140.4,1068.7,-916.3,962.1,-2293.3,-1551.0,,,,,,,0
measured,475.7,144.4,1026.9,-944.9,145.2,1027.7,-944.6,1017.1,-2217.3,-1671.6,,,,,,,0
measured,490.1,149.9,984.0,-976.8,150.0,986.2,-975.3,1065.5,-2161.0,-1782.6,,,,,,,0
measured,508.3,166.5,956.0,-1003.5,163.4,950.0,-1007.1,1118.6,-2083.3,-1911.8,,,,,,,0
measured,528.4,172.5,915.9,-1038.4,173.2,912.8,-1041.3,1139.6,-1992.8,-2052.8,,,,,,,0
measured,545.5,121.7,769.9,-1094.6,139.3,801.6,-1089.1,1102.9,-2017.1,-2182.4,,,,,,,0
measured,563.4,130.8,736.5,-1058.6,128.5,731.7,-1081.0,1064.0,-2028.2,-2227.2,,,,,,,0
measured,578.9,67.1,577.7,-1049.2,83.2,606.4,-1064.2,933.1,-2193.4,-2192.1,,,,,,,0
measured,595.3,82.2,554.7,-1019.0,82.2,554.7,-1019.0,,,,,,,,,,1
measured,613.7,89.7,514.6,-993.9,89.7,514.6,-993.9,-636.0,-3980.3,1072.0,,,,,,,1
measured,629.1,107.0,493.0,-967.7,106.9,492.9,-967.7,-296.2,-3433.6,1031.9,,,,,,,1
measured,645.8,119.4,469.2,-947.4,120.3,469.2,-946.6,-63.9,-3013.6,935.7,,,,,,,1
measured,661.7,106.4,398.8,-937.6,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,677.3,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,693.6,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,706.9,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,721.8,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,737.1,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,753.6,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,776.9,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,790.6,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,806.9,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,821.1,,,,114.0,411.6,-934.9,-24.4,-2931.1,787.8,,,,,,,1
measured,851.7,247.4,449.7,-910.6,247.4,449.7,-910.6,,,,,,,,,,0
measured,869.1,,,,247.4,449.7,-910.6,,,,,,,,,,0
measured,884.9,218.9,435.6,-919.9,218.9,435.6,-919.9,,,,,,,,,,0
measured,900.4,148.8,356.8,-943.4,148.8,356.9,-943.4,,,,,,,,,,0
measured,915.6,,,,148.8,356.9,-943.4,,,,,,,,,,0
measured,933.8,,,,148.8,356.9,-943.4,,,,,,,,,,0
measured,948.7,204.4,850.2,-603.0,148.8,356.9,-943.4,,,,,,,,,,0
