time_s,raw_x,raw_y,raw_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz
0.000000,500.48,2119.21,-399.56,500.48,2119.21,-399.56,0.00,0.00,0.00
0.025424,567.77,2014.42,-372.34,560.60,2025.59,-389.05,1202.62,-1872.90,24.24
0.045526,570.86,1928.98,-348.84,574.21,1943.16,-369.25,891.50,-3191.25,226.46
0.073605,577.78,1846.90,-330.63,582.66,1848.41,-346.05,548.58,-3297.55,248.03
0.098595,588.02,1762.71,-316.67,590.81,1763.81,-329.00,461.57,-3331.90,163.59
0.123078,592.95,1681.42,-306.62,596.81,1681.76,-317.73,394.08,-3337.95,22.47
0.147737,605.40,1600.98,-301.32,605.94,1600.24,-311.97,387.79,-3329.47,-150.76
0.177246,434.06,1494.60,-287.92,527.68,1498.38,-307.08,-436.80,-3362.71,-342.15
0.204568,458.00,1401.92,-297.62,489.87,1404.45,-311.49,-650.04,-3379.61,-555.06
0.233650,472.97,1228.31,-329.93,471.82,1273.25,-331.11,-643.60,-3629.60,-836.53
0.264257,480.72,1141.87,-353.46,463.75,1153.91,-358.63,-559.84,-3689.03,-1122.74
0.292507,667.47,1065.71,-400.07,532.51,1055.87,-396.11,33.93,-3645.71,-1408.89
0.321450,665.59,990.74,-432.30,582.79,965.42,-438.38,376.57,-3540.95,-1680.77
0.349777,529.92,812.73,-499.27,570.37,846.08,-492.60,216.16,-3673.20,-1970.37
0.377954,527.09,727.23,-549.08,558.84,737.10,-551.21,93.28,-3711.41,-2243.40
