time_s,raw_x,raw_y,raw_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz
0.000000,310.18,2295.73,-1281.78,310.18,2295.73,-1281.78,0.00,0.00,0.00
0.074281,472.85,2419.64,-1319.37,468.94,2416.66,-1318.59,1924.37,1465.77,-846.81
0.126759,465.88,2433.61,-1328.96,484.26,2444.20,-1340.39,861.03,852.92,-1011.52
3.383470,77.22,2826.48,-1808.79,77.22,2826.48,-1808.79,0.00,0.00,0.00
3.413775,131.38,2766.32,-1750.16,126.54,2771.70,-1765.41,968.89,-1076.16,643.41
3.446501,105.84,2794.87,-1770.99,113.92,2785.87,-1765.67,-5.80,9.74,40.01
3.480129,136.45,2772.78,-1748.86,131.03,2775.98,-1755.39,265.18,-150.24,-98.04
3.530050,102.95,2798.72,-1777.30,113.64,2790.89,-1775.79,-52.54,82.29,-618.00
3.569687,36.62,2847.29,-1830.08,65.29,2826.97,-1820.75,-445.27,360.78,-1102.79
3.609301,58.24,2827.50,-1810.40,53.43,2833.75,-1840.69,-401.67,304.14,-1286.82
3.648487,96.96,2811.03,-1786.72,67.34,2828.34,-1847.11,-191.12,181.10,-1367.57
3.700209,93.66,2811.35,-1787.53,76.14,2824.11,-1864.99,-62.38,87.39,-1517.60
3.747881,73.64,2832.25,-1807.13,73.40,2830.29,-1886.19,-60.72,101.31,-1660.33
3.796810,66.56,2835.60,-1811.99,68.46,2835.43,-1907.21,-74.41,102.54,-1769.71
3.843505,90.89,2818.41,-1793.35,78.01,2829.25,-1913.85,16.49,26.02,-1780.58
3.890231,58.12,2845.58,-1820.45,68.44,2838.03,-1930.56,-55.90,78.98,-1838.32
3.937372,98.04,2813.48,-1788.62,81.96,2827.58,-1929.87,57.22,-20.25,-1787.90
3.984421,91.16,2819.30,-1793.79,87.91,2822.96,-1930.23,80.06,-45.98,-1753.67
4.033868,89.22,2821.80,-1795.38,90.52,2821.25,-1931.91,70.60,-42.00,-1729.50
4.082594,104.99,2807.54,-1779.62,99.59,2813.25,-1924.26,109.97,-83.63,-1663.79
4.131004,86.31,2821.65,-1795.17,95.42,2815.55,-1923.98,43.61,-39.23,-1654.02
4.177561,99.78,2808.99,-1782.62,98.63,2811.34,-1917.06,51.83,-55.93,-1614.21
4.225172,114.14,2798.20,-1770.26,107.67,2803.39,-1908.08,97.85,-92.90,-1572.21
4.273459,108.90,2802.75,-1774.45,110.63,2800.85,-1903.80,85.47,-79.28,-1564.90
4.321571,95.96,2820.00,-1787.19,105.21,2808.69,-1906.05,18.84,2.17,-1594.01
4.369308,97.25,2819.48,-1785.11,101.62,2814.21,-1907.02,-12.53,40.02,-1609.40
4.420260,107.88,2814.32,-1774.37,104.55,2815.25,-1905.72,12.40,33.06,-1605.64
4.468357,84.28,2838.81,-1790.12,94.45,2828.10,-1908.63,-62.33,111.75,-1628.18
4.515861,58.94,2865.58,-1804.70,74.95,2849.76,-1916.94,-178.01,226.06,-1673.87
4.566911,60.01,2862.38,-1798.80,62.83,2861.86,-1923.49,-199.19,229.97,-1693.77
4.615555,27.17,2879.95,-1821.09,39.77,2876.60,-1934.65,-292.63,254.81,-1736.47
4.662397,36.04,2871.32,-1810.05,31.12,2879.81,-1936.59,-257.25,193.75,-1722.75
4.710237,-0.51,2900.58,-1839.66,9.02,2894.90,-1951.08,-325.75,234.52,-1776.51
4.762547,10.91,2891.10,-1829.57,1.86,2898.78,-1960.28,-256.74,175.91,-1780.11
4.811179,-6.78,2905.30,-1844.29,-8.64,2906.28,-1967.80,-242.85,168.56,-1781.70
4.859258,2.61,2897.43,-1836.74,-8.57,2905.70,-1968.99,-160.79,107.85,-1750.64
