time_s,raw_x,raw_y,raw_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz
0.000000,-282.30,2607.94,-1083.58,-282.30,2607.94,-1083.58,0.00,0.00,0.00
0.050617,-277.26,2604.05,-1082.59,-277.49,2604.23,-1087.03,76.39,-59.05,-351.52
0.073229,-292.62,2614.91,-1086.73,-287.81,2611.48,-1091.31,-172.08,118.07,-491.15
0.095569,-278.62,2604.69,-1082.40,-283.21,2608.00,-1093.40,-14.32,3.87,-580.74
0.130536,-273.17,2600.76,-1080.96,-276.56,2603.13,-1099.63,83.35,-64.52,-740.04
0.157459,-286.81,2611.37,-1085.36,-281.53,2607.16,-1105.82,2.26,0.20,-867.41
0.182999,-290.29,2613.08,-1087.05,-285.92,2610.15,-1113.14,-41.11,29.31,-990.91
0.211109,-282.51,2607.55,-1084.03,-284.95,2609.37,-1121.75,-22.68,15.51,-1120.68
0.247110,-280.73,2606.35,-1083.55,-283.43,2608.27,-1136.58,-4.63,2.67,-1295.68
0.276011,-278.47,2603.98,-1083.93,-281.40,2606.49,-1145.60,11.15,-10.89,-1411.60
0.303091,-278.14,2604.04,-1083.41,-279.93,2605.35,-1154.35,19.42,-16.90,-1517.23
0.337360,-285.12,2609.90,-1084.94,-281.59,2606.80,-1172.54,3.21,-2.70,-1674.06
0.988867,-294.09,2614.97,-1087.97,-294.09,2614.97,-1087.97,0.00,0.00,0.00
1.018237,-292.46,2614.60,-1088.00,-292.61,2614.63,-1090.15,29.32,-6.59,-247.47
2.468375,-473.34,2647.78,-1087.17,-473.34,2647.78,-1087.17,0.00,0.00,0.00
2.603667,-439.15,2638.09,-1084.28,-439.15,2638.09,-1084.28,0.00,0.00,0.00
2.801440,-249.82,2514.17,-1091.94,-249.82,2514.17,-1091.94,0.00,0.00,0.00
3.042516,-243.17,2508.75,-1085.60,-243.17,2508.75,-1085.60,0.00,0.00,0.00
3.133587,-252.70,2514.51,-1089.74,-252.55,2514.41,-1095.14,-96.04,58.01,-574.38
3.404890,-248.18,2514.18,-1092.13,-248.18,2514.18,-1092.13,0.00,0.00,0.00
21.708145,254.09,2262.10,-377.09,254.09,2262.10,-377.09,0.00,0.00,0.00
21.732004,233.69,2179.45,-329.20,235.99,2188.76,-357.85,-361.75,-1465.59,206.18
21.756429,228.60,2091.58,-288.72,228.32,2103.51,-319.20,-329.64,-2826.81,631.20
21.778853,438.54,1880.62,-260.88,377.73,1925.19,-282.27,3025.25,-5285.67,783.19
21.810339,426.77,1807.95,-236.30,440.56,1793.27,-247.87,2538.46,-4767.65,637.78
21.840058,427.39,1731.29,-218.53,461.51,1700.60,-225.72,1902.56,-4195.65,414.55
21.869058,229.97,1652.43,-169.43,361.55,1618.70,-195.50,391.27,-3808.18,301.45
21.897466,418.95,1511.65,-191.15,395.07,1511.07,-191.00,583.12,-3803.45,22.06
21.931513,424.76,1439.97,-193.19,419.49,1408.70,-194.84,618.24,-3595.01,-305.53
21.966245,418.74,1299.48,-207.56,431.07,1290.80,-209.94,547.07,-3544.93,-638.74
21.999097,416.26,1231.45,-221.55,435.19,1198.47,-231.08,450.42,-3376.54,-936.30
22.030921,226.34,1087.50,-231.00,359.29,1089.59,-254.47,-174.03,-3386.38,-1197.15
22.066240,402.95,1027.15,-288.98,373.32,993.14,-298.50,-34.22,-3225.96,-1524.98
22.098189,216.60,863.13,-331.09,310.80,879.44,-345.94,-462.35,-3300.09,-1812.51
22.130870,402.77,835.10,-399.91,337.62,796.46,-407.41,-168.41,-3125.74,-2121.07
22.162423,242.47,662.22,-474.99,297.59,684.07,-478.06,-412.84,-3222.65,-2426.01
22.256494,324.59,435.54,-739.03,298.55,413.93,-745.71,-117.16,-2977.31,-3332.84
