time_s,raw_x,raw_y,raw_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz
0.000000,385.29,2002.58,-651.96,385.29,2002.58,-651.96,0.00,0.00,0.00
0.203528,409.67,1417.98,-831.84,409.67,1417.98,-831.84,0.00,0.00,0.00
0.232829,411.67,1381.13,-774.57,411.26,1388.78,-806.02,31.45,-576.88,305.79
0.293290,286.37,1278.63,-673.08,300.42,1286.97,-702.86,-1417.93,-1437.27,866.48
0.322996,369.71,1233.37,-602.66,330.68,1237.19,-634.70,-643.81,-1513.05,999.64
0.363098,352.66,1196.54,-577.48,333.28,1188.42,-588.98,-396.87,-1409.60,704.62
0.400105,235.42,1087.69,-532.14,274.80,1110.68,-551.71,-719.90,-1598.21,452.07
0.448998,325.33,1055.78,-507.77,283.54,1044.45,-525.86,-450.27,-1525.11,52.08
0.488900,290.63,981.06,-503.67,277.00,982.44,-520.10,-387.82,-1531.43,-286.89
0.539589,196.95,900.40,-518.85,230.60,902.86,-536.00,-518.52,-1540.99,-738.84
0.591003,192.80,801.04,-570.03,199.20,814.02,-580.57,-540.00,-1584.54,-1219.95
0.639531,174.52,731.28,-628.22,173.61,734.77,-643.16,-537.33,-1594.79,-1668.26
0.687904,168.76,668.73,-704.93,155.80,661.92,-725.18,-502.43,-1576.46,-2110.00
0.735992,207.70,621.50,-810.01,160.19,599.39,-829.08,-381.14,-1520.04,-2553.95
0.783301,190.74,560.60,-925.62,159.98,539.63,-950.11,-305.27,-1468.33,-2985.13
0.830498,179.61,509.59,-1052.56,157.88,484.52,-1087.35,-252.63,-1407.60,-3404.00
0.877673,109.26,412.85,-991.50,132.80,416.23,-1181.80,-309.19,-1415.72,-3634.54
0.924562,101.40,370.13,-884.84,112.27,357.08,-1227.84,-335.20,-1384.51,-3686.88
0.971519,90.85,324.51,-806.42,90.85,324.51,-806.42,0.00,0.00,0.00
1.000904,136.90,307.77,-721.92,127.38,311.23,-767.24,721.12,-262.21,569.13
1.031313,102.55,268.41,-707.83,113.89,276.86,-726.13,43.91,-767.06,717.36
1.347916,-58.42,109.70,-909.80,-58.42,109.70,-909.80,0.00,0.00,0.00
1.380128,48.46,229.60,-938.29,28.23,206.90,-926.99,1678.97,1883.54,-550.41
1.409481,-67.80,195.29,-1046.98,-30.68,212.37,-1007.54,-350.90,949.02,-1765.80
1.438929,-71.59,218.73,-1102.64,-61.74,225.69,-1086.41,-656.67,733.13,-2324.08
