frame,time_s,rob_x,rob_y,rob_z,cam_x,cam_y,cam_z,disparity,reproj_err
1183,18.2262,-3.1,2433.4,-1116.9,74.14,45.39,134.7,239.4,0.21
1184,18.242,1.6,2425.4,-1114.7,73.23,45.14,134.64,239.4,0.31
1185,18.2584,-0.4,2414.3,-1116.3,72.36,45.12,135.37,237.9,0.03
1186,18.2741,3.3,2406.9,-1113.6,71.55,44.82,135.35,237.9,0.38
1187,18.2913,4.2,2396.2,-1113.1,70.56,44.66,135.78,237.0,0.36
1188,18.3079,4.4,2386.9,-1112.7,69.75,44.51,136.19,236.1,0.42
1189,18.3237,8.8,2378.6,-1110.6,68.82,44.26,136.17,236.0,0.43
1190,18.3395,4.3,2369.0,-1113.9,68.19,44.39,137.07,234.3,0.31
1191,18.3556,6.9,2360.5,-1112.5,67.34,44.19,137.23,233.9,0.03
1192,18.37,-0.9,2351.0,-1116.4,66.87,44.33,138.43,231.8,0.04
1193,18.3855,2.8,2341.0,-1113.4,65.83,43.97,138.53,231.5,0.29
1194,18.4007,3.8,2332.2,-1112.9,65.02,43.83,138.86,230.8,0.44
1195,18.4164,5.5,2323.2,-1112.1,64.16,43.67,139.12,230.3,0.03
1196,18.4326,4.5,2313.8,-1112.6,63.39,43.58,139.66,229.2,0.19
1197,18.4478,7.8,2306.2,-1111.7,62.56,43.44,139.73,229.0,0.03
1198,18.4631,2.8,2296.0,-1113.2,61.92,43.38,140.67,227.4,0.05
1199,18.4809,4.7,2287.7,-1111.3,61.1,43.12,140.86,227.0,0.04
1200,18.4964,2.4,2277.1,-1113.0,60.29,43.12,141.6,225.6,0.17
1201,18.5108,5.1,2269.0,-1111.5,59.46,42.92,141.73,225.3,0.22
1202,18.5248,2.6,2260.9,-1113.0,58.87,42.93,142.36,224.2,0.12
1203,18.5386,-3.3,2250.1,-1115.8,58.21,42.97,143.43,222.4,0.1
1204,18.5543,-4.7,2241.0,-1117.1,57.49,42.96,144.01,221.4,0.11
1205,18.57,1.6,2233.8,-1113.5,56.56,42.62,143.74,221.7,0.49
1206,18.5866,3.1,2225.4,-1112.0,55.76,42.39,143.99,221.3,0.36
1207,18.6032,5.5,2217.0,-1111.0,54.92,42.22,144.16,220.9,0.24
1208,18.6197,7.1,2208.5,-1109.1,54.11,41.96,144.39,220.5,0.36
1209,18.6366,3.0,2198.6,-1111.8,53.44,42.03,145.27,219.0,0.05
1210,18.6533,3.0,2188.6,-1112.1,52.56,41.94,145.75,218.2,0.03
1211,18.6701,2.4,2181.0,-1112.4,51.93,41.86,146.17,217.5,0.14
1212,18.687,-5.0,2169.0,-1116.3,51.24,41.97,147.45,215.4,0.23
1213,18.7039,-1.9,2163.8,-1114.1,50.65,41.74,147.39,215.5,0.01
1214,18.7215,-7.5,2152.6,-1117.0,49.94,41.8,148.46,213.8,0.48
1215,18.7369,-18.8,2136.7,-1122.6,49.09,41.98,150.3,211.0,0.39
1216,18.7533,-23.3,2125.9,-1124.8,48.36,41.98,151.25,209.6,0.46
1217,18.7703,-16.8,2119.2,-1121.4,47.47,41.67,150.94,210.0,0.22
1218,18.7872,-1.4,2111.5,-1114.3,46.06,41.12,149.84,211.4,0.3
1219,18.8031,-6.8,2102.4,-1117.5,45.53,41.23,150.81,210.0,0.45
1220,18.8192,-0.2,2096.4,-1112.6,44.7,40.78,150.43,210.4,0.22
1221,18.8351,-4.7,2084.4,-1115.8,43.87,40.87,151.45,208.9,0.05
1222,18.852,-1.1,2078.6,-1114.6,43.19,40.74,151.4,208.9,0.24
1223,18.869,-1.2,2071.2,-1114.7,42.55,40.65,151.76,208.3,0.57
1224,18.8855,-1.7,2064.0,-1113.9,41.95,40.47,152.13,207.7,0.26
1225,18.9026,-6.2,2052.8,-1116.2,41.19,40.49,153.09,206.3,0.25
1226,18.9195,0.4,2050.3,-1111.8,40.67,40.13,152.56,207.0,0.49
1227,18.9366,2.7,2040.6,-1110.9,39.71,39.95,152.8,206.6,0.04
1228,18.954,-1.1,2032.6,-1112.7,39.19,39.97,153.55,205.5,0.09
1229,18.9714,-3.1,2022.7,-1114.2,38.43,39.96,154.22,204.5,0.07
1230,18.9884,12.0,2018.7,-1106.4,37.36,39.38,152.97,206.1,0.57
1231,19.0049,8.8,2009.4,-1107.9,36.7,39.36,153.71,205.0,0.79
1232,19.0213,-4.6,1991.5,-1114.9,35.79,39.62,155.85,202.1,0.39
1233,19.038,-3.3,1983.7,-1113.9,35.04,39.44,156.09,201.7,0.41
1234,19.0551,-0.1,1977.5,-1111.4,34.35,39.17,156.06,201.7,0.42
1235,19.0699,-2.4,1968.6,-1113.2,33.68,39.2,156.73,200.7,0.4
1236,19.0846,-4.2,1958.9,-1114.3,32.93,39.15,157.36,199.9,0.31
1237,19.1016,-6.5,1950.5,-1116.2,32.31,39.2,157.99,199.0,0.25
1238,19.118,-3.8,1945.3,-1113.9,31.72,38.95,157.96,199.0,0.24
1239,19.1335,-4.2,1937.7,-1113.4,31.09,38.8,158.35,198.4,0.14
1240,19.1487,0.3,1932.5,-1110.2,30.43,38.49,158.16,198.6,0.19
1241,19.1636,-5.0,1923.2,-1113.4,29.86,38.61,159.12,197.3,0.13
1242,19.1774,6.7,1920.1,-1106.8,29.05,38.1,158.13,198.5,0.32
1243,19.1935,9.3,1915.1,-1105.8,28.48,37.98,158.12,198.5,0.51
1244,19.2086,2.7,1902.6,-1109.8,27.71,38.11,159.36,196.8,0.95
1245,19.2236,9.7,1902.3,-1105.0,27.35,37.75,158.68,197.7,0.86
1246,19.2372,9.7,1894.5,-1105.3,26.67,37.68,159.06,197.1,0.72
1247,19.2538,13.9,1887.3,-1103.6,25.84,37.49,159.01,197.1,0.49
1248,19.2692,9.4,1877.6,-1104.6,25.22,37.39,159.87,196.0,0.72
1249,19.2856,7.5,1870.6,-1105.2,24.71,37.33,160.39,195.3,0.68
1250,19.3025,5.6,1862.7,-1106.3,24.11,37.31,160.95,194.6,0.85
1251,19.3183,7.2,1855.2,-1105.1,23.37,37.13,161.14,194.3,0.34
1252,19.3345,8.1,1847.9,-1105.1,22.69,37.05,161.41,193.9,0.57
1253,19.3506,9.8,1843.6,-1103.8,22.24,36.89,161.45,193.8,0.48
1254,19.3663,8.8,1836.6,-1104.9,21.68,36.9,161.89,193.2,0.53
1255,19.3809,2.4,1826.3,-1107.1,21.09,36.89,162.97,191.9,0.74
1256,19.3959,5.0,1822.3,-1106.1,20.62,36.78,162.92,191.9,0.84
1257,19.4123,-3.5,1805.0,-1111.2,19.51,36.93,164.57,189.9,0.48
1258,19.4277,-4.1,1799.2,-1110.5,19.04,36.78,164.89,189.4,0.42
