frame,time_s,rob_x,rob_y,rob_z,cam_x,cam_y,cam_z,disparity,reproj_err
519,13.3531,42.4,249.2,-1075.1,126.95,31.33,197.52,199.9,0.87
520,13.376,41.3,239.5,-1074.2,125.98,31.26,197.44,199.9,0.71
521,13.4005,46.7,226.9,-1071.4,124.83,31.19,196.66,200.6,0.45
522,13.4258,40.0,221.5,-1074.0,124.19,31.3,197.26,199.9,0.67
523,13.4519,40.1,212.0,-1073.4,123.25,31.29,197.09,200.0,0.66
524,13.4786,29.4,207.4,-1077.1,122.61,31.39,198.13,198.9,0.91
525,13.5122,38.8,184.3,-1072.1,120.5,31.27,196.72,200.2,0.87
526,13.5374,39.0,174.4,-1071.7,119.52,31.28,196.52,200.3,0.91
527,13.5595,44.8,161.7,-1068.1,118.37,31.14,195.66,201.1,0.84
528,13.5913,13.5,170.6,-1083.6,118.71,31.8,199.2,197.4,0.65
529,13.6222,37.2,139.8,-1070.5,116.09,31.3,196.09,200.4,0.81
530,13.6462,35.2,131.1,-1070.9,115.19,31.32,196.15,200.3,0.99
531,13.6702,37.6,121.7,-1069.9,114.31,31.34,195.73,200.7,0.85
532,13.6936,45.3,108.1,-1065.9,113.1,31.21,194.67,201.7,0.97
533,13.7186,31.6,106.9,-1071.8,112.75,31.43,196.12,200.1,0.56
534,13.7417,33.7,96.2,-1069.6,111.73,31.33,195.68,200.5,0.86
535,13.7669,16.2,95.6,-1077.6,111.38,31.65,197.55,198.5,0.76
536,13.7973,30.4,71.2,-1070.3,109.21,31.43,195.59,200.3,0.42
537,13.8197,29.7,63.0,-1070.8,108.39,31.51,195.55,200.3,0.71
538,13.8469,27.6,57.0,-1071.5,107.76,31.56,195.66,200.1,0.81
539,13.8756,31.7,46.5,-1069.7,106.8,31.54,195.05,200.7,0.52
540,13.903,29.7,39.5,-1070.4,106.07,31.59,195.14,200.5,0.46
541,13.9289,14.2,35.8,-1076.5,105.45,31.79,196.71,198.8,0.58
542,13.9577,33.3,11.6,-1066.5,103.39,31.44,194.24,201.3,0.58
543,13.9854,33.8,2.5,-1065.8,102.5,31.43,194.02,201.4,0.45
544,14.0065,36.4,-8.3,-1064.1,101.48,31.39,193.55,201.8,0.65
545,14.0295,2.7,0.1,-1080.1,101.74,32.02,197.31,197.8,0.73
546,14.0544,13.8,-14.5,-1074.1,100.48,31.8,195.86,199.2,0.67
547,14.0776,4.4,-17.3,-1077.8,100.05,31.94,196.8,198.2,0.36
548,14.1028,-2.0,-22.9,-1080.1,99.38,32.02,197.38,197.5,0.5
549,14.1329,27.5,-53.9,-1064.5,96.83,31.42,193.66,201.3,0.48
550,14.156,24.5,-58.9,-1065.7,96.29,31.48,193.89,201.0,0.47
551,14.1793,23.7,-67.4,-1065.8,95.44,31.52,193.82,201.0,0.55
552,14.2037,28.7,-78.3,-1063.1,94.45,31.45,193.1,201.7,0.83
553,14.226,22.0,-81.8,-1065.7,93.99,31.54,193.75,200.9,0.55
554,14.2513,24.3,-90.9,-1064.4,93.13,31.52,193.34,201.3,0.71
555,14.2789,-11.8,-83.0,-1082.7,93.3,32.32,197.39,197.0,0.14
556,14.3099,20.1,-113.3,-1066.0,90.86,31.68,193.41,201.0,0.19
557,14.3354,23.0,-121.7,-1064.7,90.08,31.67,192.97,201.4,0.36
558,14.3628,26.0,-131.1,-1061.2,89.2,31.46,192.43,201.9,0.63
559,14.3926,0.0,-129.4,-1073.4,88.93,31.96,195.25,198.8,0.7
560,14.4216,25.4,-156.1,-1060.9,86.73,31.53,192.07,202.1,0.33
561,14.4492,28.3,-164.3,-1060.0,85.98,31.56,191.64,202.5,0.43
562,14.4731,14.8,-166.2,-1066.7,85.56,31.87,193.06,200.9,0.36
563,14.5027,1.1,-170.5,-1071.4,84.9,31.99,194.41,199.4,0.24
564,14.5327,15.9,-189.0,-1063.5,83.33,31.7,192.5,201.3,0.15
565,14.5561,16.4,-196.9,-1062.7,82.56,31.68,192.3,201.4,0.25
566,14.5786,17.7,-205.2,-1061.6,81.77,31.65,192.0,201.7,0.45
567,14.6025,11.4,-208.6,-1064.1,81.32,31.74,192.61,201.0,0.43
568,14.6257,11.4,-216.0,-1064.0,80.59,31.77,192.49,201.0,0.61
569,14.6505,15.4,-225.4,-1060.7,79.73,31.6,191.87,201.6,0.49
570,14.677,-9.4,-224.2,-1072.6,79.43,32.1,194.56,198.7,0.28
571,14.7096,20.8,-249.0,-1056.8,77.5,31.48,190.87,202.5,0.32
572,14.7332,17.2,-254.3,-1059.4,76.92,31.66,191.18,202.1,0.64
573,14.7587,14.2,-260.8,-1059.6,76.22,31.64,191.36,201.8,0.52
574,14.7872,15.0,-268.2,-1058.7,75.5,31.61,191.15,202.0,0.36
575,14.8134,14.4,-276.7,-1057.8,74.66,31.55,191.04,202.0,0.36
576,14.836,-12.8,-273.0,-1071.1,74.57,32.12,194.03,198.8,0.02
577,14.8623,-7.7,-283.5,-1069.2,73.62,32.11,193.33,199.5,0.29
578,14.8847,-3.4,-291.4,-1066.1,72.91,31.96,192.71,200.1,0.03
579,14.9069,9.8,-307.3,-1060.4,71.56,31.83,191.04,201.8,0.72
580,14.9325,1.0,-309.2,-1063.2,71.23,31.89,191.92,200.8,0.64
581,14.9561,3.4,-318.8,-1060.8,70.33,31.77,191.47,201.2,0.23
582,14.9795,-9.2,-322.2,-1066.5,69.78,32.01,192.76,199.7,0.16
583,15.0041,5.7,-332.1,-1059.8,69.05,31.8,191.0,201.6,0.08
584,15.0273,5.6,-339.5,-1058.1,68.33,31.66,190.84,201.7,0.06
585,15.0515,-4.7,-342.4,-1062.1,67.86,31.8,191.88,200.5,0.13
586,15.0777,-3.3,-350.1,-1062.0,67.13,31.87,191.62,200.7,0.91
587,15.1092,-1.6,-366.1,-1062.6,65.58,32.05,191.21,201.0,0.6
588,15.1371,9.1,-378.5,-1057.1,64.54,31.86,189.85,202.4,0.15
589,15.1627,17.0,-384.5,-1051.8,64.08,31.57,188.85,203.5,0.37
590,15.189,-4.3,-382.3,-1061.9,63.94,31.99,191.19,200.9,0.08
591,15.2253,1.2,-395.8,-1057.8,62.7,31.81,190.32,201.7,0.66
592,15.2516,-2.1,-400.6,-1060.5,62.17,32.01,190.63,201.3,0.76
593,15.2749,8.5,-411.1,-1054.7,61.32,31.77,189.3,202.7,0.83
594,15.3045,-10.2,-408.5,-1065.7,61.26,32.34,191.41,200.4,0.55
596,15.3572,-5.5,-424.8,-1061.7,59.73,32.15,190.59,201.1,0.67
608,15.6273,-12.8,-504.6,-1056.4,51.74,31.85,189.83,201.2,0.21
