frame,time_s,rob_x,rob_y,rob_z,cam_x,cam_y,cam_z,disparity,reproj_err
1378,34.6339,-525.6,-2393.2,-585.9,-143.36,-17.33,195.06,179.4,0.34
1379,34.6574,-468.4,-2343.5,-552.5,-137.5,-19.33,189.58,184.7,2.76
1380,34.6838,-463.5,-2331.2,-536.2,-136.21,-20.84,188.89,185.4,2.53
1381,34.7109,-474.7,-2326.4,-521.6,-135.93,-22.56,189.65,184.7,0.37
1382,34.7361,-468.9,-2315.9,-510.5,-134.81,-23.54,188.98,185.4,0.74
1383,34.761,-445.5,-2298.7,-501.2,-132.71,-23.92,186.8,187.6,1.22
1384,34.7912,-435.0,-2287.8,-492.6,-131.46,-24.54,185.76,188.7,2.34
1385,34.8229,-416.8,-2277.1,-487.5,-130.09,-24.62,184.07,190.5,2.48
1386,34.8467,-402.0,-2268.7,-486.0,-129.01,-24.42,182.76,191.8,2.22
1387,34.8749,-402.3,-2271.5,-488.0,-129.29,-24.22,182.79,191.8,2.73
1388,34.9023,-402.0,-2274.4,-491.9,-129.57,-23.82,182.82,191.7,2.75
1389,34.9277,-397.4,-2270.9,-494.2,-129.15,-23.5,182.5,192.1,3.2
1390,34.9527,-390.6,-2268.0,-497.8,-128.74,-23.0,181.99,192.6,2.27
1391,34.9814,-382.3,-2263.8,-503.5,-128.18,-22.25,181.42,193.3,2.83
1393,35.0326,-351.0,-2245.1,-503.6,-125.8,-21.53,178.76,196.2,3.75
