frame,time_s,rob_x,rob_y,rob_z,cam_x,cam_y,cam_z,disparity,reproj_err
621,15.932,-35.2,-575.6,-1063.8,44.37,32.35,190.97,199.3,0.57
622,15.9571,-35.5,-580.1,-1062.7,43.92,32.25,190.89,199.3,0.48
626,16.0561,-19.4,-613.5,-1051.3,40.9,31.73,188.52,201.6,0.45
627,16.0798,-35.4,-617.7,-1058.8,40.21,32.07,190.16,199.8,0.36
628,16.1029,-31.4,-623.2,-1055.6,39.74,31.89,189.61,200.3,0.19
630,16.159,-8.5,-642.6,-1044.3,38.22,31.48,186.82,203.2,0.04
631,16.1841,-16.0,-644.3,-1047.5,37.92,31.6,187.58,202.4,0.4
632,16.2134,-24.6,-652.0,-1049.5,37.01,31.62,188.32,201.5,0.33
633,16.2444,-20.4,-661.7,-1046.2,36.14,31.45,187.68,202.1,0.09
635,16.288,-15.7,-673.4,-1044.5,35.07,31.47,186.99,202.7,0.09
636,16.3111,-19.0,-677.3,-1044.7,34.62,31.42,187.25,202.4,0.15
637,16.3354,-30.7,-684.9,-1049.5,33.67,31.62,188.36,201.1,0.09
638,16.3589,-22.3,-688.8,-1046.6,33.43,31.57,187.42,202.1,0.22
639,16.3843,-21.2,-694.6,-1046.0,32.88,31.58,187.2,202.3,0.1
640,16.4058,-17.3,-701.8,-1045.0,32.24,31.62,186.69,202.8,0.16
641,16.4295,-38.5,-705.2,-1053.7,31.54,31.93,188.88,200.4,0.68
642,16.4553,-42.7,-710.3,-1054.3,30.96,31.9,189.21,199.9,0.41
643,16.4805,-41.9,-715.7,-1053.8,30.44,31.91,189.03,200.1,0.5
644,16.5058,-46.0,-721.2,-1056.3,29.84,32.07,189.39,199.6,0.17
645,16.5368,-37.9,-729.8,-1052.9,29.13,31.99,188.4,200.6,0.56
646,16.5624,-40.0,-733.3,-1053.4,28.74,32.0,188.55,200.4,0.84
647,16.5889,-42.1,-737.3,-1053.7,28.32,32.0,188.69,200.2,0.76
648,16.616,-63.9,-739.3,-1065.3,27.75,32.56,191.03,197.7,0.7
649,16.6449,-38.0,-749.1,-1053.6,27.22,32.15,188.1,200.8,0.46
650,16.6687,-20.9,-758.5,-1046.6,26.59,31.96,186.13,202.9,0.42
654,16.7567,-50.7,-772.2,-1059.2,24.73,32.48,189.07,199.5,0.42
