frame,time_s,rob_x,rob_y,rob_z,cam_x,cam_y,cam_z,disparity,reproj_err
1455,22.7092,41.3,2225.6,-1120.1,114.31,32.24,217.13,154.9,0.95
1456,22.7257,48.1,2207.5,-1116.1,112.43,31.86,216.68,155.0,0.51
1457,22.7433,55.8,2189.5,-1112.8,110.53,31.55,216.15,155.3,0.82
1458,22.7606,36.0,2177.6,-1119.6,109.67,31.75,218.39,153.5,0.84
1459,22.7769,47.1,2160.4,-1115.4,107.8,31.43,217.5,154.0,0.77
1460,22.793,54.8,2141.8,-1113.0,105.86,31.22,216.99,154.2,0.68
1461,22.8089,55.9,2128.1,-1111.9,104.49,31.03,217.08,154.0,0.71
1462,22.8243,46.9,2112.7,-1115.2,103.12,31.07,218.26,153.0,0.57
1464,22.8526,40.3,2083.1,-1116.9,100.3,30.9,219.4,151.9,0.48
1466,22.8817,51.5,2048.7,-1113.5,96.74,30.55,218.79,152.1,0.7
1468,22.9146,52.1,2019.0,-1112.5,93.8,30.24,219.18,151.5,0.79
1469,22.9311,31.0,2005.9,-1120.0,92.84,30.48,221.57,149.7,0.88
1470,22.9499,43.2,1989.1,-1115.5,91.0,30.16,220.57,150.3,0.77
1471,22.965,-22.0,1974.9,-1134.1,90.63,30.61,227.47,145.5,0.68
1472,22.9803,-18.3,1959.0,-1134.2,89.0,30.58,227.37,145.4,0.52
1473,22.9966,-22.6,1943.4,-1134.5,87.53,30.41,228.03,144.9,0.86
1474,23.013,-13.5,1926.8,-1131.2,85.76,30.16,227.35,145.2,0.75
1475,23.0296,-14.6,1912.9,-1130.9,84.41,30.0,227.67,144.9,0.63
1476,23.0456,-23.6,1897.9,-1133.5,83.07,29.98,228.82,144.0,0.57
1477,23.0621,-30.6,1884.2,-1136.7,81.83,30.06,229.79,143.3,0.38
1478,23.0789,-8.9,1867.1,-1129.8,79.8,29.68,227.81,144.4,0.6
1479,23.0956,-12.4,1852.4,-1130.1,78.42,29.54,228.39,143.9,0.38
1482,23.1437,50.1,1797.4,-1107.8,72.03,28.18,222.76,147.2,0.75
1483,23.16,45.6,1783.2,-1109.8,70.69,28.18,223.46,146.6,0.64
1484,23.1768,25.0,1770.0,-1116.6,69.72,28.36,225.79,144.9,0.69
1485,23.1937,40.8,1754.9,-1110.4,67.99,27.95,224.38,145.7,0.95
1486,23.2109,49.0,1741.6,-1107.2,66.56,27.7,223.73,146.1,0.75
1487,23.2274,90.6,1719.3,-1092.6,63.72,26.92,219.77,148.6,0.55
1488,23.2426,96.0,1706.7,-1089.3,62.39,26.61,219.37,148.7,0.3
1489,23.2595,89.8,1694.3,-1091.1,61.27,26.58,220.2,148.1,0.21
1490,23.276,101.6,1679.2,-1087.5,59.6,26.34,219.23,148.6,0.44
1491,23.2913,95.4,1666.8,-1089.5,58.47,26.34,220.06,147.9,0.32
1492,23.3064,98.8,1651.5,-1089.0,56.91,26.24,219.96,147.9,0.22
1493,23.3212,99.6,1639.4,-1088.4,55.71,26.11,220.06,147.7,0.1
1494,23.3367,85.2,1626.3,-1092.4,54.64,26.14,221.74,146.5,0.11
1495,23.3523,39.3,1605.1,-1106.2,53.27,26.44,226.79,143.0,0.24
1496,23.368,53.6,1591.4,-1101.7,51.71,26.19,225.54,143.7,0.07
1497,23.3834,37.2,1577.5,-1107.5,50.59,26.33,227.46,142.4,0.09
1498,23.3996,37.4,1565.0,-1107.2,49.35,26.22,227.63,142.2,0.05
1499,23.4168,37.9,1552.4,-1106.0,48.11,26.02,227.75,142.0,0.34
1500,23.4343,26.3,1538.5,-1108.6,46.92,25.96,229.15,141.0,0.7
1501,23.4503,33.3,1526.1,-1106.8,45.6,25.83,228.63,141.2,0.57
1502,23.4666,37.8,1512.5,-1105.1,44.19,25.65,228.37,141.3,0.78
1503,23.4838,36.0,1499.4,-1106.5,42.92,25.66,228.78,140.9,0.83
1504,23.4997,35.6,1487.7,-1106.1,41.77,25.53,229.0,140.7,0.63
1505,23.5169,38.4,1475.5,-1104.1,40.53,25.3,228.87,140.7,0.82
1506,23.5341,88.1,1462.0,-1086.0,38.44,24.4,223.92,143.7,0.14
1507,23.5501,87.0,1447.2,-1086.9,36.99,24.36,224.28,143.4,0.01
1508,23.5669,76.5,1436.2,-1089.8,36.08,24.36,225.52,142.5,0.24
1509,23.5834,89.2,1423.7,-1085.6,34.65,24.11,224.41,143.1,0.1
1510,23.6001,73.7,1411.2,-1090.8,33.65,24.23,226.2,141.9,0.11
1511,23.6167,94.1,1400.3,-1084.1,32.26,23.89,224.27,143.0,0.14
1512,23.6322,84.4,1386.1,-1088.0,31.02,23.99,225.5,142.1,0.1
1513,23.6493,86.5,1375.5,-1086.7,29.93,23.82,225.45,142.1,0.06
1514,23.6655,47.8,1350.1,-1098.3,28.04,24.03,229.82,139.2,0.12
1515,23.6817,37.3,1336.8,-1101.3,26.9,24.02,231.11,138.3,0.14
1516,23.6978,25.4,1321.0,-1104.1,25.53,23.96,232.56,137.4,0.08
1517,23.7146,30.4,1311.4,-1103.0,24.51,23.87,232.2,137.5,0.08
1518,23.7317,37.3,1301.2,-1101.3,23.4,23.77,231.67,137.7,0.06
