sample_id,n_points,n_first6,n_hit,rx_mm,ry_mm,rz_mm,frac_y_increase,dt_p95_s,dt_max_s,hit_after_p6,target_max_robust_z,rx_mm_rz,ry_mm_rz,rz_mm_rz,frac_y_increase_rz,dt_p95_s_rz,dt_max_s_rz,target_max_robust_z_rz,rule_penalty,score
64,52,6,1,20.3527765762481,3.287673092163734,2.379056014628984,0.0,0.01760354998987165,0.380128999997396,1.0,3.7738208073526773,2.728290643619967,0.485198363981676,0.6727069313030076,0.0,0.6669352678060194,90.43789827282127,3.140871866143884,2.0,100.13190134567583
192,37,6,1,8.819513848727928,4.687931522004194,2.4711434214149373,0.0,0.01796080000349315,0.3788141999975778,1.0,2.470270264858132,0.23516590813241453,0.044393511119282095,0.7476216287719477,0.0,0.12438118091037165,90.10677272084564,1.2665295877440514,2.0,94.5248645375237
155,43,6,1,5.406848895795568,5.556659728807461,0.6064827245705668,0.0,0.01799020999314956,0.368640000000596,1.0,0.9819073454631363,0.5025437590362032,0.3729552895664603,0.7693120852049682,0.0,0.07971635382781872,87.54445328794573,0.873549722173704,2.0,92.14253049775489
256,112,6,1,16.383039249158198,2.681934223711601,2.544545482543671,0.0,0.0192689499963307,0.3456918000010773,1.0,2.339706595463612,1.8701596396378795,0.7142949195379583,0.8073354745080678,0.0,1.8623006884386513,81.76506829194766,1.0787953974756357,2.0,90.09795441154584
37,45,6,1,7.162906210587398,8.135387005429227,2.788112003526716,0.0,0.01887602000060719,0.3373595000011846,1.0,4.491636440831432,0.1229399962610258,1.3482559802794643,1.0054810502154985,0.0,1.265559563413685,79.66662180801669,4.173000767989835,2.0,89.58185916617619
98,129,6,1,4.275481237625208,2.823196084500676,0.8543600128755569,0.0,0.018683930012048156,0.3487541000067722,1.0,1.8305832278116339,0.7471094782220378,0.6608682576152298,0.567659625754648,0.0,0.9738333090520497,82.53629264534048,0.34673981404942045,2.0,87.83250313003386
103,109,6,1,1.8120252971629895,7.616396540334152,1.3062179208826687,0.0,0.017957160000514644,0.3498891000053845,1.0,1.5606406521249923,1.279630334206272,1.1519685466801288,0.20006540566781983,0.0,0.12990923806082671,82.82213650074418,0.041403772145079724,2.0,87.6251137975043
43,112,6,1,7.362126663738907,5.111237305702164,13.575704155117077,0.0,0.0188981500105001,0.307986699976027,1.0,0.5639839647120956,0.07987486791864373,0.20449203218673273,9.781373766286396,0.0,1.2991683159752996,72.2692346595951,1.474471156469946,2.0,87.10861479843211
31,122,6,1,11.690508196500723,8.490443249619783,5.137309910040641,0.0,0.0183740999782457,0.2903851000010036,1.0,0.8495644333402874,0.855783611290932,1.4825418364614582,2.9165941611561266,0.0,0.5032957452364835,67.83636311396867,1.0638422404551326,2.0,76.6584207085688
247,44,6,1,7.501878631632733,0.7634836508975101,0.35640079344407133,0.0,0.04448148999654219,0.109513200004585,1.0,7.346302590156998,0.049664935463209665,1.4398722947521034,0.9727580597054413,0.0,40.15247870541581,22.284714398213573,8.277652854711778,2.0,75.17714124826192
66,38,6,1,4.473396999079157,2.3818314560448273,0.6868471742968835,0.0,0.018062080000527156,0.2973209999909159,1.0,1.461681801490498,0.7043263827458289,0.8277968160912551,0.7039342159758044,0.0,0.0294323228444466,69.58313350712731,0.1836941947405372,2.0,74.03231743952519
58,106,6,1,19.415218126672414,9.777857308595637,3.1933487509084766,0.0,0.01832886000047432,0.2729933999944478,1.0,2.7436305395090343,2.5256203137379485,1.9694548312306022,1.335148150125979,0.0,0.43458998205928245,63.456353785354835,1.6595873966362757,2.0,73.38075445914491
80,81,6,1,11.273460783212034,13.86121183717407,1.406190963721436,0.0,0.017572859994834242,0.2530697000038344,1.0,3.97816345888584,0.7656312193350875,3.5138207392710403,0.1187356069394875,0.0,0.7135440336547837,58.438673409859874,3.4346909844390487,2.0,68.98509599349931
1,92,6,1,7.866123605226937,5.550604542581325,7.066383236408914,0.0,0.017337500001303803,0.216673900024034,1.0,0.9627294092317586,0.02907324772911728,0.37066515700289443,4.485928662845289,0.0,1.0709842618221768,49.272580194487105,0.9011251904958902,2.0,58.13035671438247
178,127,6,1,13.219042972323045,3.5411146894982215,2.6773856708576766,0.0,0.018113250000169476,0.220027300005313,1.0,1.92557943962129,1.1862042345515398,0.3893441931367657,0.9154032643025216,0.0,0.10714398519249543,50.117116564999414,0.48333245873654346,2.0,55.19854470091928
108,139,6,1,3.116193772519328,2.329491387914479,0.7014876048095047,0.0,0.017862920000334213,0.2042124999861698,1.0,1.4458547406141322,0.9977105720391019,0.8475923582807217,0.69202397264343,0.0,0.27303112832647997,46.1342413091073,0.20645152433867542,2.0,51.15105086473571
127,64,6,1,12.976206842251177,2.1819096738317563,0.8564259947204045,0.0,0.018688679981278218,0.1745411999872885,1.0,0.8381284633631394,1.1337107834912756,0.9034092525240134,0.5659789138062398,0.0,0.9810470672609701,38.66167849246421,1.0802857317689873,2.0,45.326110241315696
143,60,6,1,12.492228781521572,4.502553016497726,1.0844244105020227,0.0,0.01884949002123895,0.1759798999992199,1.0,1.5118089304508437,1.0290901134219903,0.025718511234884122,0.3804982608285847,0.0,1.2252685957924885,39.02400761905684,0.11161766679450257,2.0,43.796200767129285
265,71,6,1,4.428477664416744,10.374579740430306,8.694896089626761,0.0,0.020066895005584166,0.125413000001572,1.0,1.0026879724243645,0.7140365148215755,2.195141279428691,5.810752023401741,0.0,3.0741364039920014,26.288996457106393,0.8436697854813004,2.0,40.926732464231705
135,61,6,1,12.856414932566315,0.9197422109073237,1.3661964445423656,0.0,0.034162530010507855,0.0631654000026173,1.0,1.2094698420347707,1.1078155810492138,1.3807737297782068,0.1512718397349235,0.0,24.481117755190073,10.61226165967591,0.5463433773501268,0.0,38.27958394277845
136,56,6,1,3.4592944852223604,5.058877092036884,0.9289352801190087,0.0,0.01926889000460504,0.1331484999973327,1.0,0.8664118980489642,0.9235431058317956,0.18468887075256663,0.5069913565612891,0.0,1.8622095792582574,28.23714195928,1.0396176980550405,2.0,34.75419256973895
82,59,6,1,3.047751807052644,8.962405862709197,0.22059270245036566,0.0,0.018429000000469348,0.0319206000131089,1.0,19.770253500769027,1.0125055490617976,1.6610428616415376,1.0832402896402697,0.0,0.5866721771256068,2.743421041844742,26.14173690622961,0.0,33.22861882554356
102,47,6,1,3.978909104535314,4.594684096103602,0.5538324545239196,0.0,0.017801749992940975,0.1336032999970484,1.0,1.958605714674448,0.8112189447564657,0.009126393222581663,0.8121439901294994,0.0,0.36592976021232915,28.35168097735514,0.5308201023776835,2.0,32.8809201680537
10,59,6,1,9.39468499138552,5.6403951188073735,11.888074306581299,0.0,0.030559195000387215,0.0321921999857295,1.0,1.1836893870176517,0.359499623298427,0.4046248594525106,8.408457707997565,0.0,19.008748093459516,2.8118220844846835,0.5834124400521382,0.0,31.576564808744838
28,144,6,1,13.219725716224449,6.552407996706507,3.1224238320439723,0.0,0.01897521999489976,0.1146285000140778,1.0,0.968539805634417,1.186351822077187,0.7495573375079033,1.277449502447761,0.0,1.4162141757896594,23.57297614098693,0.8927705688093971,2.0,31.09531954761884
9,68,6,1,7.461009259818708,5.288243580124627,12.052468276042658,0.0,0.018513420005910962,0.089692899986403,1.0,1.0085528784663145,0.0584995943278043,0.2714375922193243,8.542195044271374,0.0,0.7148804828546794,17.293074768801937,0.835236785766358,2.0,29.715324268241478
