sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,dt12,dt23,dt34,dt45,dt56,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit,has_bounce_before_hit,hit_obs_index,hit_obs_in_workspace,hit_obs_selected_from_workspace_pool,hit_center_dist_mm,has_trajectory,trajectory_path,first6_count,selected_count,first6_dt_max_s,first6_dt_min_s,first6_vmax_mm_s,first6_vmed_mm_s,first6_vmax_to_med_ratio,selected_t_from_p6_s,selected_t_mismatch_abs_s,hit_xyz_diff_mm,flag_missing_trajectory,flag_first6_count_not6,flag_selected_count_not1,flag_t_hit_nonpositive,flag_first6_gap_exceeds_0p03,flag_speed_spike,flag_selected_t_mismatch,flag_hit_xyz_mismatch,is_rejected,reject_reasons
3,2026-04-05T00:28:55.898,-57.139840816111246,2122.391205454841,-894.9238049850421,-58.21733319474788,2074.3602028156142,-874.7547015312535,-61.574699925608456,2025.959245754004,-851.1501545086094,-64.46411219833772,1978.485688513436,-834.402653826385,-144.77332640151965,1938.5158581635628,-831.7876823864542,-57.71451491149355,1882.534714415546,-797.8340284056917,0.016674000013154,0.0146911999909207,0.0139908000128343,0.0135443999897688,0.0126286000013351,-120.59721485792306,-149.44690073736933,-972.5371013314924,596.7658744650025,-1281.245857994101,985.5412746418568,0.9081521999905816,1.0,1.0,1.0,1.0,66.0,1.0,1.0,205.27955436688865,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000003_20260405_002855898_trajectory.csv,6,1,0.03086309999343939,0.014689100004034117,4833.364616393392,4072.2622011447966,1.1868991675031715,0.9081521999905816,0.0,0.0,False,False,False,False,True,False,False,False,True,first6_gap_gt_0.03s
14,2026-04-05T00:31:12.217,-71.19498093176207,2016.2055553130008,-652.8317873552896,-79.7337778955989,1955.868577090104,-648.6798343440306,-67.57223016399257,1897.94111781861,-647.0504860622508,-73.04971546521801,1838.34122036884,-645.0017866360902,-61.87601518508063,1780.5238479723257,-648.6595189298265,-55.39128291381394,1723.135428040535,-651.935612815633,0.0150922999891918,0.0157955000177025,0.0177778000070247,0.0180150999804027,0.0171223999932408,-158.20549506531097,-64.72623587239332,-874.9541716418514,-1934.1674552248928,-3674.605619762835,-1719.5112009012576,0.6249514000082854,1.0,1.0,0.0,0.0,46.0,1.0,1.0,172.759248080138,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000014_20260405_003112217_trajectory.csv,6,1,0.0313861999893561,0.014463600004091859,26686.275693959335,4009.138163612602,6.65636219179649,0.6249514000082854,0.0,0.0,False,False,False,False,True,True,False,False,True,first6_gap_gt_0.03s;first6_speed_spike
40,2026-04-05T00:32:41.774,595.1171366048034,853.5020914660121,-913.295628434153,596.9915816310381,858.5292351064511,-934.821990692441,595.2285628286468,861.2381673204198,-957.834432612055,603.3573528286131,868.5040618317348,-981.091409520015,604.9689284234789,874.0200408347025,-1006.0716819504696,607.3474399696365,878.8983696820426,-1036.5147075103096,0.0171045000024605,0.0159408999898005,0.0158311999985016,0.0167216999980155,0.0151145000127144,607.3474399696365,878.8983696820426,-1036.5147075103096,219.50394091151327,332.64424585691546,-1701.070558841568,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1077.0188124791734,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000040_20260405_003241774_trajectory.csv,6,1,0.017104500002460554,0.015114500012714416,2045.9175469651004,1532.902581531957,1.3346689943730443,0.0,0.0,0.0,False,False,False,True,False,False,False,False,True,t_hit_nonpositive
45,2026-04-05T00:38:00.517,-436.26625520319885,1960.9156604662144,-778.841097885182,-457.2384501403503,1884.1502627746404,-785.4660578248454,-469.5560872092856,1807.0685749552565,-794.4258193702171,-496.9544943284877,1732.445252429376,-806.2613924115009,-521.2419457887218,1656.1237607275862,-819.3235948094671,-550.7867943444221,1585.5499251567674,-832.2089974594403,0.0177090999786742,0.0153975000139325,0.0149738999898545,0.0145945000112988,0.0149909000028856,-832.4210661397847,199.789639127436,-886.081641138321,-576.8997907594133,-2817.452354771457,261.178360022516,0.3851190999848768,0.0,1.0,0.0,0.0,26.0,0.0,0.0,856.1743116733702,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000045_20260405_003800517_trajectory.csv,6,1,0.03286780000780709,0.015123199991649017,5612.265088216697,5333.630107547875,1.0522411519078747,0.3851190999848768,0.0,0.0,False,False,False,False,True,False,False,False,True,first6_gap_gt_0.03s
62,2026-04-05T00:38:49.800,-288.6433494144608,2385.623948135294,-519.9210700753057,-272.1321560844258,2281.944894065948,-551.2721912623479,-279.85039334447583,2188.8038329156543,-579.3149436423214,-266.11237153303455,2096.1190403718037,-609.1803339677269,-821.914591644666,2020.9924668336264,-723.2725116414696,-817.8836789535276,1908.669415968965,-763.1919006132508,0.0155621999874711,0.0185784000204876,0.0186404999985825,0.015901999984635,0.0160104999959003,-301.7140515056435,-378.9101365995528,-813.256404698265,392.68984500579904,-2481.2431395920926,-1215.3479111103522,0.5547868000285234,1.0,1.0,1.0,1.0,40.0,1.0,1.0,492.06575964977793,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000062_20260405_003849800_trajectory.csv,6,1,0.018640499998582527,0.015562199987471104,35991.922198925255,7040.565313701933,5.1120784475757794,0.5547868000285234,0.0,0.0,False,False,False,False,False,True,False,False,True,first6_speed_spike
72,2026-04-05T00:39:22.006,-373.3981030362525,1947.517909109048,-1063.6926833310122,-363.93504382563697,1861.131142138749,-1089.3291084652203,-360.29036119370767,1780.593790537748,-1110.5014372584146,-356.426865899361,1708.449766787457,-1080.7247576644418,-362.48307458713816,1638.8819659434764,-1053.951610901158,-356.4248771607231,1568.5979412160864,-1025.0222999358234,0.0147905999911017,0.014424399996642,0.0150894000253174,0.0150549999962095,0.0140755999891553,-371.8671147195919,-70.59079724416438,-948.833270206382,8.372158752502626,-2219.448863099836,354.7075296729977,0.4773830999911297,1.0,1.0,1.0,1.0,33.0,1.0,1.0,381.6449920338145,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000072_20260405_003922006_trajectory.csv,6,1,0.07533389999298379,0.014424399996642023,6216.584902318043,5778.650173074595,1.0757849525627954,0.4773830999911297,0.0,0.0,False,False,False,False,True,False,False,False,True,first6_gap_gt_0.03s
78,2026-04-05T00:39:40.626,-100.54121155003033,725.3305414524532,-1095.506109107616,-69.46006442766657,744.3234089918686,-1080.763988089716,-77.8107924834353,749.4463579174438,-1081.399388504605,-64.2772130673684,761.8432582081701,-1075.217639693396,-76.54527589817735,761.4708485640786,-1082.6714016512951,-53.13767851987586,778.2717213018078,-1080.4759129030049,0.0155884999840054,0.0157586999994236,0.0159283000102732,0.0140542000008281,0.0142207999888341,-53.13767851987586,778.2717213018078,-1080.4759129030049,-62.62450042716654,436.0262429205312,-437.31825121438754,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,800.6884788697372,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000078_20260405_003940626_trajectory.csv,6,1,0.015928300010273233,0.014054200000828132,2520.768379823396,1215.844432582713,2.0732655529529764,0.0,0.0,0.0,False,False,False,True,False,False,False,False,True,t_hit_nonpositive
79,2026-04-05T00:39:41.959,17.21879127240709,2104.8801805902976,-1113.3576250662545,48.03545247818238,2107.5492084240686,-1103.8059907832126,28.865385341629008,2119.0447199266173,-1110.2364271154545,30.09656374491078,2126.1286447367115,-1108.9268950964993,40.21721552163808,2129.80589618065,-1104.7489827903985,39.53483051529793,2139.291185422764,-1105.1925076154992,0.0150281999958679,0.0140276000020094,0.0138501999899744,0.0153303999977651,0.0153327000152785,39.53483051529793,2139.291185422764,-1105.1925076154992,-129.5189174646299,492.9915810570153,-30.285443312727057,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,2149.4728991157217,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000079_20260405_003941959_trajectory.csv,6,1,0.015332700015278533,0.013850199989974499,2154.1634620194923,753.4112732431053,2.85921320601796,0.0,0.0,0.0,False,False,False,True,False,False,False,False,True,t_hit_nonpositive
99,2026-04-05T00:40:39.960,-61.87828564273559,-467.0072384791233,-1212.9616459134472,-31.371562720245493,-436.0164553122236,-1201.4041925583138,-56.8362775693281,-463.0200155872517,-1210.246254198977,-54.3137565948914,-460.4694799156741,-1210.183843060312,-68.50251349811242,-475.4966538020633,-1215.5719412514627,-71.44700738863821,-479.3834324332177,-1217.2255000001917,0.0145268000196665,0.0168057999981101,0.0148499000060837,0.0144604999804869,0.0140810000011697,-71.44700738863821,-479.3834324332177,-1217.2255000001917,-620.6879633210043,-668.549701392934,-257.0492720998345,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,579.2626071192727,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000099_20260405_004039960_trajectory.csv,6,1,0.03161330000148155,0.014511599991237745,3097.4654457520614,1860.8689540792468,1.6645263703078326,0.0,0.0,0.0,False,False,False,True,True,False,False,False,True,t_hit_nonpositive;first6_gap_gt_0.03s
106,2026-04-05T00:43:20.046,-558.5899969098605,2486.682939599148,-1185.6654016824048,-512.8227186870859,2373.3262478012184,-1234.5543169009934,-331.0387962102277,2246.425885217732,-1185.3938978230703,-290.104434096796,2165.760273452616,-1128.045514737198,-283.9214873936303,2092.8528281045824,-1084.8772678488306,26.41280615620053,1945.9377164732605,-950.443274248648,0.0147698000073432,0.0158405000111088,0.0145276999974157,0.0148401999904308,0.0135819999850355,478.5071305431584,139.2929413309771,-849.049417632433,311.30078319494265,-2079.1795355238137,1078.4697664853873,0.5825835000141524,1.0,1.0,0.0,0.0,42.0,1.0,1.0,500.9666249650534,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000106_20260405_004320046_trajectory.csv,6,1,0.015840500011108816,0.013581999985035509,27148.642387593627,8914.17513244591,3.0455585608563727,0.5825835000141524,0.0,0.0,False,False,False,False,False,True,False,False,True,first6_speed_spike
158,2026-04-05T00:47:51.396,99.5504043466317,2220.6306960930324,-527.9623084306128,429.0683975004808,2015.137908802395,-499.43878487336224,447.4445177204632,1934.550124147098,-497.179260353681,428.6729699565053,1858.3071863046148,-500.3475093583049,427.85413670331945,1780.1278981210592,-505.4903885374848,434.4846180295747,1702.8725224400291,-509.62733419835376,0.0153033999959006,0.0144708000007085,0.014395299978787,0.0129449000232853,0.0152601999870967,137.94275112520563,2.7263390748355505,-929.0288083341622,-73.24470214452278,-3273.254160561918,2300.253829654955,0.3632628000050317,1.0,1.0,0.0,0.0,28.0,1.0,1.0,140.99045083282385,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000158_20260405_004751396_trajectory.csv,6,1,0.01530339999590069,0.0129449000232853,25444.539249984162,5714.074665167726,4.452958832528186,0.3632628000050317,0.0,0.0,False,False,False,False,False,True,False,False,True,first6_speed_spike
174,2026-04-05T00:48:33.478,-428.13350572678337,2094.2905380612992,-1063.20390618714,-442.0646505559516,2014.8721148179563,-1095.5002743801924,-458.9513282442399,1932.9813093100988,-1113.632078000291,-462.065336757626,1864.845429471365,-1080.9818875183971,-480.1989696523606,1796.7656291858057,-1046.757591514417,-531.3280200415643,1734.682794592608,-1035.2151903992983,0.0155225000053178,0.016803800011985,0.0164724999922327,0.0151086999976541,0.0166834999981801,-839.3687124746284,101.014372340416,-963.9881466119372,-127.98402623386336,-2123.577753906539,190.20717802026812,0.4903723000024911,0.0,1.0,1.0,1.0,31.0,0.0,0.0,847.8432766776383,1,learning_data\real_data\V3 True XYZ 6 points\sample_trajectories\sample_000174_20260405_004833478_trajectory.csv,6,1,0.06525129999499768,0.015108699997654185,5724.17808732841,5184.177249861137,1.1041632666941967,0.4903723000024911,0.0,0.0,False,False,False,False,True,False,False,False,True,first6_gap_gt_0.03s
