sample_id,captured_at,point_index,t_abs,dt_from_prev_s,t_from_first_accepted_s,t_from_p6_s,x,y,z,in_workspace,dist_to_workspace_center_mm,is_first6,is_after_p6,is_selected_hit
35,2026-04-05T00:32:25.965,0,193972.1856115,nan,0.0,-0.07382839999627322,421.656961348594,2133.549278758237,-691.0348427426401,0.0,2184.8326148451547,1.0,0.0,0.0
35,2026-04-05T00:32:25.965,1,193972.200656,0.015044500003568828,0.015044500003568828,-0.05878389999270439,403.0445024735511,2053.3758355016757,-693.1732955450345,0.0,2102.754022341191,1.0,0.0,0.0
35,2026-04-05T00:32:25.965,2,193972.2146508,0.013994799985084683,0.02903929998865351,-0.04478910000761971,391.23832377585404,1973.8224767649294,-695.0335599524694,0.0,2022.6353693434557,1.0,0.0,0.0
35,2026-04-05T00:32:25.965,3,193972.2283609,0.013710100000025705,0.042749399988679215,-0.031079000007594004,397.19471604712544,1889.0746432741093,-695.470169786752,0.0,1941.1849736086513,1.0,0.0,0.0
35,2026-04-05T00:32:25.965,4,193972.2430291,0.014668200019514188,0.057417600008193403,-0.016410799988079816,374.2061192657425,1810.2041596854028,-708.9615270864372,0.0,1858.32317360878,1.0,0.0,0.0
35,2026-04-05T00:32:25.965,5,193972.2594399,0.016410799988079816,0.07382839999627322,0.0,401.2751545711419,1729.836006987807,-708.4254386535495,0.0,1786.0725554418832,1.0,1.0,0.0
35,2026-04-05T00:32:25.965,6,193972.2751465,0.01570660001016222,0.08953500000643544,0.01570660001016222,379.12790392273064,1652.2073625631542,-723.4417718655354,0.0,1704.318029113909,0.0,1.0,0.0
35,2026-04-05T00:32:25.965,7,193972.2915301,0.01638359998469241,0.10591859999112785,0.03209019999485463,362.06555542457363,1574.5690366583822,-737.0270179648268,0.0,1623.8593875399579,0.0,1.0,0.0
35,2026-04-05T00:32:25.965,8,193972.3081801,0.016650000005029142,0.12256859999615699,0.04874019999988377,370.9869361908775,1502.5217415969546,-750.1366011630639,0.0,1554.8832525648986,0.0,1.0,0.0
35,2026-04-05T00:32:25.965,9,193972.3229714,0.014791299996431917,0.1373598999925889,0.06353149999631569,349.1189719747765,1425.3191459489135,-768.9534240788164,0.0,1473.2928865171145,0.0,1.0,0.0
35,2026-04-05T00:32:25.965,10,193972.3384387,0.015467300021555275,0.15282720001414418,0.07899880001787096,355.7640253641066,1349.7664684140284,-787.3995091808404,0.0,1400.3986687835957,0.0,1.0,0.0
35,2026-04-05T00:32:25.965,11,193972.355247,0.016808299988042563,0.16963550000218675,0.09580710000591353,345.2286966549009,1274.7422884741977,-809.4027134177611,0.0,1323.7668311883858,0.0,1.0,0.0
