sample_id,captured_at,point_index,t_abs,dt_from_prev_s,t_from_first_accepted_s,t_from_p6_s,x,y,z,in_workspace,dist_to_workspace_center_mm,is_first6,is_after_p6,is_selected_hit
236,2026-04-05T00:53:14.895,0,195220.7650006,nan,0.0,-0.0751468000235036,-92.30101856816509,2320.928985388899,-641.4307126610487,0.0,2337.111231756426,1.0,0.0,0.0
236,2026-04-05T00:53:14.895,1,195220.7816245,0.016623900010017678,0.016623900010017678,-0.05852290001348592,-91.42671763457656,2226.8213152245435,-651.5696016497877,0.0,2242.5007642050523,1.0,0.0,0.0
236,2026-04-05T00:53:14.895,2,195220.7943458,0.012721300008706748,0.029345200018724427,-0.045801600004779175,-73.65691966426448,2134.105010554885,-664.8684673898376,0.0,2148.2821917796314,1.0,0.0,0.0
236,2026-04-05T00:53:14.895,3,195220.8099946,0.01564879997749813,0.044993999996222556,-0.030152800027281046,-68.049634758293,2044.7031533539073,-681.0192487341453,0.0,2057.5213990505927,1.0,0.0,0.0
236,2026-04-05T00:53:14.895,4,195220.8247936,0.014799000025959685,0.05979300002218224,-0.01535380000132136,-91.45438443946978,1959.0363339550127,-703.3258512372761,0.0,1971.00684498574,1.0,0.0,0.0
236,2026-04-05T00:53:14.895,5,195220.8401474,0.01535380000132136,0.0751468000235036,0.0,-59.913255123097315,1868.8679797521743,-719.135216058962,0.0,1878.5550814262692,1.0,1.0,0.0
236,2026-04-05T00:53:14.895,6,195220.85499,0.0148425999796018,0.0899894000031054,0.0148425999796018,-58.31315809740363,1781.8505304332696,-746.3430458348204,0.0,1789.4139255007315,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,7,195220.8691428,0.014152799994917586,0.10414219999802299,0.028995399974519387,-58.288995931090994,1701.3316340996798,-767.3782671652668,0.0,1707.4880556697985,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,8,195220.8852023,0.016059500019764528,0.12020170001778752,0.045054899994283915,-34.92229045703152,1611.476668165606,-793.6154589176906,0.0,1615.361968412709,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,9,195220.9020254,0.016823099984321743,0.13702480000210926,0.06187799997860566,-38.454672870199374,1532.1471296820266,-824.3466939123043,0.0,1534.4956864000712,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,10,195220.9165294,0.014504000020679086,0.15152880002278835,0.07638199999928474,-55.81250471731573,1449.2233245348211,-858.8989873893988,0.0,1450.8799306959195,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,11,195220.9326412,0.016111799981445074,0.16764060000423342,0.09249379998072982,-51.52033187005782,1369.1656777914736,-892.4334976110708,0.0,1370.1555567878372,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,12,195220.9476677,0.0150265000120271,0.18266710001626052,0.10752029999275692,-16.255049963227975,1290.3688968182164,-917.4377718150911,0.0,1290.5890873593512,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,13,195220.9645086,0.016840900003444403,0.19950800001970492,0.12436119999620132,-35.484371470535734,1209.3974074550445,-959.8974370362113,0.0,1211.3995760033715,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,14,195220.9804619,0.015953299996908754,0.21546130001661368,0.14031449999311008,-24.388666265951542,1134.4446214715636,-999.871431631021,0.0,1139.0933715389713,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,15,195220.9962446,0.015782700007548556,0.23124400002416223,0.15609720000065863,-36.69285177092161,1056.0982868775818,-1038.59337314963,0.0,1065.78519411645,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,16,195221.0121995,0.015954899979988113,0.24719890000415035,0.17205209998064674,-25.18816441763056,982.5271010748841,-1078.084680131244,0.0,998.8533932819132,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,17,195221.0281282,0.01592870001331903,0.2631276000174694,0.18798079999396577,-23.366648995103787,917.141995991273,-1085.143183702011,0.0,935.9345273935742,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,18,195221.0471481,0.019019900006242096,0.2821475000237115,0.20700070000020787,-25.543297412360516,859.6971619563278,-1046.429974906249,0.0,872.4525247080816,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,19,195221.0628805,0.015732399973785505,0.297879899997497,0.22273309997399338,-21.008579927496157,807.0747789330901,-1008.8098359697968,0.0,814.6475554644721,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,20,195221.0791597,0.016279200004646555,0.31415910000214353,0.23901229997863993,-27.54196728851548,749.0981105578602,-982.2272782375425,0.0,754.1006991707619,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,21,195221.094591,0.015431300009367988,0.3295904000115115,0.2544435999880079,-34.1484660897363,691.8355972946299,-951.2838597229236,0.0,694.5737150860085,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,22,195221.1113693,0.016778299992438406,0.3463687000039499,0.2712218999804463,-37.67102887967485,634.8591112285502,-925.805163180577,0.0,636.4990997429095,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,23,195221.1258939,0.014524600002914667,0.3608933000068646,0.285746499983361,-32.84476692920407,586.5055348617261,-901.6809870495839,0.0,587.4268863914334,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,24,195221.1402329,0.01433900001575239,0.375232300022617,0.3000854999991134,-30.947449848079486,536.1935396456873,-878.6182617310677,0.0,537.511335081663,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,25,195221.155344,0.015111099986825138,0.3903434000094421,0.3151965999859385,-42.75933800602343,480.5455366772486,-862.1251940713394,0.0,483.92858432962186,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,26,195221.1706172,0.015273199998773634,0.40561660000821576,0.33046979998471215,-54.335804416165956,420.51299374711186,-848.2250701515193,1.0,427.15828554825606,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,27,195221.1860265,0.015409300016472116,0.42102590002468787,0.34587910000118427,-26.22557306902263,384.45192274396834,-828.5620770112889,1.0,391.9112634580357,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,28,195221.2001589,0.014132399985101074,0.43515830000978895,0.36001149998628534,-46.28124601810896,328.61633107226726,-820.7088499124395,1.0,341.20042975148016,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,29,195221.2137689,0.01360999999451451,0.44876830000430346,0.37362149998079985,-38.49169561061035,283.21267206542393,-812.6737194742011,1.0,298.8593440397803,0.0,1.0,0.0
