sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,dt12,dt23,dt34,dt45,dt56,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit,has_bounce_before_hit,hit_obs_index,hit_obs_in_workspace,hit_obs_selected_from_workspace_pool,hit_center_dist_mm
1,2026-04-05T00:28:48.832,-90.49171549930134,2367.8002663703305,-916.9908444222835,-55.894580556032,2273.0667414819777,-948.5430167138344,-62.98770140644365,2188.507166037063,-994.9813567759664,-60.35007724436355,2104.013716066951,-1036.0962139419407,-50.29187613092154,2019.0496471411325,-1078.2253169911191,-39.574117818811374,1940.2394069224176,-1095.5737304700783,0.0159897000121418,0.0141351000056602,0.0138167999975848,0.0151698999979998,0.0161952000053133,0.4240855312377789,-44.67807412517095,-919.7785829355364,77.75719555291377,-2023.3824436857649,1366.1770861563691,0.5947944999788888,1.0,1.0,0.0,0.0,44.0,1.0,1.0,48.86207628631808
2,2026-04-05T00:28:52.236,461.6348823876963,2140.277962780029,-1073.7959953824334,454.0639023838633,2086.468000046303,-1071.620663925949,449.7250299219049,2040.002437590232,-1028.5791911732026,456.27708495299294,1992.11106108446,-980.6168304923154,447.0119943674517,1947.4162723774907,-944.8925860079772,449.060142902189,1902.719621698848,-908.1980475219268,0.018970300006913,0.0128542000020388,0.0154237999813631,0.0159779000096023,0.0153558000165503,343.1905217374349,5.096789784084876,-908.526012483054,-38.5981082282289,-1365.390515488262,-1373.832949134924,0.8939152999955695,1.0,1.0,0.0,0.0,62.0,1.0,1.0,343.33424583833335
7,2026-04-05T00:29:08.679,245.8484724784571,2210.6065250453853,-646.797924264019,290.5886530547209,2131.705282143298,-639.2526353299875,288.5477552610291,2059.2096886283216,-641.6717713430396,284.70791706848377,1988.7339012997763,-646.3690515932738,290.700465239755,1916.498459276585,-652.3912423506565,283.14886560975447,1848.8757993606023,-663.2661677142123,0.0138702999975066,0.0150549999962095,0.0161446999991312,0.016736799996579,0.015872699994361,221.75236983734203,-30.00906128412248,-860.0587778808147,-11.873004293510895,-2160.765072049858,-1119.4269039904589,0.6049886000109836,1.0,1.0,0.0,0.0,44.0,1.0,1.0,227.31026926209395
8,2026-04-05T00:29:12.543,292.8779394290209,2168.064692220869,-576.6922253528393,278.10054459617004,2104.6664946682577,-580.7858712782318,268.6643996705898,2042.7000094376483,-587.6525128134292,254.6374161688996,1980.0794321039868,-596.9029303128041,246.2868495110684,1919.223451519867,-607.5562442371083,243.9150100123252,1857.053453165417,-622.8671041913383,0.0146019000094383,0.014227599982405,0.0144326000008732,0.0149059999966993,0.0142306000052485,3.658611733842463,87.49009974712385,-984.4915687645596,-155.79791934143785,-1586.2627744666324,-2119.605351652726,0.7219500000064727,1.0,1.0,0.0,0.0,52.0,1.0,1.0,121.68290013751724
9,2026-04-05T00:29:15.969,-244.8762243787014,2410.505180102725,-973.9307092344792,-225.72679378809835,2316.3935275090867,-1009.919206367813,-222.6194241188496,2228.8864437823227,-1055.786385115985,-217.4609415859436,2142.174447913986,-1101.095402037644,-199.5737129779796,2068.44474593944,-1086.7143009826186,-216.0281845069394,2003.293158284393,-1050.7472858453891,0.0162482000014279,0.0184450999950058,0.0158692999975755,0.0152593000093474,0.0148293999955058,-94.43429138411555,-40.51974005892384,-858.9324565071443,295.24985112968545,-1989.955558085235,633.67645754107,0.6321903000061866,1.0,1.0,0.0,0.0,45.0,1.0,1.0,110.66267596710463
10,2026-04-05T00:29:18.267,-300.5383428805667,2430.375810733825,-986.8385051100884,-317.02620706543485,2336.673492177221,-1016.9650413721996,-323.53794558420714,2246.751798928384,-1050.5314625386063,-331.48272932021155,2156.467989062381,-1088.2913047496827,-316.2564267226708,2062.968650465079,-1114.370090794277,-309.9264385583556,1987.1215211603,-1082.8288264241885,0.0164117000240366,0.0174678999755997,0.0148877000028733,0.0153743000118993,0.0167501000105403,-401.9383787301836,56.01693846018725,-945.2224587760052,-186.76568141432512,-2348.8234018843355,440.3504340774753,0.5082932999939658,1.0,1.0,1.0,1.0,35.0,1.0,1.0,408.3349464207642
11,2026-04-05T00:31:02.955,285.17198782664445,2190.608560202206,-652.4191824954348,318.52411478349586,2121.700990919153,-631.7333226166545,328.5285818440468,2059.3290032168097,-617.1827087101323,308.7790810601928,2003.1946997239363,-608.3380435841259,321.3629715164607,1940.61162086276,-599.619399437648,321.8477997673885,1881.2288677948457,-592.1981587228471,0.014826600003289,0.0139546999998856,0.014613699982874,0.0129653000039979,0.0166122000082395,432.9055497155248,-90.09793851911697,-813.6339160919622,867.1959243583644,-1116.1759581751826,-949.1308489680782,0.738292599999113,1.0,1.0,0.0,0.0,53.0,1.0,1.0,450.5374057162241
16,2026-04-05T00:31:19.178,343.6747514038348,2170.4911627583665,-808.6913788759144,331.947256235728,2119.148945727931,-807.065816593536,303.6676824549422,2070.6112995482035,-809.9699259422371,307.2816994936197,2018.6460747584567,-807.887002305097,311.80643468533344,1967.2516717644728,-810.2333218746826,287.3328006914053,1918.966182251199,-823.9227690364507,0.0143958000116981,0.0156128999951761,0.0135664000117685,0.0141639999928884,0.0134951999934855,-116.6347632013194,-20.66972882396749,-1003.4808297874066,-514.0571186009769,-1538.8715151265628,609.7508862910762,1.02595989999827,1.0,1.0,0.0,0.0,71.0,1.0,1.0,157.2869600767159
18,2026-04-05T00:31:23.698,-4.337073790737122,2353.1032470544365,-1044.4325197858298,14.625663823562263,2252.1733026776087,-1075.2877292786925,35.49162034047322,2153.225777031452,-1106.5296800726323,53.02855632657838,2070.904969160405,-1077.0925438176005,60.85694932832712,1989.000349926117,-1047.8613529652391,75.43106189010405,1909.5432260324533,-1020.5749995354256,0.0200232000206597,0.0132614999893121,0.0155904999992344,0.0158580999996047,0.0169162999955005,269.6400023880733,97.34720029069511,-954.3915098283647,332.7096161211669,-2704.750914891245,648.0750586325998,0.4475983000011183,1.0,1.0,0.0,0.0,33.0,1.0,1.0,291.7886986051481
19,2026-04-05T00:31:27.498,564.0806924654223,2141.5833120549187,-1036.1341058379282,540.5147766736386,2053.2903386542434,-1072.7902396859265,517.1342535178983,1972.5832353812264,-1079.954783175497,497.7444376280751,1901.5707227299945,-1046.633647949929,482.2788581437769,1829.1178642032824,-1015.6941934654808,447.7333061849663,1759.830755038903,-992.2845014608714,0.0165352000040002,0.0135432000097353,0.0151729999925009,0.0146178000140935,0.0162758000078611,-87.41241184976707,55.20310949581926,-923.007470047736,-1045.3043070437527,-2611.92790813645,367.2082624020082,0.488479699997697,1.0,1.0,0.0,0.0,37.0,1.0,1.0,105.91343975812596
22,2026-04-05T00:31:37.527,8.371012318923476,2346.367736456653,-997.2668076931234,52.41068677219937,2284.672891358558,-941.4151547963204,48.3275539889687,2235.569206229802,-896.0159367872578,50.09613309460474,2185.3495429342747,-857.697345640509,46.744147450912806,2136.060496408033,-822.5790868646261,46.80103678740625,2086.3589033194594,-787.8151286710247,0.0135694000055082,0.0137314999883528,0.0172676000220235,0.0175243999983649,0.0163629000016953,326.0018950538952,330.9047928561215,-801.9055447177798,242.96733240205745,-1959.510171274762,1404.2898861137205,0.6661179999937303,1.0,1.0,0.0,0.0,48.0,1.0,1.0,474.76071833187615
26,2026-04-05T00:31:54.472,37.06660752925745,2291.9662913453194,-689.644557040267,67.36320124748954,2243.6957137188574,-652.7749141294548,61.41180007356934,2204.6555100440755,-625.4037717572173,31.69158219505198,2171.4266382329906,-603.0819338560049,28.03328291316893,2129.1463474382567,-579.0675036163975,23.10994242780316,2089.799851960558,-557.7440922911738,0.0177799000230152,0.0152227999933529,0.0153925000049639,0.017255999991903,0.0156120999890845,-436.9690865943285,102.91192284452268,-972.8998789607696,43.02712006206577,-1080.292798972332,1927.8536629004664,1.11887140001636,1.0,1.0,0.0,0.0,76.0,1.0,1.0,454.8046161321734
27,2026-04-05T00:31:57.761,471.9812932248476,2145.617219259913,-994.7491352791936,471.69384645723176,2086.7733094587165,-956.9942498404778,459.62942230054864,2032.690162658845,-929.4482392014472,464.0711062606647,1975.9761612046327,-896.6377760953885,464.8686264112607,1921.2491062674017,-870.5381354458365,452.2111616028574,1869.5852751445443,-849.6106120160705,0.0164611999935004,0.0156289000005926,0.0157512000005226,0.0134684000222478,0.0139166000008117,377.9818802699799,68.28930170268791,-859.1799026127543,110.89724509787364,-1544.759485085756,-701.5597483174964,0.7156011999759357,1.0,1.0,1.0,1.0,49.0,1.0,1.0,386.2641724133554
28,2026-04-05T00:32:02.365,-213.82389895594,2396.5175619756646,-1114.8251211325005,-203.66207983744928,2309.1030788753624,-1075.3422184271271,-235.4972442737321,2233.30081154288,-1049.7205855407092,-239.6634659816491,2152.8508068377505,-1018.7554690219198,-207.84496768017647,2068.765460704467,-979.4293977269664,-219.0847615000976,1991.319260220028,-960.184788913053,0.0181140000058803,0.0171540000010281,0.0165619000035803,0.016298899980029,0.0126935000007506,-333.02358103295774,103.7997319569397,-929.8381354946184,-450.4442688871839,-2776.991885994698,597.9562875333603,0.4666397999972105,1.0,1.0,0.0,0.0,34.0,1.0,1.0,350.09913482918336
